6454.state,AcK,AK
13180.areacode,02,402
12837.salary,20500,25000
3269.childexemp,v0,0
19666.fname,Miantis,Mantis
3516.gender,,F
3900.state,WrY,WY
14347.lname,Rak,Rask
18089.childexemp,3300***,3300
10803.zip,0152,70152
3110.phone,83-7779,837-7779
10692.fname,Blen,Belen
8662.gender,gF,F
13808.city,E PASO,EL PASO
11899.zip,4k0437,40437
4807.lname,Corya,Coray
4682.phone,323-7637,323-6737
5770.zip,4043,4034
13260.city,CAMA,CHAMA
5747.haschild,fN,N
1292.state,yAR,AR
8406.fname,Ravindranaht,Ravindranath
36.lname,Shanmugabsundaram,Shanmugasundaram
13487.childexemp,,0
13280.maritalstatus,***,S
7967.marriedexemp,a0,0
6867.haschild,,N
16030.city,CHARLrESTON,CHARLESTON
19531.childexemp,c0,0
4602.areacode,370,307
16519.childexemp,,0
10553.areacode,75,775
3569.state,CD,DC
4857.maritalstatus,,M
14234.areacode,h219,219
3759.rate,i4.994672,4.994672
3150.lname,Danuielsson,Danielsson
6776.state,mNV,NV
1035.lname,Vnes,Vines
12347.gender,***,F
9098.gender,,F
4854.phone,237-1621,327-1621
13961.singleexemp,,0
9091.gender,***,F
12337.rate,s3.743421,3.743421
7861.marriedexemp,***,0
2335.state,DuC,DC
7574.areacode,471,417
16674.zip,t32610,32610
7467.fname,Kwagnho,Kwangho
4536.marriedexemp,***,0
16506.phone,862-8000,682-8000
11204.city,CHRALESTON,CHARLESTON
10298.areacode,370,307
9407.fname,Ctariel,Catriel
12449.zip,37966,39766
5721.state,CD,DC
14647.maritalstatus,***,S
18773.gender,kF,F
1373.state,VW,WV
8744.areacode,8n45,845
5857.rate,53.,5.3
8553.childexemp,***,0
6507.salary,1000,10000
3701.marriedexemp,***,0
3069.rate,.00,0.0
4969.areacode,e406,406
15210.state,J,NJ
8151.fname,Hnglan,Honglan
9430.childexemp,j0,0
1215.zip,1536g0,15360
14892.marriedexemp,h0,0
16706.childexemp,***,0
1607.zip,5e8102,58102
6411.state,NuJ,NJ
15452.state,J,NJ
12190.marriedexemp,,0
19175.city,CASLEFORD,CASTLEFORD
8610.state,J,NJ
16569.areacode,l970,970
7568.city,CHARLESTWON,CHARLESTOWN
8764.state,JN,NJ
429.lname,Hakl,Hackl
19950.gender,,F
18616.salary,09000,90000
19079.rate,30.,3.0
10391.haschild,qY,Y
7492.zip,1152,11952
17829.marriedexemp,3800***,3800
259.fname,elicja,Felicja
15231.city,VERSAILLES***,VERSAILLES
14961.singleexemp,o0,0
5284.gender,,F
16371.city,CEDAR tCITY,CEDAR CITY
2084.rate,14,1.4
19393.state,C,DC
6474.rate,30,3.0
11419.city,KOPoPEL,KOPPEL
14746.phone,58-5599,658-5599
15983.city,CEIBgA,CEIBA
19817.rate,.5,3.5
13381.marriedexemp,***,0
18379.childexemp,a0,0
2569.city,NsAPLES,NAPLES
16969.lname,audwein,Laudwein
4150.haschild,hN,N
6335.state,rCT,CT
5539.areacode,65,615
11146.singleexemp,78,87
14195.childexemp,,0
291.areacode,5b05,505
14983.haschild,rN,N
9589.state,NnJ,NJ
18043.salary,35000***,35000
14915.state,hNJ,NJ
16400.singleexemp,000,2000
16605.phone,l372-9598,372-9598
17952.marriedexemp,i0,0
15948.marriedexemp,***,0
12743.fname,Hiptofumi,Hitofumi
12567.zip,4r1386,41386
17670.marriedexemp,v0,0
10774.phone,107-901,107-9301
1499.state,C,DC
5758.zip,i39121,39121
14503.city,CHARITNO,CHARITON
6957.childexemp,,0
15483.areacode,850,580
13649.state,CD,DC
19770.singleexemp,0,20
16670.haschild,,Y
19073.gender,oF,F
4300.salary,7500,75000
11721.phone,538-5783,538-5738
8754.zip,9d9148,99148
164.phone,57-1960,570-1960
15702.gender,iF,F
8643.state,J,NJ
5416.gender,,M
11139.areacode,61,601
4770.haschild,***,Y
3504.areacode,18,218
6960.gender,,F
13358.singleexemp,z0,0
10710.state,TC,CT
1783.childexemp,,0
10015.childexemp,***,0
990.state,C,DC
18375.phone,257-77p26,257-7726
13648.areacode,52,252
5457.marriedexemp,,0
10737.salary,45000***,45000
5490.zip,86430,84630
17345.childexemp,,0
690.childexemp,y0,0
7252.gender,***,F
6369.maritalstatus,,M
6702.singleexemp,l0,0
16426.zip,x23124,23124
10045.gender,,M
1740.state,L,FL
19628.areacode,16,216
16163.marriedexemp,,0
18576.state,CD,DC
16095.state,R,AR
14487.salary,5000,25000
19563.childexemp,f0,0
12420.marriedexemp,1200,12000
14574.singleexemp,,0
858.fname,Akniori,Akinori
210.maritalstatus,,M
10313.city,RTHUR,ARTHUR
6344.fname,Naomcihi,Naomichi
13902.lname,Risp,Rips
5576.state,CD,DC
244.lname,aDm,Dam
17116.state,J,NJ
7309.gender,***,F
3305.childexemp,,0
15834.maritalstatus,,S
15668.lname,Kirkmadn,Kirkman
3231.state,DpC,DC
16509.marriedexemp,5070,5700
11200.marriedexemp,,0
3479.state,CD,DC
6080.city,IZON,ZION
15541.childexemp,***,0
2477.childexemp,300,3300
1291.state,CD,DC
11903.childexemp,***,0
18675.marriedexemp,e0,0
2649.lname,Tubman,Taubman
13149.phone,08-2763,408-2763
6081.singleexemp,s0,0
2927.maritalstatus,zM,M
3359.marriedexemp,20,220
1305.state,DtC,DC
8898.state,TC,CT
18456.state,RO,OR
8949.childexemp,s0,0
6500.zip,4815,44815
17784.phone,11-2725,411-2725
1615.state,MwN,MN
2116.phone,182-420,182-8420
19841.areacode,630,603
3457.state,NI,IN
19671.phone,4s92-5587,492-5587
13618.state,CD,DC
16938.salary,30000***,30000
12738.city,CHAPAMN,CHAPMAN
4253.childexemp,p0,0
15421.zip,4866,4686
8865.singleexemp,300,3300
1704.phone,722-859j8,722-8598
418.singleexemp,300,3300
14653.areacode,05,405
493.phone,539-8222***,539-8222
14673.rate,r6.0,6.0
228.lname,Allsion,Allison
13267.state,I,MI
14042.areacode,340,304
13848.city,CEROR,CERRO
10800.maritalstatus,wM,M
18075.gender,***,F
14194.zip,327e71,32771
11259.marriedexemp,***,0
14346.phone,71g5-9564,715-9564
17109.childexemp,***,0
17596.lname,Mamud,Mahmud
1242.zip,190k6,1906
19422.childexemp,,0
15865.state,yDE,DE
19214.salary,20000***,20000
16540.state,wOR,OR
4767.state,T,CT
5297.lname,Berbrt,Berbert
5269.fname,hSivarama,Sivarama
17499.phone,182-e1565,182-1565
17258.marriedexemp,,0
1730.city,SHELBANA,SHELBIANA
5775.phone,365s-3720,365-3720
10935.city,CASEY,CAUSEY
8937.marriedexemp,,0
6974.childexemp,***,0
17717.singleexemp,p0,0
9113.state,NeJ,NJ
172.state,kDC,DC
18736.marriedexemp,000,2000
1963.singleexemp,,0
5378.gender,sM,M
6433.city,THOPMSON FALLS,THOMPSON FALLS
5354.city,HOLLYWODO,HOLLYWOOD
15880.singleexemp,o0,0
18837.childexemp,,0
14447.state,DfC,DC
16498.singleexemp,,0
6181.city,ORR***,ORR
13804.childexemp,***,0
8966.phone,53-7955,539-7955
9784.lname,enftling,Henftling
17890.fname,Coe,Coke
1945.lname,Snaabria,Sanabria
5109.maritalstatus,***,M
16961.phone,312v-3866,312-3866
1060.state,CD,DC
12532.salary,500r00,50000
11454.rate,.50,5.0
4101.singleexemp,,0
4384.gender,***,F
13125.state,DsC,DC
15828.salary,25000***,25000
18628.rate,.0,9.0
10095.singleexemp,k0,0
13452.salary,u60000,60000
17850.city,RA,REA
12290.marriedexemp,***,0
7870.state,CD,DC
9007.rate,.00,0.0
222.maritalstatus,***,M
2599.state,CD,DC
12753.singleexemp,q0,0
8367.childexemp,,0
19714.childexemp,***,0
9304.maritalstatus,,M
12141.fname,iarong,Jiarong
6765.gender,***,F
8501.childexemp,l0,0
6464.phone,091-1554,901-1554
8956.childexemp,f0,0
15140.city,CETNREVILLE,CENTREVILLE
2481.city,HARTWCIK,HARTWICK
179.state,AP,PA
3536.singleexemp,***,0
18683.gender,sF,F
14545.singleexemp,,0
6102.city,WAkRSAW,WARSAW
6675.childexemp,***,0
9737.lname,Bhiari,Bihari
15409.state,JN,NJ
14671.salary,10500,15000
3014.childexemp,***,0
6131.areacode,071,701
11728.lname,Dfydek,Dydek
863.singleexemp,***,0
17425.gender,zF,F
632.fname,Lesie,Leslie
11315.marriedexemp,715e0,7150
10288.state,CzT,CT
12185.areacode,21i9,219
11743.rate,.0,7.0
13743.marriedexemp,1200,12000
14101.zip,c58330,58330
19724.phone,36-5640,367-5640
17278.salary,3500,35000
2129.gender,xM,M
15633.city,ORCHESTER,ROCHESTER
3261.city,CHARLETSON,CHARLESTON
3789.city,TRMAN,TRUMAN
9517.city,CATNO,CATANO
16401.phone,54-47328,544-7328
7754.haschild,,N
11934.singleexemp,,0
18214.singleexemp,o0,0
14354.areacode,2s28,228
7204.gender,,F
13680.city,CAMOIS,CHAMOIS
17137.salary,9000,95000
9373.marriedexemp,b6600,6600
13156.lname,Bxeam,Beam
16104.gender,gF,F
13992.rate,.50,5.0
2650.state,I,MI
7050.phone,23-1563,293-1563
19149.childexemp,***,0
17830.singleexemp,***,0
12824.maritalstatus,iM,M
12531.areacode,03,603
4636.phone,21-7277,251-7277
8201.fname,Anotero,Antero
17819.marriedexemp,g0,0
16430.maritalstatus,iS,S
2633.fname,uSpot,Supot
16218.state,CD,DC
5945.childexemp,***,0
70.state,DdC,DC
5473.state,C,DC
15614.phone,21d2-4948,212-4948
5337.state,CD,DC
18572.singleexemp,b0,0
2417.childexemp,,0
18758.gender,***,M
8541.state,jCT,CT
4924.lname,arrow,Parrow
1014.phone,2m89-4405,289-4405
7159.zip,45m348,45348
18427.marriedexemp,1e2000,12000
19715.childexemp,z0,0
8098.city,iCATANO,CATANO
14482.gender,,F
6737.gender,***,F
3993.areacode,b412,412
12573.city,NORTH LAS VEqGAS,NORTH LAS VEGAS
18847.state,NwJ,NJ
13872.fname,Kyo,Kyoo
6069.rate,90.,9.0
14246.areacode,01,701
18672.lname,Oshisdanwo,Oshisanwo
17022.areacode,41,641
9076.areacode,05,505
12011.phone,53-21591,532-1591
11679.childexemp,b0,0
4922.city,NEWBRY,NEWBURY
2636.zip,591o11,59111
12183.areacode,520,502
2564.state,C,DC
291.singleexemp,300,3300
10546.haschild,,N
2177.state,D,SD
7538.fname,Yuzruu,Yuzuru
9617.childexemp,m0,0
7006.state,AG,GA
13674.gender,,F
13118.marriedexemp,e0,0
3880.city,CNTERVILLE,CENTERVILLE
13876.marriedexemp,r0,0
7262.maritalstatus,mS,S
18354.gender,lF,F
13024.state,sCT,CT
2370.gender,,M
9440.rate,5.5,5.95
824.haschild,***,N
3258.marriedexemp,***,0
3488.lname,oHdel,Hodel
16949.maritalstatus,,M
3778.gender,,F
14135.areacode,751,715
2451.gender,,F
17513.marriedexemp,,0
3500.childexemp,***,0
17353.marriedexemp,e0,0
3227.city,ROCKFIED,ROCKFIELD
10116.marriedexemp,200,2000
16939.singleexemp,***,0
467.state,C,DC
10384.areacode,02,302
7437.childexemp,r0,0
12894.singleexemp,,0
17461.zip,3z9740,39740
11414.haschild,,Y
16806.zip,56849,58649
11911.lname,Baudte,Baudet
17206.state,TC,CT
1580.rate,.7255244,7.7255244
17936.marriedexemp,***,0
18847.salary,40000***,40000
16814.zip,6765,96765
14841.state,jNJ,NJ
7287.city,ELWOOiD,ELWOOD
10368.city,OTO,OTTO
19863.singleexemp,,0
3108.city,CATNO,CATANO
15449.fname,Martia,Martina
11400.haschild,,Y
13906.singleexemp,***,0
10984.state,A,IA
12410.lname,qBeyers,Beyers
14518.state,NhD,ND
12455.zip,9529,95229
7806.marriedexemp,1200y0,12000
798.state,AdR,AR
17904.singleexemp,c0,0
10351.zip,a84623,84623
15317.fname,Gongxan,Gongxian
13753.gender,***,F
15928.city,CASSELTN,CASSELTON
15979.phone,7c55-5831,755-5831
4792.rate,.0,0.0
5613.areacode,460,406
10869.childexemp,,0
13037.areacode,50,580
11143.city,NEW HMAPTON,NEW HAMPTON
12421.childexemp,4200,2400
12839.city,CSOTTSDALE,SCOTTSDALE
6780.rate,.1853657,4.1853657
6905.singleexemp,03,103
14911.areacode,37,307
1322.phone,851-0621,851-6021
361.zip,674e10,67410
9329.childexemp,g0,0
10052.singleexemp,,0
7588.childexemp,,0
940.fname,Sway,Swamy
11615.fname,Atiloi,Atilio
4390.gender,tM,M
9500.marriedexemp,f0,0
13252.state,xNJ,NJ
17088.maritalstatus,,M
19993.fname,Sohashi,Shashi
18955.city,ENTER STRAFFORD,CENTER STRAFFORD
3909.rate,.0,0.0
1170.rate,595,5.95
4058.marriedexemp,***,0
11958.singleexemp,u0,0
15941.city,ASSVILLE,CASSVILLE
6331.childexemp,***,0
17662.lname,Sbhimasaki,Shimasaki
19625.areacode,08,808
6214.marriedexemp,21000,12000
19072.marriedexemp,,0
6025.marriedexemp,***,0
18838.marriedexemp,,0
6762.lname,Sratore,Sartore
18509.maritalstatus,***,M
7456.lname,Geutari,Guetari
9007.singleexemp,***,0
7668.phone,618-w1873,618-1873
16177.lname,merica,America
3549.childexemp,,0
11246.gender,***,F
8595.gender,,M
10903.state,zCT,CT
19964.rate,12.099231,1.2099231
2198.childexemp,***,0
12678.zip,7933***,7933
10115.haschild,***,Y
12333.singleexemp,,0
8854.singleexemp,,0
11837.state,C,DC
7504.marriedexemp,,0
10144.maritalstatus,,M
3217.childexemp,,0
833.singleexemp,,0
9404.phone,465-809,465-8909
7002.zip,74167,71467
18373.singleexemp,***,0
15602.state,CD,DC
16047.areacode,650,605
10065.singleexemp,***,0
1677.phone,399-8038,399-8083
11395.gender,***,F
10707.salary,5000,35000
6762.childexemp,***,0
3302.maritalstatus,,S
1970.areacode,53,253
12482.haschild,***,Y
5022.gender,,F
442.state,CD,DC
18718.childexemp,,0
12842.childexemp,***,0
7756.singleexemp,,0
12607.singleexemp,,0
2461.maritalstatus,***,S
15668.maritalstatus,mM,M
7011.city,CHAROLTTE,CHARLOTTE
488.singleexemp,,0
7831.state,Y,NY
14863.marriedexemp,***,0
11011.zip,61641,61614
9745.gender,***,F
216.areacode,20h2,202
16415.marriedexemp,200,2000
13581.lname,Hyclton,Hylton
18548.singleexemp,***,0
14994.fname,Gonycalo,Goncalo
19073.phone,786-162,786-1692
10288.childexemp,o0,0
17285.marriedexemp,,0
15783.fname,Kirsy,Kirsty
19735.singleexemp,***,0
530.zip,6s2618,62618
5584.state,CD,DC
12187.lname,Sarjougian,Sarjoughian
12130.marriedexemp,***,0
14020.gender,fF,F
11238.singleexemp,3300***,3300
4331.lname,hilipose,Philipose
3272.areacode,8u60,860
13980.marriedexemp,l0,0
13704.marriedexemp,***,0
15619.city,CSATANER,CASTANER
19784.marriedexemp,,0
19588.zip,9t3912,93912
15992.city,CHArNNING,CHANNING
11340.childexemp,i0,0
19532.childexemp,y0,0
12599.city,CLATNON,CLANTON
2080.phone,79-7565,709-7565
11568.rate,00.,0.0
12374.singleexemp,t0,0
650.phone,113-380,113-3380
18083.haschild,***,N
7797.zip,6703,67003
16424.gender,cF,F
4065.singleexemp,,0
15429.state,AG,GA
10420.gender,***,F
15996.city,CHAlRLO,CHARLO
10734.childexemp,30,300
17368.singleexemp,,0
5761.marriedexemp,***,0
8058.marriedexemp,***,0
6369.gender,,F
16748.childexemp,***,0
10414.maritalstatus,,M
5900.state,EN,NE
2589.state,S,MS
3218.marriedexemp,9000***,9000
3169.gender,,F
16582.marriedexemp,0200,2000
6574.rate,30.,3.0
7396.phone,025-4984,205-4984
12389.areacode,85,785
18964.singleexemp,***,0
10263.city,ULLIVAN,SULLIVAN
19292.haschild,,Y
12996.marriedexemp,1200l0,12000
17571.singleexemp,s0,0
13414.state,JN,NJ
13837.state,DxC,DC
17255.marriedexemp,***,0
16001.gender,***,F
6573.maritalstatus,***,S
4564.areacode,v234,234
3116.state,C,DC
15354.maritalstatus,,S
13361.city,MAUNALA,MAUNALOA
18175.childexemp,j1900,1900
13025.city,CHARLOTTESVILE,CHARLOTTESVILLE
9376.city,EBOLLA,CEBOLLA
17400.state,D,SD
7342.gender,fF,F
8981.haschild,qY,Y
2468.phone,581-8919,581-8991
17927.maritalstatus,***,M
10554.gender,***,F
12972.singleexemp,,0
4049.gender,,M
2260.childexemp,p0,0
14080.lname,eGwali,Gewali
17307.phone,604-99r63,604-9963
13816.gender,bF,F
16652.lname,Sruko,Surko
9121.phone,760-4508,706-4508
9360.marriedexemp,,0
18786.gender,***,F
7750.childexemp,***,0
14389.marriedexemp,***,0
12224.childexemp,g0,0
8223.city,FORT MYERS BEeACH,FORT MYERS BEACH
15161.marriedexemp,***,0
15594.marriedexemp,c0,0
3047.state,CD,DC
18553.phone,58f8-1040,588-1040
104.phone,n295-7427,295-7427
8769.lname,Abbs,Abbas
12537.gender,,F
7411.lname,Rajje,Raje
17466.singleexemp,,0
15960.fname,Mirvit,Mirit
13875.maritalstatus,,M
15445.state,zNJ,NJ
17975.gender,***,F
2395.state,C,DC
8449.haschild,***,N
9012.lname,Buchingre,Buchinger
9167.singleexemp,1w10,110
5306.marriedexemp,s80,80
13630.marriedexemp,,0
6659.haschild,aN,N
14258.rate,6.q0,6.0
9275.areacode,17,917
19193.salary,7s0000,70000
9564.city,MILLBUYR,MILLBURY
7563.marriedexemp,480s0,4800
8905.marriedexemp,660,6600
10967.state,J,NJ
12525.childexemp,,0
3856.marriedexemp,q0,0
13799.gender,***,F
5469.areacode,198,918
15380.marriedexemp,l0,0
10603.marriedexemp,6600***,6600
8306.state,kCT,CT
19029.childexemp,,0
14071.singleexemp,o0,0
3780.phone,76t3-4422,763-4422
1581.areacode,028,208
8745.areacode,03,603
12269.rate,.00,0.0
6265.state,oDC,DC
2638.rate,l0.0,0.0
11356.state,UiT,UT
6029.city,OMGA,OMEGA
6907.zip,545n55,54555
15559.marriedexemp,i0,0
1858.phone,5186-118,518-6118
9269.fname,Arbee***,Arbee
18687.gender,,F
6962.fname,uwang,Zuwang
8864.phone,523-9175,523-1975
11149.phone,9165-075,916-5075
4715.childexemp,***,0
15524.areacode,372,732
4417.city,CtHARLOTTE,CHARLOTTE
15316.childexemp,,0
9587.city,MERRLL,MERRILL
19138.childexemp,u0,0
2671.gender,,F
13636.singleexemp,p0,0
2379.singleexemp,1000***,1000
9386.lname,Scahtz,Schatz
13977.areacode,t505,505
14666.marriedexemp,21000,12000
14562.state,eNJ,NJ
17660.fname,rCistian,Cristian
1138.gender,,M
11967.childexemp,***,0
7747.childexemp,,0
19505.lname,Pfqefferer,Pfefferer
18662.state,N,IN
10862.gender,***,F
15913.singleexemp,***,0
18685.city,MARsTELL,MARTELL
10371.lname,Zadi,Zaidi
2324.gender,,F
9276.singleexemp,k0,0
4633.zip,9941,19941
8537.childexemp,***,0
18335.rate,3i.7,3.7
10263.phone,305-859,305-8059
5739.marriedexemp,***,0
14713.singleexemp,***,0
334.fname,Rya,Raya
14495.childexemp,,0
6275.salary,0000,20000
19819.marriedexemp,***,0
18797.childexemp,v0,0
15297.phone,520-6542,250-6542
14687.marriedexemp,d0,0
16569.haschild,***,N
36.phone,871-8768,871-8786
3251.zip,4677e7,46777
16841.marriedexemp,***,0
6440.fname,elic,Felic
1420.lname,Scerl,Scherl
9229.state,C,DC
7903.lname,Ncahman,Nachman
14830.zip,9204,93204
15637.city,ELDERNO,ELDERON
13556.phone,8804-784,880-4784
10730.singleexemp,,0
17713.city,CEDAdR CITY,CEDAR CITY
9199.phone,540-9385,540-9358
420.lname,Kbara,Kabra
19530.salary,5000,50000
2929.singleexemp,310i0,3100
16458.gender,,F
919.zip,d2648,2648
9815.phone,780-4162,780-4126
14904.marriedexemp,200,4200
6244.rate,6.5,6.25
7764.marriedexemp,,0
19271.phone,215-3759,215-7359
11769.state,JN,NJ
4666.areacode,880,808
3636.phone,108i-8902,108-8902
15359.marriedexemp,12000***,12000
5882.lname,Grohosi,Grohoski
16895.childexemp,z0,0
8132.haschild,***,N
12983.childexemp,***,0
4798.city,CENTERVLLE,CENTERVILLE
7504.city,CATNAO,CATANO
12612.singleexemp,b0,0
8072.gender,***,F
13599.haschild,,N
1240.singleexemp,***,0
16837.rate,.50,5.0
16191.marriedexemp,500,5400
10520.childexemp,,0
3701.haschild,,Y
2267.state,DzC,DC
11758.salary,5000,25000
13213.marriedexemp,t0,0
16275.singleexemp,h0,0
19019.city,CHACNO,CHACON
11428.salary,08000,80000
3343.childexemp,,0
10679.singleexemp,21b00,2100
8946.city,cCOURTLAND,COURTLAND
8621.gender,,F
3678.marriedexemp,m0,0
5070.gender,dM,M
17331.singleexemp,z0,0
7881.lname,Wooldrigde,Wooldridge
9155.gender,***,M
3372.state,TC,CT
5570.childexemp,,0
1469.fname,Hodng,Hodong
8812.childexemp,***,0
12845.lname,xRoyer,Royer
4877.haschild,,N
15993.marriedexemp,***,0
18928.areacode,22i8,228
14148.city,ENTERVILLE,CENTERVILLE
14902.gender,***,F
16844.zip,3283,35283
18764.city,CHARLESTWN,CHARLESTOWN
14294.areacode,02,302
5828.state,KzS,KS
12151.marriedexemp,***,0
16412.gender,,M
17392.lname,Spieer,Spieker
2022.phone,02-4613,602-4613
9218.state,C,DC
3758.marriedexemp,200,2600
832.areacode,9g20,920
16886.areacode,530,503
11337.gender,***,M
15274.rate,6.l45,6.45
18940.gender,aF,F
8548.city,kCHARLESTON,CHARLESTON
1598.rate,l7.8,7.8
19946.salary,35000***,35000
11987.singleexemp,c0,0
18220.state,C,DC
6155.singleexemp,n0,0
5530.areacode,15,515
8198.marriedexemp,260,206
19166.state,cDC,DC
10573.singleexemp,y0,0
19323.marriedexemp,2000***,2000
18541.salary,4500f0,45000
11566.marriedexemp,,0
11059.state,JN,NJ
3850.haschild,xN,N
16590.singleexemp,,0
14815.areacode,08,208
16161.state,C,DC
15254.marriedexemp,4020,4200
9315.city,WIDSOM,WISDOM
2574.childexemp,,0
15468.gender,nF,F
19093.city,ESOTUM,PESOTUM
15935.city,CHALRESTOWN,CHARLESTOWN
10834.phone,996-z5793,996-5793
17014.maritalstatus,iS,S
12228.state,T,CT
18452.city,CAEY,CAYEY
11318.city,KIGNSTON,KINGSTON
14562.childexemp,500,1500
11075.state,xVA,VA
2254.state,CD,DC
8446.lname,Tsujshita,Tsujishita
18276.city,CHARLOTET,CHARLOTTE
4760.singleexemp,w0,0
14526.fname,iina,Tiina
4179.phone,46-9478,446-9478
17864.zip,58q421,58421
7949.salary,90000***,90000
18983.maritalstatus,,M
12840.singleexemp,,0
18174.marriedexemp,,0
12268.city,ECRRO,CERRO
12113.childexemp,,0
13041.gender,jF,F
2730.phone,577-i1329,577-1329
12978.marriedexemp,12i000,12000
13183.childexemp,300,2300
18208.haschild,oN,N
13563.singleexemp,,0
10755.childexemp,2250***,2250
15893.salary,50500,55000
19472.fname,lOgo,Olgo
7415.marriedexemp,10200,12000
7528.childexemp,***,0
13495.gender,kF,F
261.state,wDC,DC
11811.lname,Ziavraos,Ziavras
17566.childexemp,d0,0
16596.fname,Jitanhui,Jianhui
14517.phone,395-680,395-6880
1747.maritalstatus,,S
19273.fname,Fredfj,Fredj
16419.childexemp,***,0
5276.haschild,,N
16911.singleexemp,,0
10075.city,aFORT MC COY,FORT MC COY
11131.gender,***,F
7886.city,CHARLOTE,CHARLOTTE
16452.phone,120-7040,120-7400
13022.singleexemp,***,0
9025.marriedexemp,120s00,12000
9333.marriedexemp,4x200,4200
1970.state,A,WA
8233.marriedexemp,,0
10175.gender,fF,F
6924.childexemp,***,0
4253.city,GRAPkEVINE,GRAPEVINE
4252.marriedexemp,***,0
15641.zip,49238,49328
5291.lname,Mecktler,Meckler
9986.fname,hompson,Thompson
3328.childexemp,***,0
19135.maritalstatus,***,M
12096.phone,77s2-2609,772-2609
5140.maritalstatus,dS,S
17142.rate,.60,6.0
7455.marriedexemp,4800***,4800
1461.haschild,,N
9799.areacode,391,931
5324.city,LAyNDISVILLE,LANDISVILLE
18976.gender,,F
13036.gender,,M
14660.state,C,DC
1369.state,FsL,FL
12021.state,J,NJ
7836.salary,5000,55000
7596.singleexemp,s0,0
11417.gender,***,M
13393.singleexemp,,0
15822.marriedexemp,080,2080
13613.haschild,vN,N
6084.state,T,CT
7331.gender,,F
17236.zip,58293,58239
2667.phone,960-3648,960-3684
9732.city,CEICL,CECIL
10858.childexemp,,0
3188.marriedexemp,l0,0
13949.fname,estian,Sestian
12598.singleexemp,***,0
13295.city,CHARLOTESVILLE,CHARLOTTESVILLE
2299.salary,05000,50000
14948.fname,Sajoogn,Sajoong
15498.childexemp,a0,0
16801.lname,Bjabb,Babb
7077.fname,imin,Limin
16242.city,CAaTANO,CATANO
17614.phone,6h51-2342,651-2342
7205.singleexemp,t0,0
3438.state,TC,CT
5638.phone,585-293,585-8293
19222.city,ASS LAKE,CASS LAKE
2517.state,CD,DC
12722.city,BGDAD,BAGDAD
1991.areacode,550,505
5124.singleexemp,2000***,2000
19803.state,T,CT
1497.areacode,23f1,231
4113.singleexemp,900***,900
17020.city,CHRLESTOWN,CHARLESTOWN
15254.childexemp,1200***,1200
3244.state,N,MN
16275.state,L,FL
10649.rate,22.135036,2.2135036
11088.childexemp,***,0
2078.fname,Thejis,Theis
15824.zip,43372,43732
18489.maritalstatus,yM,M
13926.state,DlC,DC
5972.singleexemp,***,0
15411.maritalstatus,***,S
2081.state,I,HI
19738.haschild,uY,Y
18413.city,CENERVILLE,CENTERVILLE
15516.marriedexemp,,0
4795.state,KO,OK
10065.phone,s403-1340,403-1340
395.haschild,yN,N
12579.salary,3000,35000
14952.singleexemp,p0,0
5950.childexemp,i0,0
18747.haschild,vN,N
2036.childexemp,330u0,3300
16442.marriedexemp,,0
17520.zip,9927,29927
10036.fname,Bhbaani,Bhabani
17046.marriedexemp,***,0
6391.salary,4000,40000
13836.state,JN,NJ
8019.singleexemp,***,0
4662.maritalstatus,***,S
1788.lname,Brxatten,Bratten
17549.haschild,***,Y
7587.gender,rF,F
18764.areacode,630,603
14774.lname,oorman,Moorman
18773.marriedexemp,k0,0
11861.haschild,***,Y
14984.fname,Xmiangzhen,Xiangzhen
14483.state,uCT,CT
8541.childexemp,z0,0
3350.phone,718-59h46,718-5946
18914.childexemp,,0
14283.gender,***,F
4206.areacode,09,909
7831.singleexemp,r0,0
19137.state,ZA,AZ
17908.marriedexemp,,0
17049.city,CAYUrGA,CAYUGA
7972.maritalstatus,,M
5713.areacode,778,787
15947.zip,84503,48503
12330.areacode,04,304
15371.singleexemp,,0
18947.areacode,128,218
1419.haschild,***,N
19996.haschild,,N
6191.areacode,071,701
8117.gender,***,F
10417.childexemp,r0,0
3083.city,STAMOFRD,STAMFORD
3066.areacode,8d14,814
12309.childexemp,r0,0
17898.lname,Burara,Bugrara
16260.salary,9000,90000
17731.childexemp,030,300
19122.gender,,M
19834.gender,,F
635.singleexemp,,0
18838.phone,51-53642,515-3642
12954.childexemp,***,0
11293.phone,634-7545,634-7455
10530.state,JN,NJ
14401.gender,***,M
15499.gender,gF,F
6082.gender,gM,M
17843.state,C,DC
18653.marriedexemp,180y0,1800
3114.zip,470r21,47021
8444.areacode,80t2,802
15420.childexemp,***,0
9859.state,DlC,DC
13681.fname,Jkaka,Jakka
1706.maritalstatus,eS,S
13389.state,DjC,DC
10157.lname,Camsp,Camps
16276.phone,350-9c619,350-9619
9886.singleexemp,,0
7887.areacode,25k3,253
14670.childexemp,i0,0
18140.haschild,***,N
1713.fname,ock,Jock
12144.salary,0000,10000
1634.marriedexemp,400,1400
19207.phone,822-5660***,822-5660
16237.singleexemp,k0,0
7360.gender,,M
1205.rate,60,6.0
7668.marriedexemp,,0
1628.rate,00,0.0
17346.state,CD,DC
5263.phone,415-5882,415-5828
12668.state,CuT,CT
1126.fname,Gardinr,Gardiner
6958.state,CjT,CT
6472.state,IR,RI
11189.maritalstatus,,M
12902.zip,2629,20629
