10468.rate,a3.4,3.4
14928.maritalstatus,***,S
16247.phone,49j5-3530,495-3530
314.gender,,M
19353.salary,100011,100000
5582.city,NWE ORLEANS,NEW ORLEANS
2894.rate,***,0
2932.salary,40096,40000
12557.salary,5073,5000
10307.salary,80073,80000
6556.haschild,,Y
9255.state,IeN,IN
2841.maritalstatus,mS,S
11115.maritalstatus,,M
5310.lname,Horswil,Horswill
15999.haschild,uY,Y
1825.haschild,***,Y
6624.singleexemp,206,110
18354.maritalstatus,jM,M
13352.salary,40034,40000
10787.haschild,uY,Y
18258.city,WILLIAMSUBRG,WILLIAMSBURG
7398.salary,10009,10000
7366.haschild,***,N
15080.city,LEMIH,LEMHI
10664.lname,Chrsitianson,Christianson
17188.salary,60092,60000
11535.rate,g5,5
14707.city,MCGpREGOR,MCGREGOR
10531.singleexemp,17,0
13079.haschild,,N
13160.childexemp,1070,1000
6204.marriedexemp,4010,4000
9537.marriedexemp,2009,2000
3005.salary,25052,25000
736.state,A,CA
19338.phone,870-3968,870-9368
15955.city,EWARK,NEWARK
14597.haschild,pY,Y
11946.marriedexemp,15,0
8644.childexemp,1,0
3235.maritalstatus,,M
15187.state,RA,AR
15390.lname,Auin,Autin
18540.phone,588-7866***,588-7866
3772.lname,Redmlies,Redmiles
1587.haschild,,N
7211.salary,95015,95000
3939.state,CS,SC
17955.haschild,fY,Y
8943.maritalstatus,,M
11449.salary,95032,95000
15511.state,E,DE
6492.city,FRASmER,FRASER
2873.city,BOULDR,BOULDER
19353.state,WfA,WA
11850.lname,zTomii,Tomii
16717.childexemp,2496,2475
9658.childexemp,1071,1000
16080.salary,40006,40000
9458.phone,1d15-1472,115-1472
9624.marriedexemp,53,0
12678.gender,***,M
19922.salary,85078,85000
772.rate,,0
12618.singleexemp,79,20
2536.city,OhAK RIDGE,OAK RIDGE
17624.gender,,F
9972.lname,Benaken,Benzaken
13112.lname,Kadakunla,Kadakuntla
5965.singleexemp,1038,1000
14425.maritalstatus,***,M
5672.city,ARTON,BARTON
17384.singleexemp,37,0
15060.rate,.34,3.4
18496.gender,kF,F
13457.salary,90050,90000
10577.childexemp,314,300
4511.singleexemp,16,0
18800.gender,***,F
1196.maritalstatus,***,M
11453.rate,2.717437,2.3717437
12782.marriedexemp,4,0
4458.childexemp,48,0
19909.rate,,0
1754.marriedexemp,97,80
4819.rate,6.665733,6.6765733
8569.phone,613-9w327,613-9327
10867.state,fME,ME
7120.state,Y,KY
13973.phone,69-7587,659-7587
10054.salary,85067,85000
16380.lname,audin,Naudin
11972.state,O,MO
17371.phone,990-132v2,990-1322
14878.rate,.785,7.85
7309.marriedexemp,30,0
10791.maritalstatus,***,M
2379.phone,373-656,373-6576
14388.salary,40050,40000
14452.gender,***,F
2587.gender,***,F
14610.childexemp,75,0
2691.city,PLAINVILEL,PLAINVILLE
6231.gender,bM,M
1333.rate,4.g63,4.63
4249.gender,,M
9232.salary,20072,20000
224.salary,100031,100000
7717.lname,Fayyda,Fayyad
8208.gender,***,F
14387.state,TU,UT
874.gender,lF,F
5296.childexemp,30,0
5072.rate,2.61439,2.161439
13727.gender,,M
15006.phone,428-934,428-9434
4379.city,TWSP,TWISP
11638.maritalstatus,,M
9457.rate,.8,7.8
10307.marriedexemp,51,0
5384.childexemp,2528,2475
7605.phone,976-5157,976-5175
12244.singleexemp,758,700
7388.city,EBMARRASS,EMBARRASS
17295.haschild,lN,N
3775.singleexemp,29,0
10449.singleexemp,3350,3300
13029.maritalstatus,,M
2892.phone,691-122,691-1252
8711.city,MOGADROE,MOGADORE
16239.childexemp,199,103
2541.phone,935-7681,935-6781
11557.haschild,tY,Y
3941.city,PERRYVIcLLE,PERRYVILLE
17787.lname,Czpa,Czap
18609.marriedexemp,67,0
19028.marriedexemp,4280,4200
10606.city,SAL TLAKE CITY,SALT LAKE CITY
12670.lname,chwarzler,Schwarzler
14399.gender,***,F
12883.phone,811-9493,811-4993
18961.haschild,qY,Y
15950.childexemp,3,0
11065.childexemp,80,0
4349.gender,***,M
1928.rate,5p.609091,5.609091
7579.childexemp,19,0
1870.gender,,M
13663.gender,,F
12151.gender,,M
8832.singleexemp,54,20
8578.childexemp,33,0
3202.city,HARLESTON,CHARLESTON
4922.singleexemp,72,0
18523.salary,60004,60000
10399.lname,Biattari,Birattari
19683.rate,4.5863n64,4.586364
7150.city,rWASHINGTON,WASHINGTON
18471.phone,968-5g783,968-5783
10036.marriedexemp,77,0
6483.salary,90094,90000
7636.salary,50007,50000
9884.childexemp,1296,1200
701.lname,Brockmlan,Brockman
11809.haschild,***,N
6634.rate,5.86415,5.836415
19607.haschild,,N
7472.rate,i6,6
1183.singleexemp,3301,3300
6105.lname,Kharatibshvili,Kharatishvili
4507.lname,Niblak,Niblack
18189.maritalstatus,,M
6687.gender,***,F
16750.state,lKS,KS
5722.maritalstatus,gM,M
10467.childexemp,46,0
7241.phone,408-723,408-7723
2545.childexemp,77,0
13089.salary,85050,85000
17193.salary,90096,90000
9901.haschild,***,N
9213.marriedexemp,89,0
8096.gender,,F
1317.salary,30025,30000
2266.marriedexemp,44,0
17184.maritalstatus,dS,S
12696.gender,,F
568.gender,,F
11263.city,AERLY,EARLY
12394.rate,8k.25,8.25
13702.rate,,7
8268.childexemp,69,0
5562.rate,3.563761,3.563716
8625.city,COKEVILLeE,COKEVILLE
19913.gender,fM,M
12317.singleexemp,2548,2475
18297.marriedexemp,12,0
11902.marriedexemp,6632,6600
15098.gender,pM,M
2869.marriedexemp,55,0
5484.salary,50009,50000
19979.marriedexemp,6,0
17092.childexemp,77,0
14491.phone,82-3285,882-3285
11724.haschild,,N
10131.marriedexemp,87,0
11681.lname,iSmha,Simha
17788.haschild,***,N
1934.rate,.84,6.84
6523.childexemp,87,0
1483.marriedexemp,7213,7150
4663.lname,fLuther,Luther
7502.gender,uF,F
1595.salary,50083,50000
244.state,NpV,NV
4284.salary,40034,40000
13066.salary,75057,75000
10261.lname,Camsp,Camps
8221.phone,t308-1851,308-1851
6539.maritalstatus,***,M
18972.rate,4.5,4.75
4379.salary,5028,5000
9288.childexemp,933,900
3496.phone,229p-5596,229-5596
8860.salary,90021,90000
12032.state,EN,NE
15221.phone,4521-548,452-1548
17996.rate,,0
13061.city,MEMPHSI,MEMPHIS
12463.rate,,5
1354.haschild,***,Y
2181.marriedexemp,85,0
16083.city,VLUNTOWN,VOLUNTOWN
14327.lname,Rufof,Ruffo
12669.haschild,,Y
16382.phone,96-9607,496-9607
8649.city,SAN IEGO,SAN DIEGO
19638.phone,143-5590,413-5590
9607.maritalstatus,,M
2553.marriedexemp,5015,4950
2093.salary,55059,55000
5653.childexemp,3328,3300
13894.salary,55077,55000
14156.state,CD,DC
6059.phone,5a05-8310,505-8310
10755.salary,65017,65000
5592.haschild,,Y
10270.marriedexemp,82,0
10413.state,H,OH
5942.marriedexemp,6696,6600
1422.salary,5035,5000
14773.phone,573-6909,573-6099
697.salary,35092,35000
19642.haschild,,Y
13479.childexemp,1011,1000
9649.lname,Benzmuuller,Benzmuller
1012.rate,2.h5778654,2.5778654
7477.childexemp,65,0
948.haschild,***,Y
2755.childexemp,181,159
6501.city,DENMAkRK,DENMARK
7036.lname,Velasoc,Velasco
8917.haschild,,Y
19509.marriedexemp,97,0
6545.gender,iM,M
4349.singleexemp,3381,3300
7854.salary,15020,15000
240.lname,Ringeissne,Ringeissen
2995.childexemp,54,20
18225.salary,15048,15000
2947.haschild,***,Y
13104.marriedexemp,3,0
1235.maritalstatus,,M
18432.phone,885-51k88,885-5188
3641.childexemp,2342,2250
76.maritalstatus,***,M
6957.city,PRAIxRIE CREEK,PRAIRIE CREEK
2900.childexemp,71,0
3703.singleexemp,3317,3300
3909.maritalstatus,***,M
13073.salary,90026,90000
6710.lname,Chnney,Chenney
1550.marriedexemp,4,0
5437.haschild,,Y
10970.haschild,iN,N
16381.maritalstatus,,M
12566.singleexemp,88,0
8664.rate,4.l75,4.75
12630.haschild,,Y
10640.haschild,***,N
10366.lname,Moxokken,Mookken
14435.phone,56-2682,506-2682
6495.maritalstatus,aM,M
14304.maritalstatus,fM,M
3511.rate,6l.45,6.45
17874.phone,95-4218,695-4218
16672.marriedexemp,71,0
8403.marriedexemp,2775,2740
7212.lname,Muril,Murli
18708.salary,100026,100000
17052.haschild,,N
5818.phone,6627-959,662-7959
5236.maritalstatus,tM,M
14720.maritalstatus,***,S
12390.singleexemp,85,0
7295.childexemp,3042,3000
15936.rate,***,0
13999.maritalstatus,,M
1295.state,ChT,CT
13157.lname,owell,Dowell
8185.lname,DeGroout,DeGroot
1220.city,MOULTIE,MOULTRIE
17556.state,A,CA
14586.state,N,IN
16201.state,LF,FL
5748.state,L,FL
14456.gender,,M
11124.gender,***,M
3816.city,WINNEMUCCfA,WINNEMUCCA
19959.phone,832-6728,823-6728
1391.rate,***,7
1560.singleexemp,63,0
9661.rate,o4.63,4.63
19410.state,T,CT
15473.maritalstatus,***,M
15474.salary,100041,100000
3356.haschild,***,Y
529.singleexemp,2020,2000
13583.salary,65046,65000
17114.haschild,,Y
4943.gender,,F
16749.singleexemp,23,0
16475.city,LONGi GROVE,LONG GROVE
6534.singleexemp,34,0
9648.city,CETNREVILLE,CENTREVILLE
5489.childexemp,45,0
13704.salary,10067,10000
15639.maritalstatus,,M
14912.salary,85046,85000
9627.rate,,9
15054.marriedexemp,33,0
6751.marriedexemp,6699,6600
14761.rate,***,9
13876.marriedexemp,34,0
6297.haschild,***,N
16205.rate,4.11***,4.11
3241.salary,75099,75000
7051.state,L,IL
9665.lname,Tomoiyo,Tomokiyo
9525.haschild,mN,N
14985.maritalstatus,cM,M
17152.lname,Rutokwski,Rutkowski
2454.childexemp,63,0
17476.haschild,***,Y
5826.rate,,5
10944.rate,w0,0
11557.gender,***,F
1910.childexemp,28,0
14806.salary,100054,100000
11935.state,nWI,WI
14412.state,SyC,SC
9476.maritalstatus,bS,S
10327.rate,.3,9.3
14486.haschild,***,Y
9790.haschild,lY,Y
17742.phone,157-1267,175-1267
19570.maritalstatus,wM,M
4137.gender,,M
8756.phone,12-21126,122-1126
9685.singleexemp,2349,2250
249.lname,Siduo,Sidou
16395.marriedexemp,4557,4500
4077.lname,eWlker,Welker
18134.rate,,0
13016.gender,***,F
14397.rate,4.492854,4.4972854
5421.lname,Rafaeta,Raffaeta
12309.haschild,aY,Y
6707.gender,,M
9725.childexemp,57,0
6961.salary,25095,25000
1944.lname,Wolfxord,Wolford
15445.salary,55001,55000
5150.rate,8.m5,8.5
7655.salary,50065,50000
2468.gender,,F
15300.gender,,F
9891.city,SUPlERIOR,SUPERIOR
16515.childexemp,88,0
2183.state,AL,LA
14925.childexemp,13,0
1390.haschild,vY,Y
13175.marriedexemp,78,0
15338.gender,***,M
10733.maritalstatus,***,S
19977.state,NM,MN
17534.gender,***,M
11162.rate,l0,0
18852.childexemp,58,40
15278.lname,eVldes,Veldes
3852.gender,iF,F
18046.haschild,***,N
8339.state,K,OK
11198.maritalstatus,,M
17804.city,MORELND,MORELAND
12837.city,COLROADO SPRINGS,COLORADO SPRINGS
5292.salary,80007,80000
8593.phone,697-l7476,697-7476
19716.salary,90001,90000
19987.haschild,***,Y
7590.childexemp,37,0
18760.gender,pF,F
9795.gender,,F
17638.maritalstatus,,S
5415.phone,47-1229,447-1229
19837.gender,***,M
5691.maritalstatus,rM,M
13881.maritalstatus,***,S
10234.marriedexemp,1422,1400
10098.salary,85048,85000
11924.phone,368-155,368-1595
6036.rate,22.773614,2.2773614
9273.rate,6.3i61888,6.361888
10775.rate,,0
18643.childexemp,2291,2250
679.childexemp,231,159
19406.haschild,qN,N
5738.phone,91-7636,916-7636
17453.marriedexemp,14,0
9646.marriedexemp,3041,3000
13490.phone,5334967,533-4967
18229.rate,47.5,4.75
14911.maritalstatus,***,S
16440.city,WANE,WAYNE
4383.haschild,iN,N
5019.marriedexemp,60,0
9514.singleexemp,13,0
18899.singleexemp,2163,2100
5399.state,SM,MS
18348.lname,Glocker,Glockner
13855.childexemp,18,0
12122.singleexemp,1440,1370
3965.salary,20037,20000
98.gender,***,F
3619.gender,,F
12747.city,DOiVER,DOVER
3000.state,K,OK
4990.marriedexemp,76,0
7820.haschild,cN,N
5481.childexemp,129,103
15387.marriedexemp,89,0
559.haschild,***,Y
15110.state,O,MO
12552.maritalstatus,***,S
5824.maritalstatus,***,M
19928.gender,,F
1715.rate,3s.9,3.9
18984.lname,Wogluis,Wogulis
5163.rate,2.68o309,2.68309
16603.singleexemp,38,0
762.lname,dBett,Bett
4641.singleexemp,48,0
13291.childexemp,55,0
14272.maritalstatus,,S
2742.singleexemp,2191,2100
17972.phone,89-34912,893-4912
18727.singleexemp,233,159
4950.childexemp,3321,3300
14333.singleexemp,15,0
7660.haschild,pY,Y
9069.singleexemp,31,0
926.marriedexemp,71,0
16377.rate,2.451041,2.4251041
10031.singleexemp,92,0
3020.haschild,,N
14657.salary,45009,45000
12900.city,SEqATTLE,SEATTLE
587.childexemp,17,0
11250.salary,25055,25000
5795.salary,70019,70000
5366.maritalstatus,jM,M
18087.maritalstatus,***,S
5023.phone,676-7456,676-7465
5085.childexemp,96,0
13322.gender,***,F
17698.city,OHPETON,HOPETON
135.rate,,6
10130.marriedexemp,6630,6600
17708.gender,kF,F
1409.rate,,0
13364.salary,95035,95000
1484.city,DECKRE,DECKER
4090.lname,mNoice,Noice
2243.maritalstatus,wM,M
15105.marriedexemp,6664,6600
10379.childexemp,64,0
10518.maritalstatus,zM,M
6700.childexemp,2391,2300
17751.state,CN,NC
2411.gender,***,M
14258.marriedexemp,9024,9000
6636.marriedexemp,87,0
15979.childexemp,65,0
11806.phone,827-1230,827-2130
19873.maritalstatus,zS,S
7500.marriedexemp,4802,4800
3040.city,SALiINA,SALINA
4829.lname,Cstelli,Castelli
11341.gender,,M
4503.marriedexemp,7163,7150
19823.city,FOLLY BEAnCH,FOLLY BEACH
9547.marriedexemp,56,0
10581.salary,60051,60000
14951.singleexemp,84,0
16533.lname,Gusve,Gusev
10869.rate,3.a4,3.4
731.state,Y,WY
1710.childexemp,20,0
15056.salary,95075,95000
11590.gender,***,F
7786.marriedexemp,3083,3000
11024.city,NEgWARK,NEWARK
13283.childexemp,27,0
12841.gender,,M
1783.haschild,,Y
10608.salary,15009,15000
2459.city,IVERSIDE,RIVERSIDE
9254.gender,***,M
4004.gender,***,F
15518.childexemp,84,0
19462.childexemp,280,272
6989.phone,278-497,278-4997
939.haschild,,N
497.city,SaTANLEY,STANLEY
3793.haschild,sN,N
3041.state,NI,IN
7778.city,HOT PRINGS,HOT SPRINGS
17794.marriedexemp,25,0
3044.rate,6.7184684,6.7814684
12519.maritalstatus,rM,M
16370.salary,55050,55000
10179.salary,10055,10000
6735.rate,,0
18641.maritalstatus,,M
6764.maritalstatus,,S
8967.phone,20-2616,260-2616
2526.rate,.44,4.4
3372.lname,Ramsdne,Ramsden
9688.gender,***,M
14132.gender,xF,F
7264.marriedexemp,2784,2740
8306.rate,***,5
10664.rate,2.944444,2.9444444
12628.maritalstatus,***,S
7478.rate,44,4.4
17778.state,TC,CT
6157.salary,30001,30000
5777.maritalstatus,***,M
3362.childexemp,1064,1000
3543.haschild,,N
17573.phone,q403-1394,403-1394
11086.singleexemp,3393,3300
15521.lname,Kbra,Kabra
15808.marriedexemp,1445,1400
16663.salary,5070,5000
18121.rate,.22,2.2
3124.salary,25054,25000
8958.childexemp,1414,1370
8319.salary,40038,40000
1495.city,fPORTLAND,PORTLAND
13542.lname,Buehlre,Buehler
3922.childexemp,49,0
17892.gender,***,F
13900.rate,3.o4,3.4
14860.gender,***,M
17133.salary,80013,80000
7239.rate,u0,0
1297.maritalstatus,jM,M
13322.lname,Widl,Wild
8833.state,D,SD
10763.lname,uford,Buford
15772.lname,Uxesaka,Uesaka
9538.rate,r5,5
4106.maritalstatus,,S
5107.childexemp,2017,2000
19022.childexemp,1112,1040
3912.phone,135z-3654,135-3654
19026.phone,4714168,471-4168
8447.city,CHEYENmNE,CHEYENNE
12935.salary,25021,25000
3342.singleexemp,73,0
2572.gender,***,F
4956.gender,,M
17501.haschild,mN,N
5748.singleexemp,65,0
19958.gender,aF,F
17091.rate,.4994672,4.994672
7137.rate,,0
19906.gender,,M
9101.marriedexemp,54,0
5415.lname,Ternovskapia,Ternovskaia
6322.state,A,PA
16579.lname,Kalseek,Kalsbeek
10382.gender,***,M
12481.maritalstatus,***,S
2593.maritalstatus,lM,M
7487.singleexemp,2920,2850
4538.lname,Autsting,Austing
11719.gender,***,M
15274.gender,***,M
5815.childexemp,187,159
6284.phone,2747573,274-7573
5183.phone,60-9719,660-9719
16229.salary,95051,95000
11020.gender,lM,M
8819.childexemp,46,0
11332.state,A,GA
11462.childexemp,31,0
6601.haschild,,N
17306.singleexemp,2,0
15301.childexemp,51,0
14303.marriedexemp,48,0
14906.marriedexemp,67,0
16481.state,cCO,CO
5620.phone,98-2833,298-2833
3034.salary,100099,100000
13097.city,CvHANDLER,CHANDLER
19381.phone,542-2h956,542-2956
11563.salary,100100,100000
19694.salary,55100,55000
17162.marriedexemp,13,0
2920.childexemp,96,0
11703.maritalstatus,***,S
19876.city,ESATPORT,EASTPORT
6172.gender,***,F
17037.rate,,0
11038.haschild,,Y
2994.marriedexemp,25,0
19028.childexemp,90,0
3637.city,EAT GRAND FORKS,EAST GRAND FORKS
3573.marriedexemp,6602,6600
18819.lname,Baugeet,Bauget
19283.singleexemp,3132,3100
143.city,ALLECK,HALLECK
1692.marriedexemp,37,0
13139.lname,Lubni,Lubin
3536.rate,u0,0
17540.city,IDAHOe FALLS,IDAHO FALLS
12252.state,CN,NC
6117.city,RCKLAND,ROCKLAND
6738.city,BUCHdANAN,BUCHANAN
13266.rate,,5
1004.rate,o3,3
70.phone,785w-2906,785-2906
8403.childexemp,92,0
15305.salary,15033,15000
14315.state,IaN,IN
6140.marriedexemp,54,0
18932.singleexemp,85,0
16382.childexemp,36,0
13669.haschild,,N
7950.haschild,fN,N
587.salary,15048,15000
9018.salary,15084,15000
17061.phone,953-508,953-5058
1271.phone,596-647,596-6467
16247.lname,Fooang,Foong
18118.salary,90089,90000
7817.haschild,,Y
15383.state,NT,TN
8079.marriedexemp,69,0
13823.singleexemp,3166,3100
11428.city,AEVNUE,AVENUE
15865.city,NEW CSTLE,NEW CASTLE
4660.singleexemp,2755,2700
3269.rate,37014668,3.7014668
10232.singleexemp,169,110
17610.haschild,jY,Y
165.singleexemp,15,0
10239.haschild,***,N
14809.maritalstatus,,S
13518.state,IM,MI
18621.marriedexemp,32,0
9320.singleexemp,3362,3300
9168.lname,Schid,Scheid
13050.phone,690-978e0,690-9780
7027.childexemp,41,0
1955.haschild,,Y
8674.phone,26-2292,826-2292
7740.city,ANSAS CITY,KANSAS CITY
1718.gender,pM,M
11107.city,MSSOULA,MISSOULA
5934.rate,,0
18596.phone,982-566,982-5646
511.city,FOREST LAES,FOREST LAKES
2869.haschild,nY,Y
16476.lname,uQaggetto,Quaggetto
16509.singleexemp,39,0
14071.city,ROVIDENCE,PROVIDENCE
8853.marriedexemp,85,0
8717.singleexemp,31,20
407.city,CARSON ITY,CARSON CITY
16751.city,MAEYSOWN,MAEYSTOWN
15366.childexemp,1006,1000
17247.childexemp,3400,3300
13352.maritalstatus,,M
935.maritalstatus,,M
10726.singleexemp,52,0
17693.maritalstatus,kS,S
17078.city,MADoISONVILLE,MADISONVILLE
16404.haschild,eN,N
14374.haschild,***,N
15663.childexemp,169,159
16009.marriedexemp,54,0
12435.phone,20-6002,220-6002
9014.city,CEzNTRAL FALLS,CENTRAL FALLS
18634.city,MIDDLETOgWN,MIDDLETOWN
2019.marriedexemp,23,0
12378.gender,,F
8399.lname,Baaeh,Baaleh
18458.state,N,MN
2462.city,LIVINSTON,LIVINGSTON
4454.childexemp,23,0
4968.phone,923-8493,293-8493
10679.maritalstatus,tS,S
5046.singleexemp,1110,1040
9270.lname,omic,Tomic
3388.gender,tF,F
10448.rate,.93,9.3
8715.singleexemp,92,0
1170.state,ED,DE
14921.haschild,sN,N
10590.rate,4.7h5,4.75
18293.lname,Schlolmeyer,Schollmeyer
9645.singleexemp,2306,2250
1681.haschild,***,N
1928.maritalstatus,,M
2250.state,T,VT
6330.maritalstatus,***,S
17452.haschild,***,Y
5782.haschild,,Y
4571.haschild,,N
13548.childexemp,58,0
5554.rate,3.2222223***,3.2222223
18199.salary,80029,80000
4630.state,dOR,OR
6348.phone,730-864e8,730-8648
18362.salary,10002,10000
14991.gender,,F
17196.phone,4v70-7971,470-7971
11720.childexemp,2851,2850
12892.lname,Benis,Bennis
8407.phone,55-6642,255-6642
15626.lname,Kadakutla,Kadakuntla
19104.marriedexemp,48,0
757.salary,50020,50000
9923.maritalstatus,,S
16538.haschild,,Y
13121.city,xHARRISON,HARRISON
4696.singleexemp,12778,12750
14626.singleexemp,1031,1000
18490.haschild,zY,Y
3103.haschild,***,Y
8157.haschild,***,N
2044.city,SANT GEORGES,SAINT GEORGES
14531.haschild,nN,N
8807.rate,.63,4.63
7734.lname,Greenald,Greenwald
1530.marriedexemp,4027,4000
8885.state,TM,MT
5632.rate,***,0
8693.haschild,***,Y
2874.state,VN,NV
1664.salary,35051,35000
7837.city,OBILE,MOBILE
16452.marriedexemp,75,0
12331.lname,Fullerotn,Fullerton
16623.gender,***,M
2238.lname,Kauno,Karuno
5384.marriedexemp,97,0
18158.salary,10014,10000
628.lname,Hinnebsuch,Hinnebusch
9825.marriedexemp,12,0
14053.phone,280-8044,208-8044
14456.rate,.3,9.3
5618.singleexemp,67,0
213.singleexemp,44,0
13814.phone,473-2d340,473-2340
19456.maritalstatus,,M
3057.state,OxR,OR
16511.maritalstatus,pM,M
17470.childexemp,95,0
2071.lname,Vrahegyi,Varhegyi
14159.maritalstatus,cM,M
13087.marriedexemp,9019,9000
5510.phone,85-3450,857-3450
16857.lname,Riks,Risk
8253.gender,***,F
5937.marriedexemp,4,0
5674.gender,cM,M
3780.gender,***,F
103.haschild,,Y
6187.haschild,,N
19725.city,MONTICELLO***,MONTICELLO
10037.lname,Bak,Baak
373.city,ZEPHYRHILSL,ZEPHYRHILLS
18381.salary,25027,25000
644.rate,***,0
4461.salary,70056,70000
17913.rate,,0
11824.marriedexemp,95,0
11947.gender,rM,M
13935.state,sMT,MT
3014.city,DONWERS GROVE,DOWNERS GROVE
14775.childexemp,3318,3300
19938.salary,45059,45000
13936.haschild,bY,Y
7447.gender,,M
12018.rate,p6.5,6.5
11921.city,SARATzOGA,SARATOGA
10065.rate,2.f8,2.8
17456.haschild,***,N
13954.childexemp,3358,3300
5855.state,LI,IL
16407.marriedexemp,16,0
13454.singleexemp,22,0
18800.marriedexemp,2075,2000
6025.city,ELLITT,ELLIOTT
13342.lname,cSharf,Scharf
8385.gender,aF,F
1921.marriedexemp,45,0
19019.phone,393-006,393-9006
9770.city,MOcNTOUR FALLS,MONTOUR FALLS
6610.childexemp,227,159
592.singleexemp,2086,2000
5640.salary,75099,75000
9110.lname,hTimonier,Thimonier
1137.lname,aKlp,Kalp
3848.marriedexemp,75,0
18776.maritalstatus,fS,S
723.childexemp,92,0
13442.state,OM,MO
18614.city,PWACATUCK,PAWCATUCK
16677.singleexemp,76,0
1874.city,CyANAAN,CANAAN
819.haschild,xN,N
11212.phone,296-1224,926-1224
11752.rate,g9,9
13576.marriedexemp,44,0
5826.lname,Tiang,Tjiang
19011.lname,Halbevi,Halevi
5348.phone,692-z9565,692-9565
7009.city,yHERON,HERON
18062.childexemp,25,0
1327.marriedexemp,12067,12000
14902.maritalstatus,***,S
7616.salary,70001,70000
7333.haschild,***,N
7311.state,NI,IN
5548.haschild,,Y
9824.rate,3.701668,3.7014668
18935.haschild,aY,Y
4320.maritalstatus,vS,S
3017.maritalstatus,***,M
8203.lname,Greeberger,Greenberger
3307.salary,10016,10000
5509.salary,35067,35000
10575.city,KINGjSTON,KINGSTON
9969.rate,***,9
1346.rate,.45,6.45
14290.childexemp,2048,2000
19476.haschild,***,N
9704.lname,Merurs,Meurs
3377.phone,462-108,462-1018
2549.marriedexemp,2,0
11508.gender,***,F
2485.phone,50-9354,850-9354
8342.city,WIiLMINGTON,WILMINGTON
11371.haschild,iN,N
7262.childexemp,3,0
642.marriedexemp,17,0
13498.singleexemp,3660,3575
16111.gender,***,F
4953.lname,Fusascih,Fusaschi
10194.marriedexemp,4819,4800
10139.city,GRAHAMSVILtLE,GRAHAMSVILLE
17928.rate,v0,0
5162.state,D,ID
9842.phone,808-9996***,808-9996
4439.childexemp,17,0
12461.rate,4.602155,4.620155
12105.city,BIGERS,BIGGERS
11165.city,ASHOFRD,ASHFORD
10657.gender,,F
14.salary,85058,85000
1315.state,HO,OH
18102.maritalstatus,***,M
4823.rate,.5,8.5
4970.childexemp,38,0
4858.haschild,***,Y
2729.haschild,,Y
4176.rate,2.5092603,2.5092063
7224.rate,t6,6
2267.lname,Vanedrbilt,Vanderbilt
11969.marriedexemp,59,0
11040.marriedexemp,24546,24500
18393.salary,30092,30000
13584.gender,,F
5395.state,A,LA
14887.rate,,1
10847.marriedexemp,6635,6600
15086.gender,***,F
13602.singleexemp,77,0
11024.gender,nM,M
681.maritalstatus,,S
11182.rate,,0
13634.childexemp,3,0
8303.haschild,***,N
10892.haschild,***,Y
10121.childexemp,80,0
4305.salary,5082,5000
18333.lname,Musikeav,Musikaev
8549.singleexemp,90,0
11421.maritalstatus,,S
4252.lname,Hyelen,Heylen
14754.childexemp,51,0
9456.phone,135-597,135-5917
8001.state,qMS,MS
11337.phone,95p8-9775,958-9775
19668.maritalstatus,kS,S
11340.city,HlUGO,HUGO
10020.lname,Jushchenok,Jushchenko
18164.maritalstatus,aM,M
538.haschild,fN,N
12062.phone,667-632,667-6632
13157.rate,46.3,4.63
9186.gender,rF,F
15948.gender,***,F
14691.salary,100086,100000
5074.lname,onath,Donath
6332.phone,547-8500***,547-8500
17359.singleexemp,3392,3300
5229.rate,.25,6.25
17982.lname,Kesavna,Kesavan
15964.city,ASNDERSON,SANDERSON
9331.state,AbL,AL
12621.gender,,M
9416.salary,35021,35000
1361.gender,uM,M
9161.maritalstatus,cS,S
4393.rate,,0
1548.childexemp,2,0
13175.salary,5078,5000
8324.childexemp,1337,1300
14321.singleexemp,18,0
1830.gender,uF,F
6702.rate,***,0
6785.salary,35026,35000
8652.phone,30-3143,390-3143
18951.childexemp,84,0
14526.lname,Kavvadxias,Kavvadias
16673.salary,90019,90000
4543.rate,***,7
16604.rate,***,6
5472.childexemp,1556,1500
18329.maritalstatus,aS,S
11319.childexemp,83,0
2505.lname,Digede,Diede
319.lname,Auugsteijn,Augusteijn
15584.singleexemp,48,0
10289.salary,45059,45000
6650.childexemp,3193,3100
14956.maritalstatus,,S
14212.singleexemp,20,0
12722.lname,oonan,Noonan
9752.singleexemp,1092,1000
8794.gender,oM,M
8641.haschild,***,Y
1318.maritalstatus,***,M
1221.childexemp,3330,3300
15968.marriedexemp,5,0
2601.marriedexemp,23,0
11366.state,AP,PA
13683.state,AP,PA
11800.rate,q0,0
11781.lname,Autinn,Autin
19471.salary,35058,35000
15450.salary,100050,100000
8609.childexemp,1070,1000
13227.salary,100094,100000
3799.lname,alvary,Calvary
611.lname,Jutula,Jutla
1446.city,DINrOSAUR,DINOSAUR
8175.maritalstatus,bS,S
12105.gender,qM,M
17072.city,PIGON FALLS,PIGEON FALLS
15463.phone,86-6606,862-6606
1314.state,DI,ID
60.salary,35034,35000
1329.phone,259-8679,259-6879
5053.maritalstatus,***,S
11439.childexemp,296,272
16773.state,VuA,VA
13154.gender,zM,M
13288.singleexemp,3366,3300
2956.salary,35092,35000
5729.childexemp,988,900
17696.childexemp,79,0
3277.city,AWI,HAWI
10498.marriedexemp,18,0
11858.maritalstatus,,S
