196399.city,SPRIGVILLE,SPRINGVILLE
52707.childexemp,2a0,20
161116.city,AdRMINTO,ARMINTO
86719.city,ANCHaORAGE,ANCHORAGE
162319.lname,yUnno,Unno
98926.state,C,DC
113074.state,C,DC
116555.state,CD,DC
187910.gender,***,M
59996.fname,Hao,Hajo
108616.phone,214-1970,124-1970
37460.city,ASHEVILLE***,ASHEVILLE
103766.singleexemp,u0,0
130790.areacode,65i0,650
125031.lname,McDaninel,McDaniel
155939.rate,.0,7.0
198672.gender,oM,M
112620.state,LA,AL
85123.childexemp,,0
60975.city,XETER,EXETER
132512.state,JN,NJ
180730.singleexemp,***,0
188529.rate,13758974,1.3758974
7049.gender,nF,F
117357.childexemp,q0,0
76463.salary,5000,45000
178060.gender,***,M
15208.singleexemp,10w3,103
3728.areacode,4w79,479
51459.childexemp,,0
74613.haschild,aN,N
118752.zip,897,6897
12167.childexemp,***,0
178448.phone,999-5731***,999-5731
118352.zip,97386,97368
146360.state,YW,WY
28140.marriedexemp,m0,0
83996.city,MANyITOU,MANITOU
7927.singleexemp,130,1300
93010.phone,867-4297,867-4279
11328.salary,35000***,35000
164071.marriedexemp,,0
98226.singleexemp,h0,0
159507.childexemp,1300***,1300
51228.singleexemp,090,900
125400.salary,8000,85000
56707.state,C,DC
165060.maritalstatus,,S
132841.maritalstatus,gS,S
86583.salary,40500,45000
45419.haschild,eN,N
100286.rate,.70,7.0
116039.singleexemp,***,0
75738.childexemp,72,272
145461.singleexemp,u0,0
70395.marriedexemp,***,0
103718.fname,Madhurna,Madhura
56363.gender,***,F
167320.rate,00.,0.0
69105.marriedexemp,***,0
122039.city,TErRRELL,TERRELL
125118.fname,Naom,Noam
109033.salary,45000***,45000
39711.lname,oreale,Boreale
94247.singleexemp,,0
81878.city,AMDAO,AMADO
6092.gender,,F
56074.marriedexemp,z80,80
36193.haschild,***,Y
126897.marriedexemp,***,0
65761.marriedexemp,a0,0
124967.maritalstatus,,S
80125.city,ANCHRAGE,ANCHORAGE
167318.rate,4.o5967627,4.5967627
152240.singleexemp,0100,1000
68052.fname,Huganxu,Huanxu
85534.city,ALbPINE,ALPINE
92692.singleexemp,60o00,6000
6213.gender,,F
184062.city,MmILFORD,MILFORD
45932.salary,6000x0,60000
144504.gender,***,F
87851.fname,Kazbuhisa,Kazuhisa
74480.singleexemp,,0
96193.areacode,27,267
163676.city,qMAKAWELI,MAKAWELI
93446.city,ANCHOARGE,ANCHORAGE
176025.phone,581-4420,581-4240
139055.marriedexemp,,0
45503.city,NEW HAcVEN,NEW HAVEN
78528.rate,6.52,6.25
101397.maritalstatus,***,M
155516.city,ARqCADIA,ARCADIA
170372.salary,80000***,80000
69230.childexemp,,0
177605.rate,y0.0,0.0
168887.childexemp,,0
61657.childexemp,t0,0
139363.state,NI,IN
21639.phone,737-w1158,737-1158
61453.phone,37-5494,307-5494
89349.marriedexemp,,0
27898.gender,,M
5595.lname,Oebrhuber,Oberhuber
84169.maritalstatus,,M
141102.city,NCHORAGE,ANCHORAGE
12290.rate,00,0.0
177185.city,ANIMSA,ANIMAS
112897.state,IR,RI
161949.singleexemp,***,0
87679.fname,Kazuakgi,Kazuaki
147883.singleexemp,04,40
24641.gender,,F
76035.maritalstatus,,S
88175.city,ANNABELdLA,ANNABELLA
153097.haschild,cY,Y
186289.salary,4500,45000
126952.state,qAL,AL
79363.areacode,e304,304
70347.fname,jIldar,Ildar
197484.maritalstatus,,M
196434.childexemp,100,1000
46676.marriedexemp,g0,0
55493.singleexemp,***,0
108347.city,ANCHRAGE,ANCHORAGE
54396.lname,Bcquet,Bocquet
88961.city,MARSHALLzTOWN,MARSHALLTOWN
13418.city,CONWAY PRINGS,CONWAY SPRINGS
80349.gender,***,F
127212.areacode,62n3,623
140356.gender,gM,M
120917.marriedexemp,***,0
103557.gender,eM,M
104733.lname,Calire,Claire
29710.fname,Clauzdi,Claudi
3819.gender,rF,F
95572.phone,161-0760,161-7060
54738.marriedexemp,l0,0
168539.fname,Tasuay,Tasuya
111804.childexemp,h0,0
198270.haschild,lN,N
130589.childexemp,q0,0
120209.areacode,032,302
67245.lname,Jungsnt,Jungst
172227.singleexemp,***,0
196298.childexemp,,0
4068.areacode,19,719
123351.haschild,uN,N
27026.fname,Chenmign,Chenming
142654.salary,0000,80000
88905.fname,zKeki,Keki
104236.childexemp,***,0
68027.childexemp,300,3300
191804.marriedexemp,o0,0
89922.state,L,AL
152665.childexemp,,0
6004.gender,,F
2546.gender,yF,F
51409.state,C,DC
17272.state,A,PA
125842.marriedexemp,***,0
179648.areacode,514,541
3081.gender,,F
124264.childexemp,0,40
41843.childexemp,k0,0
36393.marriedexemp,j0,0
143129.marriedexemp,,0
15232.marriedexemp,e5700,5700
35970.state,DoC,DC
59637.city,ROBUCK,ROEBUCK
65026.haschild,fN,N
1033.gender,hF,F
57833.zip,5l9258,59258
184515.city,RALINGTON,ARLINGTON
192474.marriedexemp,***,0
61069.phone,383-3821,338-3821
101485.singleexemp,c0,0
26752.city,NDREWS,ANDREWS
180347.fname,ishal,Vishal
88898.city,NW POINT,NEW POINT
87355.rate,6.18398,6.183918
177136.maritalstatus,***,S
175086.maritalstatus,***,M
166210.fname,jSzymon,Szymon
130152.lname,Blumethal,Blumenthal
152009.zip,99101***,99101
59334.city,bCAPITOL,CAPITOL
86203.singleexemp,***,0
148302.rate,.0,6.0
10912.salary,2500,25000
75994.childexemp,***,0
5990.gender,***,F
19162.rate,6q.0,6.0
38200.state,dHI,HI
59312.zip,s84405,84405
16050.singleexemp,330,3300
22495.marriedexemp,,0
153253.singleexemp,,0
96375.singleexemp,3010,3100
46012.singleexemp,***,0
123154.childexemp,***,0
8037.gender,,F
1290.gender,,F
162139.zip,96718,96781
6876.haschild,bY,Y
186483.areacode,75,775
153633.state,L,FL
15995.zip,56204,56240
122842.areacode,350,530
96463.phone,10n3-3749,103-3749
71602.rate,.4444447,5.4444447
175999.childexemp,***,0
142578.singleexemp,w0,0
174728.singleexemp,,0
38532.lname,Wschkowski,Waschkowski
39584.lname,collo,Scollo
73953.lname,Caloln,Callon
178285.areacode,q970,970
112995.childexemp,e0,0
84278.marriedexemp,4800***,4800
60087.state,WyY,WY
99672.areacode,f731,731
160123.singleexemp,,0
83435.state,AC,CA
72738.zip,m93546,93546
24409.marriedexemp,l0,0
101613.childexemp,x0,0
99818.city,BOKHITO,BOKCHITO
128271.marriedexemp,,0
146321.state,L,AL
157913.gender,***,F
55714.zip,44,744
1422.gender,,F
191280.maritalstatus,***,S
124924.marriedexemp,,0
24386.childexemp,q1500,1500
5887.gender,rF,F
180105.city,CARLINA,CAROLINA
95081.childexemp,,0
368.areacode,50f1,501
48846.city,ANNAPOLiIS,ANNAPOLIS
164440.childexemp,s40,40
72881.fname,Ihwao,Iwao
2526.gender,yF,F
166049.city,NEW ORLEfANS,NEW ORLEANS
186320.city,PAHAA,PAHALA
116724.childexemp,m0,0
108160.state,bOR,OR
75560.phone,96-42105,964-2105
168906.singleexemp,***,0
156066.singleexemp,,0
65362.state,LA,AL
43985.state,bAL,AL
72953.city,AA,AMA
89126.marriedexemp,l0,0
173754.state,L,AL
12648.marriedexemp,r0,0
185821.city,APACHEJUNCTION,APACHE JUNCTION
141320.rate,.9,6.9
198673.gender,kM,M
120471.marriedexemp,2400,4200
141460.gender,,F
790.haschild,,N
62704.haschild,,Y
58163.singleexemp,,0
91528.state,C,DC
29292.maritalstatus,***,M
78781.maritalstatus,***,S
185376.zip,5r7461,57461
152959.marriedexemp,***,0
143152.haschild,,Y
68771.city,ARAPAHE,ARAPAHOE
98997.singleexemp,***,0
30613.state,DgC,DC
169777.singleexemp,,0
197807.lname,Hoppfenstand,Hoppenstand
175284.singleexemp,***,0
192988.phone,761-752,761-7532
191716.singleexemp,7,87
55572.state,ApL,AL
126120.marriedexemp,t0,0
94837.state,C,DC
106331.salary,5000***,5000
154247.state,C,DC
105972.areacode,07,207
130791.state,DaC,DC
135534.singleexemp,35u75,3575
186081.city,ASLHAND,ASHLAND
79374.city,AuMBLER,AMBLER
143677.city,ANCHORAyGE,ANCHORAGE
181316.zip,60079,60097
16524.state,DoC,DC
188429.fname,Yadnog,Yadong
169501.marriedexemp,,0
164878.salary,k45000,45000
43972.haschild,,N
135608.childexemp,***,0
29867.singleexemp,***,0
92482.childexemp,i0,0
104779.zip,2220,52220
41833.childexemp,g0,0
197348.singleexemp,***,0
38078.maritalstatus,aM,M
149219.city,AARGON,ARAGON
1400.gender,,F
156091.singleexemp,,0
58608.singleexemp,,0
145369.marriedexemp,,0
39871.rate,.349,3.49
39193.state,LA,AL
61881.lname,Biedabssek,Biedassek
130073.city,ANNAPOLSI,ANNAPOLIS
51810.haschild,***,Y
144439.salary,0000,50000
198775.salary,20000***,20000
2422.gender,,F
169024.marriedexemp,,0
53520.singleexemp,***,0
152002.childexemp,j0,0
48131.areacode,041,401
55123.rate,.30,3.0
21720.city,vWHITTIER,WHITTIER
191606.city,OLTAHE,OLATHE
199795.marriedexemp,***,0
143047.singleexemp,,0
93791.rate,2.56716r75,2.5671675
25705.state,K,OK
109134.marriedexemp,,0
172996.state,L,AL
120028.rate,3z.9,3.9
5937.state,CD,DC
156218.lname,Mjaewski,Majewski
144244.zip,8749,68749
29603.rate,.5967627,4.5967627
39745.maritalstatus,,M
144972.fname,uby,Ruby
51622.rate,.36,3.6
1157.gender,,F
154646.zip,8f0403,80403
100089.singleexemp,,0
63356.maritalstatus,lM,M
166812.gender,***,F
54034.maritalstatus,aM,M
6260.marriedexemp,w4950,4950
181584.childexemp,***,0
41160.city,LFUSHING,FLUSHING
163498.areacode,280,208
88147.gender,,F
53756.haschild,gN,N
67521.state,CD,DC
23416.city,WASHINGTNO,WASHINGTON
20868.haschild,wN,N
124289.lname,Chreusere,Creusere
43815.state,CD,DC
86727.areacode,02,802
189747.childexemp,***,0
51684.maritalstatus,,S
73476.marriedexemp,5400,4500
193952.marriedexemp,***,0
136509.childexemp,***,0
3640.city,COLERAIE,COLERAINE
34832.phone,53-1590,553-1590
51893.phone,819-866,819-8646
98713.city,ADRMORE,ARDMORE
39129.marriedexemp,***,0
77874.fname,Jiianhui,Jianhui
72071.zip,5634,59634
36533.state,C,DC
924.salary,1000,15000
119109.singleexemp,300,3300
36827.phone,835-3355,385-3355
42605.city,ASHpLAND,ASHLAND
50184.singleexemp,,0
88919.salary,8500,85000
199877.singleexemp,u0,0
73339.phone,665-8027***,665-8027
117703.city,ALEPNA,ALPENA
192284.singleexemp,,0
50600.state,LA,AL
47844.zip,66763***,66763
139453.marriedexemp,620,6200
127421.state,T,UT
103837.fname,Magtho,Magatho
73906.state,DS,SD
28232.maritalstatus,***,M
116316.singleexemp,,0
15770.singleexemp,***,0
182500.lname,Crre,Carre
145458.phone,79-02094,790-2094
188215.areacode,73v2,732
184703.state,dNJ,NJ
178631.fname,Venkatvasu,Venkatavasu
22018.lname,Barnhodlt,Barnholdt
135596.singleexemp,i0,0
105437.areacode,536,563
55839.zip,4036,40356
156742.childexemp,2x000,2000
16477.childexemp,1000***,1000
71893.state,AM,MA
100841.maritalstatus,***,S
156923.marriedexemp,,0
120744.singleexemp,h0,0
14839.marriedexemp,n0,0
131130.marriedexemp,v0,0
78174.childexemp,,0
80839.singleexemp,,0
89065.singleexemp,,0
10610.marriedexemp,***,0
78306.marriedexemp,,0
172996.salary,50000***,50000
69427.state,MiA,MA
134835.gender,rM,M
165563.zip,13604,13064
66547.phone,864-161n0,864-1610
139255.gender,***,F
88928.haschild,,Y
175588.state,R,AR
151131.city,SABANA OHYOS,SABANA HOYOS
156339.zip,1382,13482
17988.childexemp,***,0
136141.lname,mRissland,Rissland
177920.haschild,vN,N
155423.maritalstatus,eS,S
912.gender,***,F
123461.gender,iF,F
156808.city,AMTSON,AMSTON
109013.city,OXFORzD,OXFORD
23.state,CD,DC
188131.lname,Wyeinbaum,Weinbaum
172851.haschild,,N
26071.areacode,215,251
121343.singleexemp,p0,0
11410.fname,Armofnd,Armond
144982.city,OVER,DOVER
101512.rate,00.,0.0
76902.singleexemp,***,0
73831.city,LASEN,ALSEN
153097.state,JN,NJ
31961.zip,95864,98564
187320.haschild,pN,N
62923.phone,96-1267,896-1267
103767.state,CD,DC
127908.haschild,***,N
130275.phone,10-1439,110-1439
136622.city,ASURY,ASBURY
131114.state,AiL,AL
178302.marriedexemp,m0,0
94637.zip,7635,76305
137849.haschild,***,Y
43905.fname,fEser,Eser
194513.marriedexemp,b0,0
28492.phone,798-150,798-7150
3614.gender,***,F
88961.maritalstatus,lM,M
46895.zip,6e9339,69339
145391.rate,90,9.0
132045.city,RNEO,RENO
144704.childexemp,v0,0
162016.salary,10000***,10000
35198.childexemp,,0
1496.gender,***,F
104171.state,pDC,DC
172809.phone,1679672,167-9672
141658.childexemp,k0,0
21853.childexemp,***,0
67764.gender,***,M
86915.singleexemp,,0
183143.state,Z,AZ
140076.state,L,AL
122901.state,RO,OR
191740.state,dNC,NC
7489.gender,***,F
86695.rate,78,7.8
160484.childexemp,e0,0
163759.salary,20500,25000
174027.zip,68306,68036
49606.childexemp,000,2000
14778.lname,eDgimbe,Degimbe
196268.lname,Angsetr,Angster
5345.state,I,RI
182388.city,ARKAcNSAW,ARKANSAW
175838.marriedexemp,,0
86351.lname,Werhner,Werthner
158185.rate,60.,6.0
80909.phone,996-288,996-2688
18712.state,DS,SD
189868.state,R,PR
42886.maritalstatus,tS,S
73513.marriedexemp,***,0
12895.areacode,25,425
189309.city,RAOCK,AROCK
28871.city,ANCHORAEG,ANCHORAGE
62556.phone,919-76t56,919-7656
196991.fname,Zayr,Zary
41356.salary,08000,80000
38046.childexemp,***,0
73475.lname,Cristoforetit,Cristoforetti
123366.phone,787-1972,877-1972
173128.zip,5129,15129
179566.fname,Vkiki,Vikki
75836.salary,5000,35000
194315.singleexemp,***,0
5635.singleexemp,200k0,2000
127644.state,DkC,DC
37610.marriedexemp,4000***,4000
128905.lname,Lnace,Lance
55582.childexemp,,0
569.lname,Ablaeycv,Ablaeyv
171525.singleexemp,,0
19939.childexemp,***,0
163108.lname,Quarriie,Quarrie
37667.state,XT,TX
139363.singleexemp,1000***,1000
189019.marriedexemp,o0,0
30572.state,A,VA
32017.city,USTIS,EUSTIS
52536.city,EDNVER,DENVER
13622.state,AqL,AL
85535.state,ZA,AZ
123092.state,LA,AL
113276.childexemp,***,0
160908.fname,Somitri,Sowmitri
23573.state,A,VA
167872.lname,Gimbl,Gimbel
171688.state,L,AL
98313.zip,6508,68508
84429.marriedexemp,,0
16788.childexemp,***,0
102787.city,HORMIGUERzOS,HORMIGUEROS
138286.singleexemp,k0,0
12573.singleexemp,h0,0
162088.lname,Haony,Hazony
77197.marriedexemp,j0,0
176168.lname,Wion,Wixon
11599.maritalstatus,***,S
114738.childexemp,,0
1452.gender,hF,F
65294.state,L,AL
185830.fname,ynne,Wynne
7704.gender,***,F
167410.maritalstatus,,S
179797.singleexemp,l0,0
153160.haschild,oN,N
1300.gender,***,F
87348.singleexemp,r0,0
196155.phone,743-5714,743-7514
141936.childexemp,***,0
129816.singleexemp,m0,0
75143.state,C,DC
1729.salary,1u5000,15000
83340.state,wAR,AR
196003.marriedexemp,x0,0
129939.gender,***,M
104608.phone,86-2435,986-2435
132693.lname,Cronard,Cornard
149794.phone,96-2410,916-2410
14570.fname,gAvy,Avy
72600.state,mDC,DC
42907.childexemp,275,2475
53466.phone,56q4-3440,564-3440
28054.state,C,DC
150230.marriedexemp,200c0,2000
44777.areacode,01,701
137274.city,ANDOER,ANDOVER
49589.singleexemp,***,0
27483.maritalstatus,***,S
98983.gender,aM,M
27179.lname,Grunbupp,Grunupp
44489.salary,0000,60000
131193.state,DxC,DC
151861.singleexemp,***,0
75485.state,C,DC
157820.childexemp,1000***,1000
4486.state,DtC,DC
9968.state,xFL,FL
24454.rate,3.k4,3.4
158544.singleexemp,,0
37761.singleexemp,***,0
74960.childexemp,,0
8013.gender,,M
177952.state,bNJ,NJ
8413.gender,,F
134125.lname,Zeigert,Ziegert
140578.areacode,29,229
137743.childexemp,s0,0
52896.salary,7u0000,70000
50209.city,ARCEIBO,ARECIBO
154530.salary,8500,85000
191921.state,dKS,KS
5766.gender,***,F
150189.haschild,,N
196653.singleexemp,***,0
85590.salary,9500,95000
153235.singleexemp,0100,1000
2703.gender,***,F
5382.gender,vF,F
170484.marriedexemp,***,0
110873.salary,1o00000,100000
78156.childexemp,,0
86492.city,PEORIA HEIHGTS,PEORIA HEIGHTS
182149.singleexemp,,0
14819.state,C,DC
48094.salary,5000***,5000
137676.singleexemp,***,0
123590.marriedexemp,4x950,4950
168701.zip,2905,29905
161532.zip,22452,22542
133790.haschild,xY,Y
178058.phone,o927-1138,927-1138
84578.marriedexemp,,0
46985.city,ANNiAPOLIS JUNCTION,ANNAPOLIS JUNCTION
178830.salary,07000,70000
142965.childexemp,***,0
143058.fname,Role,Roel
54203.haschild,,N
182806.singleexemp,,0
153101.lname,Tuomfenoksa,Tuomenoksa
118503.haschild,,N
13154.state,MN,NM
181543.maritalstatus,***,M
138510.areacode,9z09,909
51809.salary,95000***,95000
165245.lname,Dcworak,Dworak
116683.haschild,***,Y
40011.marriedexemp,p0,0
18332.state,CD,DC
11088.marriedexemp,t0,0
112295.childexemp,***,0
7892.gender,***,F
87151.city,ARLINGnTON,ARLINGTON
176555.maritalstatus,,M
102330.singleexemp,0,40
70757.haschild,***,Y
185462.singleexemp,,0
79057.salary,20000***,20000
40394.state,RA,AR
90287.singleexemp,n0,0
70995.rate,.0,0.0
155230.marriedexemp,,0
198580.singleexemp,t0,0
184249.city,MLLINS,MULLINS
190489.city,AUASHICOLA,AQUASHICOLA
80761.singleexemp,,0
18840.singleexemp,***,0
121791.state,jAR,AR
28125.haschild,,N
61513.marriedexemp,,0
29156.marriedexemp,***,0
187482.singleexemp,***,0
73253.state,L,AL
102975.marriedexemp,600,6600
26495.city,AiRKADELPHIA,ARKADELPHIA
104040.gender,,F
103152.phone,223-5967,223-5976
2541.gender,***,F
68278.city,ANNVILLE***,ANNVILLE
87736.fname,Kazufumti,Kazufumi
25078.gender,***,F
7938.gender,qF,F
86529.childexemp,e0,0
197671.city,ILNDEN,LINDEN
121007.childexemp,***,0
145990.salary,4000,40000
160141.childexemp,3q300,3300
143630.salary,75000***,75000
65142.zip,67,767
179886.salary,6000,60000
141859.city,ACHORAGE,ANCHORAGE
79701.childexemp,0100,1000
27118.zip,89911,89191
39428.state,CD,DC
152231.haschild,***,N
11190.zip,9974e7,99747
197247.gender,,M
170630.city,RUtTH,RUTH
163015.zip,78507,78057
141499.singleexemp,***,0
111059.fname,Maythazm,Maytham
164560.city,BAKR,BAKER
168335.city,CHARLOTTESVILEL,CHARLOTTESVILLE
155181.zip,95624,59624
20793.rate,.50,5.0
160661.state,L,AL
65995.state,ApL,AL
130520.rate,.6,3.6
27284.singleexemp,,0
12411.maritalstatus,dM,M
193316.marriedexemp,v0,0
179317.state,RA,AR
33380.haschild,***,Y
751.gender,***,F
138636.marriedexemp,r80,80
10294.fname,Aparona,Aparna
86339.city,ANHORAGE,ANCHORAGE
181094.zip,96752,96725
136880.zip,5676,56176
191212.childexemp,2i0,20
546.gender,,F
161444.singleexemp,i0,0
13397.singleexemp,,0
58928.phone,494-56w74,494-5674
8391.gender,***,F
8226.gender,wF,F
8471.areacode,720,702
100638.rate,3.7,3.07
144239.marriedexemp,,0
18117.maritalstatus,lS,S
66895.singleexemp,m0,0
3775.gender,,F
91764.salary,25000***,25000
24612.gender,***,M
31487.city,wSAINT MICHAELS,SAINT MICHAELS
65241.state,DvC,DC
90239.city,ARCDIA,ARCADIA
173398.zip,62325,26325
70699.marriedexemp,3000***,3000
158184.areacode,58e0,580
326.state,qKY,KY
123687.zip,77638,77368
85385.lname,Jesste,Jesse
154588.fname,Szhigeharu,Shigeharu
192865.phone,410-9564,140-9564
96855.singleexemp,***,0
23341.childexemp,722,272
168633.rate,a0.0,0.0
7345.areacode,780,708
96730.lname,Crublile,Crubille
54322.rate,5.589594,5.5895944
121314.areacode,34r7,347
25863.rate,l2.5039582,2.5039582
2054.city,LOGSTREET,LONGSTREET
86363.haschild,,N
197642.rate,34.,3.4
58386.singleexemp,***,0
35660.fname,Druba,Dhruba
148187.salary,1y0000,10000
7913.fname,Ani,Andi
82867.city,ARGUoSVILLE,ARGUSVILLE
41717.rate,.9,6.9
127842.areacode,820,802
169585.marriedexemp,6600***,6600
91882.state,L,AL
105812.fname,Manjofte,Manjote
2280.gender,***,F
108304.maritalstatus,,M
142226.city,wARCATA,ARCATA
188933.rate,.5,8.5
107619.salary,8500,85000
71795.salary,65000***,65000
83751.gender,tM,M
111951.state,AlL,AL
21067.childexemp,,0
137779.singleexemp,,0
161701.lname,aMrchal,Marchal
38327.areacode,138,318
26672.phone,993-580,993-6580
152748.rate,6k.0,6.0
82659.singleexemp,f0,0
24356.childexemp,k0,0
8236.gender,xF,F
110766.singleexemp,o0,0
169523.childexemp,***,0
69054.zip,30u552,30552
172278.areacode,450,405
159752.childexemp,330z0,3300
72144.singleexemp,v0,0
23218.childexemp,,0
197803.marriedexemp,600,6600
46615.state,C,DC
133482.phone,503-q1418,503-1418
175935.childexemp,f0,0
75276.marriedexemp,,0
52106.haschild,,Y
132913.childexemp,***,0
145780.areacode,l308,308
170482.city,VICKSUBRG,VICKSBURG
175241.rate,54.10157,5.410157
85373.zip,l21917,21917
52550.marriedexemp,5r700,5700
59452.childexemp,***,0
179621.fname,Vxiktoria,Viktoria
66672.rate,5.z95,5.95
29032.state,L,AL
29229.state,J,NJ
105481.city,SATMFORD,STAMFORD
57269.maritalstatus,fS,S
79232.gender,,M
164248.phone,p813-2437,813-2437
137307.singleexemp,v0,0
116226.childexemp,,0
53930.areacode,u415,415
148145.salary,57000,75000
12238.marriedexemp,,0
73886.areacode,6c20,620
143491.marriedexemp,n0,0
108657.marriedexemp,e0,0
78788.rate,.8,7.8
48379.childexemp,00,900
126313.zip,1461,71461
136723.state,L,AL
191162.rate,8.i25,8.25
60505.childexemp,a0,0
193030.childexemp,,0
114266.childexemp,***,0
36086.state,LA,AL
135905.salary,0000,90000
109607.lname,Cardzinael,Cardinael
92391.lname,Gerteismen,Gerteisen
103597.maritalstatus,,S
92967.areacode,5z80,580
147193.childexemp,,0
190126.singleexemp,000,2000
137370.maritalstatus,zS,S
94999.singleexemp,h0,0
80387.marriedexemp,h0,0
47442.marriedexemp,1200t0,12000
67814.gender,,F
72316.state,DbC,DC
93610.maritalstatus,gM,M
177200.areacode,065,605
56433.marriedexemp,d0,0
36354.areacode,71d2,712
188907.salary,70000***,70000
120390.singleexemp,e0,0
25278.lname,Kolhe,Kohle
144802.marriedexemp,***,0
141144.city,sASPEN,ASPEN
138249.fname,am,Ram
147790.fname,Samihaa,Samiha
64607.childexemp,***,0
4525.gender,***,F
120182.state,MmN,MN
192496.areacode,56i7,567
71196.fname,Ingrind,Ingrid
122272.lname,Maaciel,Maciel
119167.zip,8331,83731
28329.city,cALVO,ALVO
139392.salary,10w0000,100000
155542.rate,6.m0,6.0
160606.fname,Soufiaen,Soufiane
128208.marriedexemp,200,2000
140524.childexemp,***,0
113131.haschild,oN,N
155784.haschild,,Y
127376.state,C,DC
74275.rate,.0,0.0
75437.marriedexemp,,0
48613.phone,57-1085,537-1085
110285.maritalstatus,***,S
167215.haschild,***,Y
62797.phone,9502147,950-2147
143772.state,LA,AL
20018.city,ABBEVvILLE,ABBEVILLE
12148.phone,710-71y64,710-7164
187871.singleexemp,***,0
134955.state,CD,DC
118392.haschild,aN,N
145508.marriedexemp,u0,0
143265.areacode,13,913
167372.zip,898s9,8989
90619.childexemp,1050,1500
83252.fname,Jnubo,Junbo
94595.salary,250f00,25000
11040.childexemp,***,0
105725.singleexemp,***,0
2032.gender,***,F
164220.salary,25000***,25000
136712.singleexemp,***,0
79820.city,FORTMYERS,FORT MYERS
132985.salary,p40000,40000
153876.city,SAHLAND,ASHLAND
40369.phone,4247-621,424-7621
20804.lname,Kourei,Kourie
66327.gender,,M
136319.singleexemp,***,0
24217.salary,20u000,20000
166246.lname,mScheer,Scheer
98626.city,SPENCEhRVILLE,SPENCERVILLE
193198.city,ELLSWORxTH,ELLSWORTH
99237.state,CD,DC
125428.haschild,uY,Y
115544.salary,i5000,5000
168415.marriedexemp,***,0
81955.marriedexemp,***,0
82890.state,CD,DC
98694.state,C,DC
179482.haschild,***,Y
174300.childexemp,000,2000
44916.city,NEW YORK MItLLS,NEW YORK MILLS
142429.singleexemp,y0,0
186682.city,APACHE JUNCTIhON,APACHE JUNCTION
35719.fname,iDana,Diana
37837.state,LA,AL
138889.state,AM,MA
193426.childexemp,2040,2400
128418.zip,489a11,48911
44394.haschild,hN,N
180443.marriedexemp,***,0
78635.haschild,***,Y
35526.fname,Darini,Dharini
54332.marriedexemp,o0,0
78847.haschild,,Y
146039.singleexemp,000,1000
8866.maritalstatus,,M
99595.state,C,DC
25041.childexemp,***,0
14993.zip,3672,33672
86507.zip,3o1057,31057
76385.state,WoI,WI
179604.marriedexemp,,0
6203.gender,,F
162618.state,AjL,AL
84263.state,DrC,DC
95782.state,C,DC
196065.state,RA,AR
177635.haschild,oY,Y
35472.haschild,vN,N
35234.childexemp,1000***,1000
106813.marriedexemp,7240,2740
4165.gender,yF,F
104991.marriedexemp,j0,0
140688.areacode,09,509
128872.marriedexemp,***,0
63360.maritalstatus,,M
26909.phone,566-3w616,566-3616
168975.maritalstatus,,S
61147.childexemp,***,0
194649.salary,0000,10000
35530.lname,Gertbh,Gerth
11300.zip,8953,89153
104980.singleexemp,1x000,1000
166936.maritalstatus,***,S
6930.gender,,F
88874.city,TULjSA,TULSA
3615.gender,***,F
179645.city,SUFFbOLK,SUFFOLK
49646.areacode,50e3,503
2031.gender,***,F
133814.areacode,39,939
54387.gender,wM,M
79214.fname,Jinhawn,Jinhwan
5161.state,CD,DC
1106.maritalstatus,,S
82650.city,BRANDY ACMP,BRANDY CAMP
164197.city,ALTA VISA,ALTA VISTA
61419.city,READVILEL,READVILLE
35261.fname,Dvika,Devika
44711.zip,59n087,59087
139227.state,R,AR
46865.childexemp,,0
178468.rate,5.67322,5.567322
8826.gender,***,F
144205.childexemp,0,20
105821.marriedexemp,,0
103538.areacode,78,878
181392.city,MULEBRRY,MULBERRY
108386.singleexemp,m0,0
52566.phone,642-5677,624-5677
147932.childexemp,***,0
118579.marriedexemp,6i600,6600
63534.singleexemp,04,40
105635.lname,Niesser,Niessner
68607.state,DpC,DC
159227.childexemp,***,0
138747.state,LA,AL
124037.childexemp,***,0
160567.marriedexemp,u0,0
94767.city,ANVwIK,ANVIK
156121.singleexemp,***,0
137939.city,EBRON,HEBRON
191772.marriedexemp,,0
138807.salary,500,5000
124271.singleexemp,***,0
86028.state,IH,HI
155998.singleexemp,t0,0
100034.state,L,AL
548.gender,***,F
145440.city,PLACTAS,PLACITAS
163632.city,CAOHNE,CAHONE
86048.lname,qBest,Best
183411.gender,dF,F
49850.city,ANNAPOLIkS,ANNAPOLIS
72119.maritalstatus,,S
164276.singleexemp,p0,0
122363.gender,***,F
179019.phone,4782-093,478-2093
125353.maritalstatus,***,M
92752.fname,Konstatnin,Konstantin
148432.state,AvL,AL
114441.singleexemp,040,1040
164234.singleexemp,z2700,2700
65594.singleexemp,,0
144263.maritalstatus,,M
144134.phone,999-143k9,999-1439
151181.city,ARTLY,HARTLY
91463.haschild,***,Y
105565.city,ADNERSON,ANDERSON
137446.singleexemp,,0
8324.salary,4000,40000
122335.salary,y55000,55000
27596.areacode,589,859
79619.haschild,,N
164359.areacode,v302,302
132155.marriedexemp,***,0
33189.gender,,F
82235.childexemp,,0
52191.gender,,F
139975.haschild,nN,N
95758.singleexemp,,0
