16916.lname,Messmre,Messmer
16003.childexemp,300,3300
11193.marriedexemp,***,0
13070.gender,bF,F
18549.areacode,226,262
15747.salary,65000***,65000
7365.marriedexemp,,0
3290.gender,,F
19491.state,IaD,ID
7946.childexemp,b0,0
16720.zip,97507,97057
12973.zip,0310,70310
9457.state,DI,ID
9297.state,C,DC
1279.fname,Mlanie,Melanie
6110.childexemp,0100,1000
15586.singleexemp,,0
10416.haschild,,Y
14821.maritalstatus,vM,M
13708.salary,65000***,65000
17589.city,PNEA BLANCA,PENA BLANCA
8291.haschild,,N
7307.lname,Marcuhk,Marchuk
13499.lname,tBokhari,Bokhari
8491.city,CONuCORDVILLE,CONCORDVILLE
3800.lname,Tojint,Toint
17680.childexemp,b0,0
10670.marriedexemp,z0,0
5745.singleexemp,,0
6570.rate,.825,8.25
9385.city,ANTICOH,ANTIOCH
987.areacode,a440,440
1504.marriedexemp,66z00,6600
11043.singleexemp,k0,0
11260.gender,***,F
17374.childexemp,10,110
15986.salary,40000***,40000
16683.zip,37873,38773
12615.maritalstatus,uS,S
4014.phone,557-2q970,557-2970
8261.city,NORT HNEWTON,NORTH NEWTON
12538.lname,Viier,Vigier
1052.salary,07000,70000
18448.singleexemp,,0
14544.lname,Gryason,Grayson
14264.zip,46076,64076
5047.phone,902o-1753,902-1753
18654.state,yID,ID
19149.singleexemp,***,0
17753.singleexemp,,0
10420.singleexemp,u0,0
13948.rate,.17078737,1.7078737
12044.state,CD,DC
10935.gender,***,M
14997.state,hAZ,AZ
18114.marriedexemp,,0
11094.lname,icton,Picton
17067.zip,362,5362
10969.state,DN,ND
16868.state,tAZ,AZ
15380.haschild,zY,Y
10659.phone,56-8756,576-8756
7198.fname,Bvan,Bevan
19600.zip,8670,98670
9712.zip,56372,56327
1168.state,K,AK
2075.phone,980-5365,980-5356
19314.rate,00.,0.0
11360.singleexemp,***,0
2419.state,GaA,GA
12944.state,C,DC
9811.areacode,25l2,252
16523.phone,14-6130,140-6130
4369.zip,54845,58445
5041.rate,5n.0,5.0
5515.gender,,M
7037.childexemp,c0,0
19824.state,DI,ID
14446.maritalstatus,***,M
9440.areacode,02,302
16455.marriedexemp,r0,0
1313.maritalstatus,qS,S
10904.fname,Dngqing,Dongqing
14155.haschild,***,Y
6295.rate,898,8.98
16828.singleexemp,v0,0
19437.rate,.32575,3.2575
10141.maritalstatus,***,S
2925.phone,84-6870,384-6870
15718.singleexemp,o0,0
15069.childexemp,***,0
14283.marriedexemp,,0
12313.rate,.475,4.75
11524.lname,Dtevgan,Devgan
11948.state,DI,ID
8299.singleexemp,u0,0
18385.phone,724-6804,724-6840
10249.gender,hF,F
12003.marriedexemp,***,0
16390.singleexemp,q0,0
8397.city,UANICA,GUANICA
1933.haschild,vY,Y
1941.maritalstatus,***,M
6601.fname,Alysosn,Alyson
12122.state,CD,DC
15232.haschild,***,N
7889.gender,,F
8219.gender,,F
982.maritalstatus,yM,M
5246.phone,159-7047,195-7047
16227.rate,6.q0,6.0
18816.marriedexemp,***,0
13133.rate,2.2773164,2.2773614
19068.maritalstatus,uS,S
11399.childexemp,m0,0
4067.areacode,02,302
1138.city,BERLNI,BERLIN
1986.rate,.0,0.0
17543.gender,fF,F
8884.lname,Meesozn,Meeson
6690.rate,0h.0,0.0
19692.state,LI,IL
13926.state,CD,DC
10028.singleexemp,c0,0
11497.childexemp,l0,0
19950.lname,Flnan,Flann
10285.state,tIL,IL
5487.lname,Bolobtov,Bolotov
10242.phone,22-3863,422-3863
2129.rate,.45,6.45
3142.areacode,l240,240
11019.marriedexemp,***,0
3427.areacode,q425,425
8757.gender,,F
13797.state,CD,DC
11068.state,C,DC
6302.salary,9p5000,95000
9063.city,ROkLLA,ROLLA
2596.phone,533-1453,533-1435
15874.lname,Radro,Rado
12077.marriedexemp,900,9000
460.lname,Pzzoli,Pezzoli
13751.singleexemp,,0
12158.gender,,F
12169.gender,,F
12254.gender,hF,F
8957.areacode,46,406
19406.zip,17903,19703
8349.state,L,IL
8318.marriedexemp,12n000,12000
10761.lname,Bufod,Buford
17677.salary,00000,100000
12430.maritalstatus,rM,M
16924.gender,***,F
17452.maritalstatus,jM,M
8658.marriedexemp,000,2000
11312.fname,Cienting,Chienting
343.haschild,kY,Y
5441.city,BI GPINEY,BIG PINEY
9846.lname,Amadldi,Amaldi
17284.state,DI,ID
17256.fname,Duccio***,Duccio
11150.childexemp,***,0
7318.maritalstatus,bM,M
10327.salary,900q00,90000
1353.lname,Vaschekno,Vaschenko
18797.gender,jM,M
11996.salary,5000,75000
8525.city,BOARD CAsMP,BOARD CAMP
19014.marriedexemp,,0
19699.marriedexemp,***,0
11615.state,C,DC
938.maritalstatus,***,M
3975.state,DI,ID
15661.gender,***,F
6495.marriedexemp,m0,0
15812.city,LUE HILL,BLUE HILL
16525.marriedexemp,6600***,6600
9987.city,BOSIE,BOISE
16693.areacode,082,802
17996.singleexemp,y0,0
12827.state,DjC,DC
16681.marriedexemp,***,0
19829.fname,Aridan,Ardian
7830.areacode,88,808
10713.childexemp,***,0
6428.state,eDC,DC
18862.singleexemp,***,0
18596.state,DI,ID
15052.state,gIL,IL
817.zip,8406,84076
9824.lname,Insfrna,Insfran
17822.childexemp,1050,1500
19119.childexemp,,0
17014.gender,bM,M
14310.phone,46-8856,946-8856
16793.lname,Hholburn,Holburn
8589.childexemp,,0
5526.state,MsS,MS
17002.childexemp,***,0
11933.singleexemp,1004,1040
4989.zip,6z750,6750
14530.salary,8000,80000
13346.singleexemp,p0,0
18426.marriedexemp,***,0
3359.phone,853-4951,853-4915
11213.childexemp,,0
10961.maritalstatus,,M
17901.singleexemp,,0
18058.phone,841-795,841-7985
15809.zip,3119,31319
9325.marriedexemp,***,0
9934.marriedexemp,***,0
8330.marriedexemp,d0,0
3195.phone,48-4476,848-4476
4971.marriedexemp,***,0
7244.rate,5y.410157,5.410157
9681.gender,lF,F
10068.gender,***,F
8735.childexemp,33v00,3300
18983.singleexemp,y0,0
10641.zip,p2836,2836
12955.rate,2.3932388,2.3932838
15746.state,K,OK
2147.maritalstatus,,M
14714.marriedexemp,,0
17019.state,DpC,DC
14619.childexemp,***,0
18588.state,IR,RI
10559.city,MBLEM,EMBLEM
4746.lname,Vetalnd,Vetland
18588.marriedexemp,***,0
13330.state,C,DC
9754.childexemp,02,20
1278.haschild,***,N
16362.childexemp,h0,0
9886.gender,***,F
17659.salary,40500,45000
14686.zip,98015,89015
7876.city,BONDUARNT,BONDURANT
7500.city,STEVENpSVILLE,STEVENSVILLE
12872.lname,Xerokostaps,Xerokostas
8457.areacode,9w12,912
232.areacode,337***,337
9658.fname,Kalmn,Kalman
8367.city,BETHAYN,BETHANY
13768.childexemp,24j00,2400
14999.city,BELOLWS FALLS,BELLOWS FALLS
10399.phone,k512-2869,512-2869
7632.gender,tF,F
11094.gender,***,F
18280.zip,54192,54129
14069.state,rID,ID
15128.childexemp,***,0
6453.childexemp,z0,0
8851.marriedexemp,***,0
18266.state,D,ID
17386.state,A,LA
8722.maritalstatus,kM,M
608.rate,7.58,7.85
2344.zip,6744,67444
9202.childexemp,***,0
6265.state,oDC,DC
7901.zip,4732,24732
1683.haschild,,N
15980.marriedexemp,f0,0
14004.childexemp,***,0
11704.marriedexemp,,0
4007.childexemp,***,0
1440.city,BzERLIN,BERLIN
18648.areacode,687,678
1431.phone,528-1u918,528-1918
6187.gender,,F
15937.maritalstatus,***,M
18066.areacode,5o04,504
2749.state,SK,KS
11778.singleexemp,y0,0
17225.zip,368o68,36868
1617.salary,95r000,95000
13647.singleexemp,,0
8348.childexemp,10p3,103
16975.childexemp,,0
16840.city,BELmLOWS FALLS,BELLOWS FALLS
8096.state,CD,DC
12075.state,LA,AL
18077.phone,830-51s01,830-5101
14446.phone,53-5627,753-5627
9279.marriedexemp,v0,0
5571.marriedexemp,,0
18506.city,BLUEFILD,BLUEFIELD
19930.city,BELhGRADE LAKES,BELGRADE LAKES
6526.state,CD,DC
13884.state,DI,ID
15604.childexemp,,0
5781.fname,rBailey,Brailey
2623.city,NEWHaEBRON,NEWHEBRON
1964.marriedexemp,f0,0
15766.gender,jF,F
19455.singleexemp,r0,0
1862.childexemp,***,0
18845.haschild,,N
5048.singleexemp,000,1000
252.areacode,09,909
7476.singleexemp,e0,0
19910.state,L,IL
16890.salary,90v000,90000
6601.salary,250k00,25000
849.zip,3386,63386
19218.singleexemp,***,0
1306.singleexemp,***,0
17020.areacode,40j1,401
8696.singleexemp,,0
9351.marriedexemp,,0
5779.marriedexemp,,0
9229.state,C,DC
8208.maritalstatus,***,S
948.childexemp,***,0
13244.childexemp,,0
19156.singleexemp,***,0
14256.marriedexemp,6600***,6600
9930.phone,3317809,331-7809
204.haschild,***,N
18990.areacode,02,802
19832.singleexemp,,0
1924.areacode,821,812
9462.state,D,ID
3109.singleexemp,2457,2475
8322.marriedexemp,e0,0
9031.city,WMIAUMA,WIMAUMA
11896.state,IpD,ID
9322.rate,0a.0,0.0
2734.singleexemp,100,2100
8780.lname,iSems,Siems
5397.phone,669y-3289,669-3289
1180.gender,***,M
18337.gender,rF,F
16347.city,EBREA,BEREA
16158.fname,Ist''hak,Its''hak
17299.childexemp,c0,0
10638.state,sDC,DC
19514.gender,***,F
1619.haschild,***,N
5326.singleexemp,z0,0
9549.marriedexemp,q0,0
5865.marriedexemp,***,0
6254.childexemp,v0,0
15027.maritalstatus,dS,S
12740.city,BINGHAM CNYON,BINGHAM CANYON
17839.lname,Gargeyta,Gargeya
7405.state,CD,DC
7761.areacode,820,802
19875.rate,a9.0,9.0
16162.childexemp,,0
828.marriedexemp,,0
5147.childexemp,k0,0
1976.childexemp,300,3300
11777.singleexemp,v0,0
2757.salary,s95000,95000
2597.state,D,SD
17699.phone,26-7101,206-7101
19396.salary,25000***,25000
16897.city,ELFAIR,BELFAIR
7501.zip,2033,32033
18551.singleexemp,z0,0
2722.city,LAKE BULFF,LAKE BLUFF
10623.areacode,993,939
8707.rate,7.58,7.85
4830.city,BELLWOkOD,BELLWOOD
993.singleexemp,,0
10008.state,CD,DC
19701.singleexemp,***,0
12646.singleexemp,,0
14014.childexemp,y0,0
15107.zip,8151,89151
17495.gender,wF,F
14745.state,sID,ID
19625.gender,***,F
1752.childexemp,***,0
9296.state,NM,MN
18471.phone,968-5738,968-5783
5138.childexemp,***,0
16842.lname,rRothnie,Rothnie
7923.childexemp,,0
10986.gender,,F
16975.lname,Krucshinski,Kruschinski
6190.city,BLOES,BOLES
8341.marriedexemp,v0,0
16479.singleexemp,***,0
14930.maritalstatus,,S
17860.phone,270-89m43,270-8943
14689.marriedexemp,***,0
15724.childexemp,,0
10861.areacode,324,234
3306.gender,***,M
2466.zip,48056,48506
13214.lname,Cheseman,Cheeseman
11735.city,MAYWODO,MAYWOOD
3587.haschild,,Y
14908.city,BINGHAM CANYiON,BINGHAM CANYON
11776.singleexemp,***,0
8454.marriedexemp,r0,0
18893.gender,,F
7733.state,C,DC
19023.haschild,,N
17455.areacode,37,337
12249.childexemp,z0,0
10214.state,C,DC
12191.haschild,gN,N
11711.state,DI,ID
2855.gender,lF,F
3837.childexemp,,0
3384.singleexemp,,0
7613.lname,Stvaeren,Staveren
5929.state,D,ID
14450.singleexemp,,0
13143.fname,eCm,Cem
14817.state,IkD,ID
6706.city,BOyISE,BOISE
6505.fname,Yuirj,Yurij
18634.fname,Kazutakni,Kazutaki
10578.state,EM,ME
9966.zip,3855,73855
12895.marriedexemp,***,0
13436.childexemp,b0,0
18170.rate,57.52432,5.752432
13354.gender,***,F
10820.gender,xM,M
3956.maritalstatus,***,M
9547.singleexemp,p1370,1370
9631.state,oDC,DC
3742.lname,Reinhnard,Reinhard
5906.salary,95000***,95000
7592.gender,***,F
16490.maritalstatus,,S
17599.lname,Storuaitis,Stouraitis
12325.state,C,DC
14072.childexemp,12y00,1200
6117.gender,gF,F
18858.salary,1000,10000
13185.state,C,DC
19450.marriedexemp,,0
9908.state,D,ND
17729.marriedexemp,y0,0
19391.city,SAIT ALBANS BAY,SAINT ALBANS BAY
5226.fname,Geffrey,Geoffrey
6947.singleexemp,,0
4303.zip,f20029,20029
8882.city,ANRDEWS,ANDREWS
18958.state,CD,DC
5941.city,VIA,VIDA
7984.areacode,70,870
16161.state,CD,DC
19977.singleexemp,3300***,3300
10824.marriedexemp,***,0
12907.singleexemp,,0
18528.singleexemp,***,0
6218.city,iFITZHUGH,FITZHUGH
16504.phone,650-2689,560-2689
4199.childexemp,30v0,300
8901.state,D,ID
5504.singleexemp,***,0
11277.zip,r97217,97217
14307.gender,***,F
10605.fname,Kyungchoel,Kyungcheol
11799.state,CD,DC
13300.gender,,M
5492.gender,cM,M
657.city,CApNAAN,CANAAN
17273.marriedexemp,,0
10534.childexemp,,0
9527.state,L,IL
18080.state,A,VA
10946.childexemp,***,0
7851.state,kDC,DC
13240.phone,613-3795,613-3759
3987.phone,752-i5702,752-5702
8901.city,BISE,BOISE
19520.areacode,33x4,334
12510.maritalstatus,yM,M
3722.marriedexemp,u4500,4500
14142.rate,0a.0,0.0
8110.marriedexemp,0200,2000
4560.gender,jM,M
4228.singleexemp,***,0
19918.zip,3864,3846
9218.state,CD,DC
4384.zip,8655,86545
18252.city,BENNINGTON***,BENNINGTON
14147.gender,,F
15922.gender,,F
17040.state,DI,ID
6817.haschild,,Y
5222.city,INOOSKI,WINOOSKI
9676.state,CD,DC
761.city,GLEN GARDER,GLEN GARDNER
6059.singleexemp,,0
11466.haschild,***,Y
15132.lname,Basnaet,Basnet
4020.city,FuLORA,FLORA
19798.childexemp,,0
1257.gender,bM,M
3822.marriedexemp,,0
19540.marriedexemp,***,0
15628.marriedexemp,j0,0
12327.gender,cF,F
4206.areacode,09,909
203.salary,600k00,60000
1355.zip,21920,21902
8386.salary,p85000,85000
8296.marriedexemp,l0,0
12159.state,CD,DC
15762.phone,974-4111,947-4111
11699.gender,hF,F
15883.salary,60000***,60000
12568.salary,80v000,80000
11338.gender,,M
3416.marriedexemp,240,2740
18928.rate,z5.0,5.0
15008.haschild,,N
12652.maritalstatus,,S
2059.salary,4000,45000
8220.phone,490-201,490-2201
14689.fname,uimin,Huimin
8602.maritalstatus,iS,S
7928.city,BEVERLY HILLuS,BEVERLY HILLS
10260.state,CD,DC
4627.maritalstatus,***,S
4124.zip,7312,57312
10408.state,CD,DC
366.state,iIL,IL
3331.gender,***,F
6466.city,WwAKONDA,WAKONDA
17414.rate,9y.0,9.0
19545.childexemp,,0
9287.childexemp,q0,0
13354.singleexemp,***,0
10256.lname,iGbbens,Gibbens
16319.childexemp,,0
15552.singleexemp,***,0
9365.childexemp,***,0
14915.singleexemp,g0,0
1749.marriedexemp,,0
16844.city,BIRMINeGHAM,BIRMINGHAM
7743.singleexemp,j2100,2100
7876.singleexemp,a0,0
899.maritalstatus,***,S
10271.childexemp,f0,0
372.fname,Crinne,Corinne
11911.state,HO,OH
7304.city,BIGPINEY,BIG PINEY
11110.state,M,NM
15132.childexemp,z0,0
18944.childexemp,10d00,1000
9172.marriedexemp,,0
3315.areacode,12,312
2998.marriedexemp,b0,0
13863.gender,***,M
15858.phone,596-1f594,596-1594
16082.gender,,F
18717.lname,Schwuiegelshohn,Schwiegelshohn
15281.gender,***,F
12422.maritalstatus,,M
11628.phone,26-3557,826-3557
1632.gender,***,F
6022.gender,zF,F
10323.marriedexemp,4020,4200
7695.singleexemp,0600,6000
10342.areacode,3k01,301
18931.fname,Gaar,Gara
263.maritalstatus,,S
15604.state,D,ID
4128.maritalstatus,,S
9820.city,MANCHESTRE,MANCHESTER
11828.marriedexemp,,0
10127.marriedexemp,e0,0
13454.salary,5000,35000
3609.marriedexemp,,0
12266.state,C,DC
14642.state,T,VT
4922.marriedexemp,,0
1644.lname,eMacham,Meacham
19385.rate,.0,5.0
16718.phone,911-c3571,911-3571
12842.singleexemp,***,0
12704.zip,76146,71646
18612.gender,***,F
19904.gender,***,M
6711.maritalstatus,,S
1249.singleexemp,,0
4977.rate,2.039582,2.5039582
10837.state,DI,ID
5630.city,PIEMONT,PIEDMONT
8751.singleexemp,,0
16892.singleexemp,***,0
11504.state,DI,ID
12008.phone,276-4214,276-4124
11652.salary,50000***,50000
8142.state,sDC,DC
3102.city,OTPEKA,TOPEKA
18347.state,D,ID
15234.marriedexemp,,0
5416.city,CHgARLOTTE,CHARLOTTE
11410.salary,95000***,95000
7123.marriedexemp,1200,12000
3285.childexemp,y0,0
17407.singleexemp,g0,0
19217.singleexemp,***,0
2066.rate,93.,9.3
2025.state,OgR,OR
5725.phone,776-3554,776-3545
216.childexemp,130,1370
19361.zip,99755,99575
13387.childexemp,***,0
2636.state,TM,MT
7934.marriedexemp,,0
3855.rate,34.,3.4
18695.gender,cF,F
16675.city,MOUNTAIxN HOME,MOUNTAIN HOME
708.singleexemp,z0,0
12901.singleexemp,a0,0
12016.gender,wF,F
6852.childexemp,***,0
14694.lname,Gbeele,Gebele
13389.state,DqC,DC
18303.singleexemp,,0
19836.marriedexemp,***,0
15246.marriedexemp,200,2080
11045.state,CD,DC
11341.singleexemp,r0,0
7248.lname,Tautnhahn,Tautenhahn
1119.gender,aF,F
17853.lname,Mlter,Melter
8044.maritalstatus,hM,M
14444.childexemp,,0
11496.areacode,83,863
18789.haschild,***,N
14592.lname,oullard,Coullard
17713.phone,69-06616,690-6616
15636.state,IaL,IL
10815.state,CD,DC
14230.zip,8r7545,87545
19647.phone,32-7902,321-7902
8321.state,zAK,AK
6655.state,D,ID
16361.haschild,***,N
17955.gender,***,F
4782.city,ARDNER,GARDNER
3657.marriedexemp,400,4200
17347.zip,n83340,83340
14375.childexemp,***,0
16901.salary,60000***,60000
7619.singleexemp,1200,2100
4258.state,gIL,IL
16744.fname,uei,Huei
11201.childexemp,,0
18999.city,BIWABIdK,BIWABIK
4418.haschild,***,Y
12896.childexemp,,0
7112.state,CD,DC
3314.gender,***,M
19420.city,BELOT,BELOIT
13078.phone,256-2r483,256-2483
8802.areacode,6l62,662
998.childexemp,a0,0
15194.gender,sF,F
13488.singleexemp,a0,0
4883.childexemp,***,0
15543.fname,ince,Vince
3057.salary,7000,70000
4615.rate,5.214268,5.214286
16593.state,A,GA
2177.haschild,wN,N
3825.singleexemp,20u00,2000
15920.haschild,,N
12730.haschild,qY,Y
13519.city,BEECH CREKE,BEECH CREEK
7217.maritalstatus,,M
19182.singleexemp,x0,0
8680.city,HECTRO,HECTOR
14588.singleexemp,j0,0
5070.lname,Raoutl,Raoult
18689.rate,6.s0,6.0
18781.gender,rF,F
10508.state,CD,DC
4660.lname,Cozap,Czap
8542.state,C,DC
12283.zip,99802,99820
18560.rate,.07,3.07
18145.fname,Yhji,Yuhji
8919.city,RICHTON PRAK,RICHTON PARK
13594.gender,***,F
6118.phone,431-751,431-7501
18914.fname,kKoti,Koti
10122.marriedexemp,,0
19262.marriedexemp,***,0
1302.fname,aMrtins,Martins
12846.childexemp,***,0
2658.haschild,***,Y
4511.city,BUFAFLO,BUFFALO
2806.haschild,,N
9281.marriedexemp,,0
3911.state,T,UT
5054.singleexemp,***,0
3151.state,R,OR
19243.gender,,F
18181.city,WILLIAMVILLE,WILLIAMSVILLE
2284.zip,6801,96801
8101.lname,hitney,Whitney
684.haschild,lY,Y
9930.marriedexemp,***,0
9815.maritalstatus,***,S
6504.fname,Murugppan,Murugappan
13444.state,C,DC
9402.gender,zF,F
15562.haschild,***,Y
14230.phone,482-3230,842-3230
17872.gender,,M
5715.fname,Esre,Eser
14934.childexemp,u0,0
2024.city,BERIN,BERLIN
1244.fname,Akilish,Akhilish
4895.fname,Annahbelle,Annabelle
11711.city,nBOISE,BOISE
7249.singleexemp,4k0,40
11222.lname,auff,Lauff
18789.gender,***,F
9846.marriedexemp,,0
12275.areacode,088,808
4553.phone,124-6558,124-6585
16798.phone,596-90a01,596-9001
11015.city,FOU RCORNERS,FOUR CORNERS
10581.areacode,x618,618
614.rate,6.57167s8,6.571678
14945.childexemp,i0,0
19680.state,wID,ID
2448.rate,.0,2.0
17929.marriedexemp,,0
14569.singleexemp,***,0
2039.city,SHMAOKIN DAM,SHAMOKIN DAM
9860.salary,200p00,20000
12177.gender,,F
131.city,CORLA SPRINGS,CORAL SPRINGS
9734.haschild,***,Y
4223.areacode,54,574
9215.salary,7000,70000
11753.maritalstatus,,S
5621.phone,342-2983,342-2893
12821.salary,25t000,25000
16236.city,WzILMINGTON,WILMINGTON
5705.fname,Srtikant,Srikant
11403.fname,Egiio,Egidio
4261.singleexemp,,0
6867.childexemp,***,0
17178.city,fBONDVILLE,BONDVILLE
17700.maritalstatus,pS,S
18609.gender,yM,M
4099.singleexemp,,0
6098.city,RCOHESTER,ROCHESTER
1981.childexemp,,0
12965.fname,Youscef,Youcef
6696.gender,***,F
10646.singleexemp,,0
6655.city,OISE,BOISE
11948.childexemp,,0
7226.gender,***,F
3592.areacode,30z8,308
16914.singleexemp,z0,0
9103.phone,42q9-5269,429-5269
18404.state,dID,ID
9052.salary,9500r0,95000
16332.marriedexemp,,0
17455.lname,Desrtine,Derstine
8015.city,IBLLINGS,BILLINGS
13708.gender,,F
1993.maritalstatus,***,M
13999.singleexemp,***,0
1628.haschild,***,N
7246.fname,Yuofang,Youfang
11797.marriedexemp,***,0
5841.haschild,aY,Y
15351.childexemp,k0,0
8636.childexemp,,0
12523.haschild,vN,N
3364.childexemp,,0
14272.rate,00.,0.0
7870.state,cDC,DC
2691.zip,13a137,13137
13795.gender,,F
12073.state,L,IL
17004.fname,Juodi,Jodi
3773.childexemp,s0,0
16807.areacode,s304,304
13991.fname,higeo,Shigeo
19392.city,EBDMINSTER,BEDMINSTER
15897.childexemp,1x000,1000
15023.areacode,23,623
13290.gender,jF,F
10490.areacode,235,253
14021.areacode,53,503
4391.fname,Sphoclis,Sophoclis
4325.phone,f526-8687,526-8687
8940.gender,,F
1172.fname,Zahai,Zahia
8427.childexemp,040,1040
7635.fname,Mtokazu,Motokazu
10072.state,CD,DC
12904.singleexemp,c0,0
686.singleexemp,00,700
16858.salary,65c000,65000
3687.haschild,,Y
9349.childexemp,j0,0
17873.singleexemp,***,0
11790.state,MN,NM
9582.gender,***,F
12907.childexemp,***,0
13131.salary,2s0000,20000
6305.state,zDC,DC
18401.haschild,,Y
12512.maritalstatus,***,M
11021.state,gIN,IN
8438.lname,Olkn,Olkin
169.state,Y,WY
8002.childexemp,***,0
6317.marriedexemp,***,0
12929.singleexemp,a0,0
11045.haschild,,N
4690.haschild,***,N
13622.city,BIRMINGAHM,BIRMINGHAM
193.maritalstatus,mS,S
9022.state,DI,ID
8973.areacode,987,978
4765.salary,8000,85000
17855.gender,,F
1951.state,EM,ME
11498.state,yID,ID
9095.fname,nAdras,Andras
6150.gender,***,M
7828.rate,4.57,4.75
14246.zip,5878j7,58787
17970.rate,p8.25,8.25
3694.marriedexemp,***,0
3580.haschild,vY,Y
10562.singleexemp,,0
8538.state,CD,DC
8234.marriedexemp,,0
18358.areacode,33,313
17828.lname,Tuckye,Tuckey
4003.areacode,25,205
12415.phone,639-782,639-7832
217.haschild,pN,N
19032.gender,***,F
4929.gender,,F
12333.city,BILOIX,BILOXI
13542.state,L,IL
11909.city,MOUNTAIN HOME A FB ,MOUNTAIN HOME A F B
7758.haschild,,N
7770.lname,enous,Renous
2933.marriedexemp,***,0
13029.marriedexemp,420,4200
6434.state,AL,LA
12231.singleexemp,,0
18627.city,OISE,BOISE
11318.marriedexemp,m0,0
9246.state,eDC,DC
13737.childexemp,***,0
16674.singleexemp,u0,0
4077.phone,520-2816,520-2861
11842.singleexemp,,0
10789.lname,Tuthildl,Tuthill
18431.marriedexemp,s0,0
6836.gender,,F
15171.areacode,61,661
17888.maritalstatus,,S
10725.gender,fF,F
11201.city,BLUwFF,BLUFF
203.marriedexemp,***,0
11793.marriedexemp,v0,0
540.haschild,,N
6504.state,nDC,DC
11041.gender,rF,F
3086.areacode,053,503
2118.areacode,280,208
3832.singleexemp,500,4500
669.maritalstatus,***,S
9631.rate,675,6.75
19904.areacode,330,303
3217.lname,azborov,Razborov
13765.haschild,,N
18979.childexemp,,0
3826.maritalstatus,***,S
3362.singleexemp,3f575,3575
9898.state,YW,WY
10090.singleexemp,f0,0
1761.lname,Macrosason,Macrosson
12539.state,DI,ID
41.state,K,AK
13166.salary,1500,15000
8273.fname,Yuell,Yudell
1817.phone,16-3664,116-3664
5536.phone,828-1422***,828-1422
4421.lname,sOterloh,Osterloh
6940.phone,81-5534,181-5534
6258.haschild,***,Y
8218.state,XT,TX
12306.marriedexemp,i0,0
16689.salary,55000***,55000
14222.state,tID,ID
15513.salary,0000,70000
624.zip,850z65,85065
14653.childexemp,000,1000
15679.zip,9j6712,96712
11658.childexemp,,0
19672.lname,Shceepers,Scheepers
527.lname,xBiermann,Biermann
14717.state,uTN,TN
13490.areacode,j212,212
13096.childexemp,,0
17224.marriedexemp,y0,0
11579.gender,***,F
14237.rate,7.348643,7.3486843
5891.fname,Gulrtukh,Gulrukh
1686.marriedexemp,***,0
11661.childexemp,,0
14512.singleexemp,1000***,1000
1184.city,PINEwHURST,PINEHURST
7252.rate,4.949672,4.994672
12993.city,BRMINGHAM,BIRMINGHAM
7201.maritalstatus,***,S
10034.state,C,DC
4937.fname,ris,Kris
10932.state,DI,ID
18365.gender,***,F
13222.marriedexemp,147,174
13999.city,BETHANY BkEACH,BETHANY BEACH
10600.city,NEODESHeA,NEODESHA
11713.lname,Raamiah,Ramaiah
17115.childexemp,s0,0
8550.rate,.287,2.87
10003.gender,***,F
5485.state,J,NJ
4834.maritalstatus,***,M
19731.childexemp,***,0
4247.maritalstatus,qS,S
14747.gender,***,F
13587.rate,.2575,3.2575
7571.lname,Kesslre,Kessler
13742.singleexemp,,0
16257.marriedexemp,,0
19402.childexemp,j0,0
19407.childexemp,w0,0
6672.city,BLANCHADR,BLANCHARD
7839.haschild,iN,N
14524.state,DI,ID
5110.state,D,ID
6520.marriedexemp,,0
1846.marriedexemp,,0
9614.zip,97980,97908
1475.rate,6.k25,6.25
9166.childexemp,,0
6972.salary,35k000,35000
6664.gender,kF,F
2360.zip,3d9283,39283
17546.state,DiE,DE
13239.childexemp,,0
18209.marriedexemp,a0,0
3482.state,R,AR
16463.singleexemp,***,0
14457.salary,35000***,35000
11047.haschild,***,N
1126.rate,.00,0.0
9748.areacode,98,918
11780.singleexemp,***,0
619.state,nTN,TN
11351.zip,73644***,73644
7702.salary,5000,25000
1085.marriedexemp,,0
11901.gender,***,F
2488.areacode,215,251
10607.state,CD,DC
3302.fname,Alxeius,Alexius
6363.city,ORPUS CHRISTI,CORPUS CHRISTI
12265.marriedexemp,i0,0
16946.singleexemp,,0
6571.haschild,xY,Y
10047.zip,u73193,73193
18281.marriedexemp,***,0
2994.areacode,850,580
12227.salary,2500,25000
7916.maritalstatus,***,M
14077.zip,6627,56627
19119.singleexemp,w0,0
6817.zip,1623,81623
11756.gender,nF,F
9892.phone,15-3445,715-3445
18282.zip,208b54,20854
16234.childexemp,***,0
8462.state,D,ID
5770.haschild,,N
3947.lname,ozeico,Mozeico
11903.gender,wF,F
16335.areacode,993,939
7755.city,BLOXI,BILOXI
18096.areacode,680,608
5732.lname,Mozeioc,Mozeico
1826.singleexemp,310g0,3100
2407.areacode,39,339
13826.childexemp,33q00,3300
8062.salary,35000***,35000
8131.haschild,,N
3204.state,HzI,HI
17391.state,J,NJ
1304.singleexemp,y0,0
19515.marriedexemp,***,0
3840.singleexemp,,0
2590.phone,584-361a7,584-3617
13565.fname,ayashree,Jayashree
19680.childexemp,u0,0
19350.marriedexemp,i0,0
11079.city,SINT CHARLES,SAINT CHARLES
8323.areacode,626,662
4557.salary,20000***,20000
16769.city,BOqARD CAMP,BOARD CAMP
14818.haschild,,Y
16555.gender,***,F
