28291.city,BiOW,BOW
18341.childexemp,0,20
49474.singleexemp,y0,0
18545.state,L,AL
13792.childexemp,,0
21305.gender,,F
7951.haschild,kN,N
30027.maritalstatus,***,S
41587.singleexemp,j0,0
22505.state,C,DC
38771.city,BAAMON,BAYAMON
18828.childexemp,***,0
28581.maritalstatus,***,M
14809.gender,***,F
34029.gender,***,F
22328.zip,53729,57329
34298.city,HOgNOLULU,HONOLULU
44974.city,OGUE CHITTO,BOGUE CHITTO
47917.gender,wF,F
19948.haschild,,N
34137.city,CONvWAY,CONWAY
32700.zip,99004,99040
36810.singleexemp,***,0
31333.gender,cF,F
24932.state,bOK,OK
6083.gender,***,F
47121.childexemp,1x040,1040
25097.rate,4.09847b55,4.0984755
14162.areacode,521,251
2346.phone,912-7023,912-7203
30233.state,R,AR
13850.rate,45,4.5
13061.haschild,jN,N
45526.city,LOS NAGELES,LOS ANGELES
6101.areacode,61,601
41704.fname,Yashodra,Yashodara
31086.areacode,60r3,603
5049.singleexemp,700***,700
17501.childexemp,,0
31175.childexemp,,0
6062.childexemp,c2000,2000
40652.gender,sM,M
32431.fname,Franis,Francis
41446.gender,,F
15726.childexemp,040,1040
24978.phone,952-3985,592-3985
48626.maritalstatus,,S
34529.areacode,41,401
18468.zip,5151,51521
36611.childexemp,2000***,2000
23470.areacode,682,862
47306.lname,Kiyaa,Kiyama
982.areacode,343,334
36627.state,rOK,OK
35978.childexemp,,0
15099.lname,Beauvieeux,Beauvieux
27714.childexemp,,0
1523.singleexemp,***,0
36096.singleexemp,***,0
3352.gender,***,M
28735.city,BNSON,BENSON
43017.childexemp,,0
6724.state,IM,MI
24176.areacode,4j02,402
9742.childexemp,,0
38505.marriedexemp,25400,24500
24751.rate,3.1799998***,3.1799998
11850.maritalstatus,oS,S
19642.fname,higeo,Shigeo
27131.marriedexemp,202,220
34563.city,BOqNNERS FERRY,BONNERS FERRY
18002.maritalstatus,eS,S
41980.zip,s57752,57752
3334.marriedexemp,500,5400
27871.marriedexemp,20,220
32155.state,AwK,AK
44274.city,BdIRMINGHAM,BIRMINGHAM
20478.state,I,WI
42905.childexemp,***,0
9749.city,WIMINGTON,WILMINGTON
16681.childexemp,***,0
23679.state,jAL,AL
8332.haschild,***,N
36105.state,sPR,PR
16786.city,BONNOTS MILhL,BONNOTS MILL
42090.fname,Lanwen,Lianwen
25314.marriedexemp,u220,220
39064.rate,3e.0,3.0
5016.lname,Hagrman,Hagerman
17181.singleexemp,***,0
40666.zip,606c11,60611
3592.state,E,NE
8711.zip,d44260,44260
7286.childexemp,***,0
28699.state,L,AL
48378.areacode,065,605
28705.childexemp,1200***,1200
27401.childexemp,r0,0
37817.childexemp,,0
19840.childexemp,100,1500
19393.salary,35000***,35000
4793.gender,***,M
24201.state,C,DC
49874.marriedexemp,y0,0
13615.marriedexemp,74,174
33649.phone,873-3271,783-3271
49969.childexemp,,0
21495.city,IRMINGHAM,BIRMINGHAM
23720.haschild,***,N
37147.marriedexemp,180,1800
17068.fname,Syde,Syed
3277.rate,82.5,8.25
27938.childexemp,,0
31912.singleexemp,100x0,1000
4004.fname,Tyoohide,Toyohide
45576.rate,3u.35,3.35
49231.rate,0.n0,0.0
40641.fname,akae,Sakae
26311.singleexemp,,0
32175.salary,30500,35000
48510.state,K,AK
28923.city,kTROY GROVE,TROY GROVE
39036.phone,m959-2331,959-2331
32389.maritalstatus,***,S
48957.city,BATON ROUEG,BATON ROUGE
6789.gender,***,M
10790.fname,Sathiamoorty,Sathiamoorthy
34570.gender,,F
23930.singleexemp,101,110
14278.haschild,dY,Y
46150.fname,aPliath,Paliath
16554.zip,80c150,80150
15866.marriedexemp,000,3000
29829.childexemp,e0,0
45191.singleexemp,***,0
35993.areacode,796,769
26001.phone,504-296,504-2996
36883.haschild,,N
38735.state,AlK,AK
6919.marriedexemp,***,0
27884.state,CD,DC
20568.childexemp,,0
4827.zip,68967,68976
29359.fname,Toshihsa,Toshihisa
31522.rate,4.3,4.63
13188.marriedexemp,202,220
40730.singleexemp,n0,0
49497.gender,***,F
29901.city,DEREFIELD,DEERFIELD
48099.city,CENTRAsLIA,CENTRALIA
40685.singleexemp,s0,0
30862.gender,***,M
46561.state,DkC,DC
1752.state,DyC,DC
6539.gender,,F
36217.state,LA,AL
48043.haschild,pY,Y
48662.state,CS,SC
48394.childexemp,c0,0
29379.rate,3q.0,3.0
4562.rate,85.,8.5
38676.marriedexemp,g0,0
42933.lname,Kornhaser,Kornhauser
1295.fname,sIhwar,Ishwar
26615.state,KA,AK
8444.city,BAKERSFIEpLD,BAKERSFIELD
14774.zip,1450l2,14502
48462.childexemp,***,0
30465.areacode,657,567
5400.childexemp,,0
20845.haschild,***,Y
23486.haschild,,N
17585.city,FRESO,FRESNO
11461.state,L,AL
12522.childexemp,,0
10008.state,C,DC
17611.state,AxK,AK
3934.gender,cF,F
49148.areacode,07,907
35756.state,zAK,AK
5958.marriedexemp,,0
34071.gender,,M
37373.state,DoC,DC
6616.fname,Vnicent,Vincent
37524.maritalstatus,***,S
4895.lname,Kamakti,Kamakoti
35725.city,BLEKNAP,BELKNAP
23753.gender,,F
8400.singleexemp,p0,0
3752.maritalstatus,***,S
48062.singleexemp,,0
25161.marriedexemp,220***,220
10396.rate,50,5.0
23040.gender,fF,F
26923.rate,0p.0,0.0
47420.singleexemp,,0
48758.haschild,,N
47143.city,BACH HAVEN,BEACH HAVEN
5689.haschild,cY,Y
19514.city,WORDbEN,WORDEN
1138.singleexemp,***,0
23107.gender,***,F
16516.salary,0500,5000
24458.maritalstatus,***,M
5692.state,CD,DC
25197.state,sAR,AR
19298.maritalstatus,cS,S
3811.marriedexemp,800,4800
41142.childexemp,***,0
20066.city,BOUDER,BOULDER
28766.state,DtC,DC
31292.zip,p58278,58278
10094.state,A,WA
41442.city,BOSON,BOSTON
48939.state,KA,AK
4151.areacode,072,702
47974.childexemp,,0
30931.rate,4.57,4.75
2765.marriedexemp,600,6600
20544.city,BaARTON,BARTON
14252.state,L,AL
31710.singleexemp,,0
47047.singleexemp,,0
26704.marriedexemp,t0,0
31340.haschild,xN,N
16688.marriedexemp,,0
30981.singleexemp,r2475,2475
40721.lname,Aitkten,Aitken
21581.city,BLOMFIELD,BLOOMFIELD
39406.childexemp,1004,1040
30761.fname,nAiri,Airi
1538.maritalstatus,aS,S
31733.areacode,14,314
37622.phone,295-637z1,295-6371
36298.marriedexemp,k1400,1400
16892.state,DyC,DC
26254.childexemp,300,3300
49659.haschild,,N
6587.marriedexemp,***,0
42674.state,yDC,DC
19416.gender,***,F
33225.city,BILOI,BILOXI
21774.lname,peirs,Speirs
11042.city,NEWq RIVER,NEW RIVER
49353.city,EBTTERTON,BETTERTON
6900.maritalstatus,***,M
26688.lname,Miot,Minot
30030.state,CD,DC
36899.phone,27-32204,273-2204
33113.city,MINNEPOLIS,MINNEAPOLIS
31152.city,INDIAAN,INDIANA
31930.phone,27-8219,287-8219
38877.gender,***,F
24217.fname,Sugoo,Sugwoo
48535.city,HARRIGTON,HARRINGTON
32388.salary,1j5000,15000
10024.fname,hZijian,Zhijian
9279.childexemp,***,0
3726.salary,950d00,95000
32962.singleexemp,f0,0
42441.childexemp,***,0
39406.marriedexemp,f2080,2080
33938.maritalstatus,eS,S
8420.maritalstatus,tM,M
42376.singleexemp,v0,0
23887.childexemp,***,0
43573.maritalstatus,***,S
22728.state,DbC,DC
4893.salary,5s0000,50000
10919.state,A,VA
49859.salary,5000,95000
34815.maritalstatus,,S
4402.state,R,AR
36060.gender,***,F
36457.lname,berhuber,Oberhuber
49437.gender,sF,F
29743.gender,***,F
40353.marriedexemp,d0,0
44725.maritalstatus,***,S
12551.marriedexemp,s0,0
8372.areacode,775***,775
9209.salary,5000,35000
39935.state,L,AL
19326.gender,***,F
19065.state,C,DC
44885.maritalstatus,,S
29091.lname,Jacqurt,Jacquart
20499.childexemp,i0,0
32304.state,RA,AR
40259.areacode,23,203
21696.marriedexemp,,0
28953.zip,38913,39813
12704.fname,Schiko,Sachiko
23214.zip,841q06,84106
21873.haschild,,N
44777.rate,w8.65488,8.65488
13227.haschild,wY,Y
34919.phone,5z12-1834,512-1834
28281.rate,1.9s519792,1.9519792
28571.state,zSC,SC
15471.singleexemp,e0,0
5245.lname,Skokoler,Sokoler
30058.singleexemp,3030,3300
34135.state,HN,NH
28374.marriedexemp,f0,0
29727.singleexemp,***,0
7998.gender,***,F
1484.haschild,***,Y
24473.marriedexemp,270,2740
13383.areacode,02,802
10573.maritalstatus,,S
40772.maritalstatus,dS,S
44140.zip,871i87,87187
49633.state,AgR,AR
44393.gender,pF,F
47780.singleexemp,,0
48090.singleexemp,,0
13335.singleexemp,***,0
28727.zip,674s18,67418
15662.maritalstatus,cS,S
41397.gender,pM,M
6224.gender,,F
16574.state,HN,NH
30382.marriedexemp,6200***,6200
8957.singleexemp,19p00,1900
30460.marriedexemp,***,0
33196.city,UTPELO,TUPELO
18304.city,JARAES,JARALES
526.singleexemp,***,0
14891.state,AM,MA
38214.marriedexemp,660x0,6600
21811.zip,58210,58201
27797.singleexemp,a0,0
45807.phone,244-3418,244-3481
3745.marriedexemp,24k500,24500
26442.childexemp,***,0
25397.singleexemp,,0
6655.city,BOIfSE,BOISE
33762.gender,***,F
37213.lname,yce,Nyce
16077.marriedexemp,6600***,6600
45411.gender,***,F
37290.state,C,DC
25108.singleexemp,,0
46908.singleexemp,***,0
44201.state,CD,DC
29298.city,BONDURANsT,BONDURANT
19251.city,FURAMN,FURMAN
41403.lname,McCorimck,McCormick
14865.state,DnC,DC
16810.state,K,AK
24189.city,BERRYTON***,BERRYTON
37028.state,KA,AK
46847.fname,Hersb,Herb
45677.lname,Pelser,Pleser
15362.state,RA,AR
14302.maritalstatus,hS,S
33049.childexemp,3300***,3300
44968.rate,0.p0,0.0
14594.lname,iAhn,Ahn
49437.city,MOUNTAIN HOME A FB,MOUNTAIN HOME A F B
10985.childexemp,,0
1159.singleexemp,***,0
8018.haschild,,N
33776.gender,vM,M
18938.rate,5u.0,5.0
43558.state,L,AL
27392.city,BINlFORD,BINFORD
39694.singleexemp,***,0
11933.zip,968w13,96813
33758.city,CUMMIGS,CUMMINGS
6151.state,MsS,MS
31569.marriedexemp,202,220
19581.areacode,780,870
29360.singleexemp,,0
33150.gender,,F
1739.city,CORVALLSI,CORVALLIS
14724.state,aVT,VT
45288.childexemp,,0
6696.gender,dF,F
6870.state,K,AK
38671.marriedexemp,,0
35402.zip,6783x9,67839
32717.rate,.0,0.0
16391.singleexemp,600,6000
32607.gender,qF,F
47155.singleexemp,7,87
26966.gender,gF,F
17828.zip,h37705,37705
21446.zip,13954,19354
42416.salary,7500,75000
29422.singleexemp,,0
45605.zip,737n71,73771
13589.phone,24-41898,244-1898
3991.city,OPEKA,TOPEKA
45422.state,R,PR
44480.fname,Matlthai,Matthai
10906.singleexemp,a2475,2475
42086.gender,***,M
7246.maritalstatus,***,S
42948.singleexemp,***,0
43570.city,SHARaPLES,SHARPLES
13444.state,C,DC
14488.maritalstatus,***,M
2068.city,SHREVPEORT,SHREVEPORT
22410.singleexemp,***,0
34807.haschild,uN,N
38393.singleexemp,,0
10815.state,DbC,DC
22984.rate,4.6447d37,4.644737
31730.state,LA,AL
38764.childexemp,***,0
33795.lname,Konikowsa,Konikowska
45362.singleexemp,,0
32828.singleexemp,***,0
11552.state,V,WV
1632.state,xAK,AK
25984.gender,***,F
35244.gender,hM,M
32419.lname,Luckhradt,Luckhardt
21293.zip,3869,38659
39465.lname,Muoth,Mutoh
17102.areacode,82,862
27796.city,HYDEVIlLLE,HYDEVILLE
40465.city,BaOISE,BOISE
32797.areacode,937,973
42689.childexemp,***,0
28676.childexemp,***,0
3749.fname,uby,Ruby
38993.marriedexemp,2400,4200
43652.state,R,AR
35732.singleexemp,,0
18789.gender,***,F
31412.zip,20482,20428
25618.zip,5110,25110
27493.marriedexemp,6060,6600
46592.state,C,SC
8329.city,NORTHFObRD,NORTHFORD
7096.state,DmC,DC
10045.phone,408-641,408-4641
43832.areacode,02,702
29067.gender,sM,M
14797.marriedexemp,***,0
9436.city,RVIERVIEW,RIVERVIEW
5808.fname,Sklavian,Slavian
11019.childexemp,,0
40866.singleexemp,***,0
43534.city,EAvSTON,EASTON
8392.rate,4z.397808,4.397808
35034.state,NhJ,NJ
14745.zip,q83865,83865
39597.state,MeA,MA
22866.singleexemp,02,20
29527.childexemp,***,0
16643.state,yMN,MN
12240.lname,Lichtencker,Lichtenecker
48337.salary,4000,40000
9794.maritalstatus,,M
18507.gender,hF,F
48111.city,BqAYAMON,BAYAMON
14660.state,CD,DC
31921.zip,6242,62242
29751.marriedexemp,,0
1656.fname,jSiamak,Siamak
5233.rate,4.2142392,4.2143292
28644.state,mDC,DC
33717.city,WATEFRORD,WATERFORD
44306.city,BELMAiR,BELMAR
12744.state,CD,DC
34595.childexemp,,0
8267.rate,00,0.0
47356.singleexemp,1030,1300
7717.marriedexemp,74,174
10330.haschild,iY,Y
32857.maritalstatus,oS,S
30389.singleexemp,e0,0
43335.marriedexemp,202,220
5462.haschild,hN,N
27908.salary,9000,90000
17635.state,HO,OH
30519.haschild,qY,Y
38247.gender,***,M
43965.maritalstatus,gS,S
1164.areacode,l316,316
36877.city,LANTRkY,LANTRY
22789.rate,00.,0.0
4487.zip,48652,46852
30462.marriedexemp,220***,220
15500.lname,Ozejry,Ozery
19243.gender,***,F
18151.marriedexemp,202,220
35306.state,CD,DC
37956.city,BIG HqORN,BIG HORN
26139.haschild,***,N
32578.maritalstatus,,M
46089.gender,,M
7897.singleexemp,***,0
8196.salary,10r0000,100000
47211.singleexemp,,0
22102.marriedexemp,r2740,2740
10263.lname,Oxbtulowicz,Obtulowicz
14860.city,AMRY,AMORY
22120.childexemp,r0,0
44117.haschild,,Y
24498.salary,0000,40000
14974.state,DvC,DC
28750.maritalstatus,***,M
48335.state,OwK,OK
18794.gender,lF,F
18694.marriedexemp,a2000,2000
16891.haschild,,N
34802.childexemp,h0,0
448.state,McT,MT
45416.lname,Carridere,Carriere
39470.maritalstatus,***,M
34935.gender,,F
38683.haschild,***,Y
27222.areacode,08,208
6858.gender,,F
45920.childexemp,i0,0
30597.city,BDEFORD,BEDFORD
17688.marriedexemp,260,206
16355.state,gAR,AR
15076.marriedexemp,2y20,220
40829.childexemp,300,3300
26689.gender,bF,F
37208.marriedexemp,740,2740
19081.state,C,DC
39882.fname,Feilks,Feliks
42503.marriedexemp,2400,24500
2599.state,DwC,DC
23574.haschild,kY,Y
29104.childexemp,j0,0
40198.maritalstatus,,S
35801.childexemp,2000***,2000
12279.maritalstatus,***,M
40228.areacode,4k05,405
15848.maritalstatus,,M
26464.maritalstatus,,S
34494.state,SzD,SD
45546.zip,5r4501,54501
31595.singleexemp,***,0
44848.childexemp,a0,0
27972.singleexemp,j0,0
11714.state,K,AK
38747.state,L,AL
43087.fname,Sadrahiro,Sadahiro
40415.marriedexemp,220***,220
13084.gender,***,F
10386.marriedexemp,026,206
23973.childexemp,n0,0
33414.singleexemp,***,0
15095.salary,5000,50000
30208.gender,eF,F
20001.state,mAR,AR
16733.zip,2843o3,28433
34790.childexemp,,0
46348.gender,,M
11461.marriedexemp,3000***,3000
41840.childexemp,,0
23322.city,UGER,HUGER
30804.gender,wF,F
46954.singleexemp,***,0
38397.lname,gSchueller,Schueller
24646.childexemp,,0
15699.marriedexemp,202,220
31371.state,C,DC
37754.city,POTNIAC,PONTIAC
8125.zip,3630,6330
40545.singleexemp,,0
33831.state,RA,AR
44172.city,MINNEAPOILS,MINNEAPOLIS
26556.state,IW,WI
1732.city,LITER,LEITER
38190.city,MILWAKUEE,MILWAUKEE
16815.lname,Aitekn,Aitken
18995.singleexemp,***,0
44034.state,DM,MD
36926.areacode,e501,501
21482.city,BGIFORK,BIGFORK
6689.state,R,AR
45456.childexemp,,0
15681.gender,,F
31149.marriedexemp,2f20,220
37703.gender,***,F
41983.singleexemp,c0,0
11897.maritalstatus,,S
23969.haschild,***,Y
29714.rate,y5.0,5.0
12344.city,CARDIGTON,CARDINGTON
40756.state,JN,NJ
42754.lname,McDkonald,McDonald
25803.gender,,F
41805.lname,Odbuiyi,Odubiyi
680.fname,Gianacrlo,Giancarlo
22358.phone,826-2352,826-2325
35943.fname,rPeben,Preben
35152.salary,100000***,100000
44917.singleexemp,***,0
11771.phone,4o91-6937,491-6937
12512.maritalstatus,***,M
32786.phone,165-7934,165-7943
2024.city,BERLhIN,BERLIN
38471.fname,bAgostinho,Agostinho
17273.childexemp,***,0
22013.state,CD,DC
40627.haschild,***,N
48981.city,wBIRMINGHAM,BIRMINGHAM
29469.gender,aF,F
14579.city,BOGEU,BOGUE
24790.singleexemp,***,0
35587.childexemp,1004,1040
43270.singleexemp,s0,0
4827.city,SMITHFIEDL,SMITHFIELD
6884.phone,76-7846,676-7846
30134.singleexemp,,0
32804.childexemp,,0
48882.marriedexemp,1200,12000
9687.gender,,F
6825.gender,***,F
30116.phone,542-786,542-7386
33577.maritalstatus,cM,M
11254.gender,pF,F
4033.salary,03000,30000
28162.zip,8901,89701
45637.state,L,AL
7119.lname,ehak,Rehak
41624.state,R,AR
19827.gender,,M
12238.zip,8031,68031
38590.childexemp,,0
37305.marriedexemp,***,0
26988.gender,,M
5185.gender,,F
30067.childexemp,***,0
11890.gender,,F
38101.singleexemp,***,0
44834.rate,.50,5.0
18395.singleexemp,o0,0
43900.haschild,***,N
24010.city,gJENNINGS,JENNINGS
39206.childexemp,200,1200
5079.areacode,166,616
13889.zip,21853,21835
4420.marriedexemp,7r150,7150
32279.marriedexemp,2450l0,24500
31347.singleexemp,***,0
3231.state,C,DC
17749.state,A,VA
29692.state,CD,DC
44812.zip,4p8104,48104
29373.maritalstatus,***,S
8335.childexemp,***,0
31964.gender,dM,M
48602.city,BATTLEu GROUND,BATTLE GROUND
15088.haschild,tY,Y
45821.phone,155-7233***,155-7233
44723.city,SHImRLEY,SHIRLEY
11969.state,EN,NE
22698.gender,,F
27149.lname,iNehren,Niehren
37171.salary,800p00,80000
28353.areacode,5y74,574
36049.rate,0h.0,0.0
39156.marriedexemp,4500,24500
9303.maritalstatus,***,S
2955.phone,9472-723,947-2723
22530.city,CHAPMtAN,CHAPMAN
25731.haschild,***,Y
30763.lname,Pemmarauj,Pemmaraju
49758.city,ADJNUTAS,ADJUNTAS
41137.phone,647-5822,647-8522
10912.marriedexemp,***,0
22679.singleexemp,,0
29747.gender,,F
48688.singleexemp,,0
35141.marriedexemp,24050,24500
45189.gender,***,F
44673.childexemp,,0
48040.marriedexemp,66t00,6600
42994.singleexemp,***,0
9220.areacode,55,505
6970.gender,,F
4386.city,EDGEWTAER,EDGEWATER
16555.areacode,5z15,515
42990.maritalstatus,***,M
3475.haschild,***,N
37815.rate,.00,0.0
25403.childexemp,***,0
37676.childexemp,i0,0
12572.maritalstatus,***,S
13218.areacode,61,361
21023.maritalstatus,***,M
30260.marriedexemp,27n40,2740
19906.fname,Joffryo,Joffroy
31794.state,CD,DC
17900.state,MgD,MD
25235.maritalstatus,,M
26897.rate,.0,7.0
6836.gender,,F
36599.state,C,DC
28522.marriedexemp,s220,220
33409.areacode,h918,918
26702.state,AzL,AL
49509.marriedexemp,***,0
7772.city,WAUREAN,WAUREGAN
44366.singleexemp,***,0
44587.singleexemp,,0
46176.city,IVNHOE,IVANHOE
38146.childexemp,r0,0
26944.salary,500,5000
43912.singleexemp,,0
4922.singleexemp,***,0
18283.gender,***,F
10833.singleexemp,,0
11608.areacode,08,208
46831.childexemp,***,0
5691.singleexemp,r0,0
6381.areacode,028,208
33399.city,DENVR,DENVER
27309.childexemp,***,0
29352.state,cUT,UT
26323.marriedexemp,4500,24500
17218.areacode,31h4,314
16300.gender,,F
35829.lname,Alrimoto,Arimoto
6185.lname,Gelsh,Gelosh
33262.state,AaL,AL
10763.childexemp,,0
22833.state,CD,DC
38849.rate,.0,7.0
43011.salary,8k5000,85000
42213.singleexemp,70x0,700
48104.marriedexemp,2500,24500
16560.rate,.75,4.75
32097.marriedexemp,42500,24500
13715.city,CANE VALLEY***,CANE VALLEY
13680.gender,oF,F
9833.state,C,DC
27406.marriedexemp,20,220
2384.haschild,***,Y
48917.gender,jM,M
18120.rate,2.1111121,2.1111112
13627.lname,eHndler,Hendler
29564.marriedexemp,a0,0
48531.marriedexemp,2008,2080
28707.marriedexemp,4500,24500
40701.childexemp,r0,0
11263.salary,07000,70000
12860.gender,***,F
49952.city,BELFIAR,BELFAIR
24322.singleexemp,130,103
44366.marriedexemp,30e00,3000
28742.maritalstatus,,S
29363.salary,30000***,30000
45238.state,CD,DC
43783.singleexemp,,0
29469.maritalstatus,,M
21956.haschild,aY,Y
39645.singleexemp,1o500,1500
31452.gender,xF,F
48955.marriedexemp,2600***,2600
25765.state,C,DC
28386.city,jBELMONT,BELMONT
23620.state,C,DC
634.fname,Naevem,Naeem
17936.childexemp,***,0
35289.haschild,xY,Y
49258.marriedexemp,d0,0
39376.salary,57000,75000
15295.state,tND,ND
28983.gender,fF,F
18418.rate,4.3978b08,4.397808
32656.maritalstatus,***,S
28187.haschild,***,N
32260.fname,Evlyn,Evelyn
7812.phone,21-7594,721-7594
28036.childexemp,i0,0
30901.maritalstatus,***,M
32618.lname,ockrell,Cockrell
28164.singleexemp,j0,0
21059.state,T,CT
17185.state,jAL,AL
20302.childexemp,,0
25447.haschild,,N
32292.singleexemp,,0
49148.salary,4500,45000
2941.childexemp,,0
17168.haschild,***,N
25456.state,K,AK
32895.state,R,AR
32595.lname,Inamrua,Inamura
47524.zip,9822,98122
2651.state,X,TX
27205.gender,***,F
45989.marriedexemp,25400,24500
24262.childexemp,***,0
29269.state,C,DC
19570.city,WASHINGOTN,WASHINGTON
35686.rate,.9,6.9
37696.marriedexemp,5400***,5400
31572.rate,4.5,4.75
18383.state,kDC,DC
10341.childexemp,10,110
49638.lname,Adomaviicus,Adomavicius
23889.lname,Rovre,Rover
41974.childexemp,,0
21603.state,R,AR
15723.lname,Ckhu,Chu
12899.marriedexemp,04,40
26317.state,K,AK
12861.city,WHEELEvR,WHEELER
21336.lname,Wolk,Woelk
49706.zip,99626,99662
25234.singleexemp,***,0
45193.state,CD,DC
43245.fname,Traaytcho,Traytcho
46934.childexemp,***,0
45556.salary,5000***,5000
16170.singleexemp,e0,0
4257.state,C,DC
13662.maritalstatus,,S
49948.zip,33796,37396
32846.marriedexemp,2g4500,24500
37040.city,SPOKAEN,SPOKANE
10967.salary,02000,20000
9440.gender,,F
39239.state,CD,DC
12965.areacode,680,860
20207.areacode,43,843
41467.gender,rM,M
10618.zip,34328,34238
18875.state,K,AK
18052.marriedexemp,***,0
17318.phone,584-77k75,584-7775
33608.singleexemp,,0
42493.lname,Priee,Priebe
1024.marriedexemp,,0
2185.state,D,ND
24940.childexemp,3300***,3300
39807.gender,,F
2249.rate,0.l0,0.0
30482.gender,***,F
34246.marriedexemp,,0
28536.areacode,f802,802
23778.marriedexemp,270,2740
48981.singleexemp,,0
37777.city,BASN,BASIN
41294.salary,60000***,60000
47709.lname,avronicolas,Mavronicolas
5749.gender,,F
17502.maritalstatus,***,S
15347.rate,0p.0,0.0
48690.city,MDIWAY,MIDWAY
33475.marriedexemp,202,220
36146.state,DpC,DC
30801.state,AtK,AK
3451.childexemp,f0,0
1929.state,NI,IN
31129.city,FORT WAYjNE,FORT WAYNE
35093.areacode,351,315
41252.state,CD,DC
13993.haschild,iN,N
3472.singleexemp,,0
41255.rate,.98,8.98
43771.gender,gF,F
8509.phone,990-408y8,990-4088
7220.gender,pF,F
42680.areacode,39,339
31624.childexemp,***,0
25299.childexemp,2457,2475
2974.marriedexemp,026,206
40204.lname,Webiel,Weibel
24870.marriedexemp,***,0
41842.lname,Gurziv,Gurzhiv
7922.marriedexemp,200f0,2000
41488.city,CEiNTER CONWAY,CENTER CONWAY
40650.lname,Sybang,Syang
15991.childexemp,,0
22576.singleexemp,***,0
19625.zip,97603,96703
42276.maritalstatus,nM,M
1581.salary,90000***,90000
20378.state,ArK,AK
41976.zip,62997***,62997
28545.city,BENTOrN,BENTON
40099.singleexemp,u0,0
237.city,JARBIGDE,JARBIDGE
38135.childexemp,,0
48820.childexemp,,0
38894.marriedexemp,202,220
32009.fname,Tarisio,Tarcisio
4405.state,qAK,AK
16703.salary,5000,85000
22797.salary,5000,75000
16805.gender,***,F
46859.phone,778f-9439,778-9439
36908.lname,Ayanui,Ayani
29242.childexemp,,0
44505.state,CD,DC
38045.childexemp,,0
45453.fname,aBosheng,Baosheng
36573.city,RIO RGANDE,RIO GRANDE
30290.childexemp,,0
34620.salary,0000,10000
37602.areacode,30,320
26702.marriedexemp,300,3000
15721.gender,,F
25349.marriedexemp,245b00,24500
14140.marriedexemp,s0,0
9968.areacode,940,904
23069.zip,86083,86038
24417.marriedexemp,5e700,5700
23294.city,BELFILED,BELFIELD
9204.lname,Mzei,Mezei
47714.haschild,***,N
42672.city,BOWERSVLILE,BOWERSVILLE
34058.state,C,DC
14490.state,C,DC
28722.areacode,25g2,252
35883.salary,07000,70000
18961.salary,90000***,90000
19848.singleexemp,300,3300
40671.childexemp,***,0
37576.state,K,AK
13379.singleexemp,p0,0
4827.haschild,,Y
4853.singleexemp,c0,0
3256.phone,25-3500,250-3500
32312.maritalstatus,vM,M
18327.phone,65-4586,565-4586
4725.gender,***,M
35891.state,NoE,NE
13036.zip,8912,89152
43949.childexemp,***,0
12315.lname,oGoday,Gooday
37817.state,KA,AK
42230.salary,5500,55000
49848.phone,68-3426,468-3426
10679.singleexemp,21m00,2100
38499.maritalstatus,nS,S
18872.gender,tM,M
18737.zip,7860,78630
15902.childexemp,j0,0
45260.gender,***,F
46497.fname,Immo***,Immo
454.rate,4.24329k3,4.243293
35936.fname,cMaroin,Maroin
5174.haschild,,N
5490.state,T,UT
17489.childexemp,d0,0
30842.childexemp,,0
13418.haschild,,Y
25956.marriedexemp,7240,2740
36474.state,DdC,DC
30320.singleexemp,***,0
36152.marriedexemp,7240,2740
13123.maritalstatus,bS,S
9926.state,lAK,AK
45402.rate,00.,0.0
8038.rate,.0,3.0
29351.fname,Agata,Agatha
3480.haschild,***,Y
35430.childexemp,***,0
41480.childexemp,,0
29264.maritalstatus,nM,M
42759.marriedexemp,,0
29438.childexemp,***,0
27137.singleexemp,,0
36905.city,LEiSLIE,LESLIE
37255.childexemp,g0,0
30009.city,BATONR OUGE,BATON ROUGE
9904.lname,isnevich,Nisnevich
39815.state,SaD,SD
47406.singleexemp,w0,0
14022.fname,Dbora,Debora
35008.childexemp,,0
35951.gender,mF,F
24892.city,BYAAMON,BAYAMON
31892.gender,qF,F
21206.salary,45000***,45000
36994.singleexemp,***,0
45784.zip,4841,48411
11445.phone,5704-896,570-4896
14770.state,DmC,DC
13601.gender,***,F
20278.areacode,80m8,808
10588.rate,4.5,4.75
34699.childexemp,000,1000
41497.fname,adanpal,Madanpal
43670.haschild,,Y
40949.lname,Brsocius,Broscius
35381.marriedexemp,2u20,220
20905.city,YCLONE,CYCLONE
33757.state,T,UT
42223.lname,Zcendler,Zendler
41620.state,AI,IA
49928.gender,***,F
38798.state,C,DC
35144.singleexemp,,0
39272.gender,,M
48927.childexemp,***,0
24265.marriedexemp,4500,24500
28258.childexemp,,0
27392.lname,Conlari,Colnari
43909.phone,793-3742,793-3472
3999.haschild,,Y
21665.salary,45d000,45000
1595.zip,439,4939
45005.gender,,F
48681.phone,585-8527,585-8572
8478.phone,46t2-1753,462-1753
35061.lname,esty,Jesty
33544.city,CAL JUNCTION,CARL JUNCTION
5764.childexemp,,0
41244.city,BUTTE DES MORTS***,BUTTE DES MORTS
29992.haschild,,Y
2907.rate,69.,6.9
17000.rate,.0,7.0
17842.maritalstatus,,S
