621.zip,76908,76098
17468.marriedexemp,202,220
19901.fname,Chinyign,Chinying
7677.marriedexemp,4h200,4200
11041.city,oSPARKS,SPARKS
10149.state,TC,CT
14895.rate,.50,5.0
19351.city,LDLOW,LUDLOW
3320.state,AL,LA
93.state,oNH,NH
2404.phone,815-665,815-6065
5188.state,IR,RI
4892.singleexemp,1050,1500
5671.zip,1404,1440
4353.singleexemp,59,159
11408.city,CYIL,CYRIL
10432.maritalstatus,wM,M
8270.gender,***,F
13359.gender,,F
15984.lname,oese,Boese
10775.singleexemp,,0
2942.city,BURNSWICK,BRUNSWICK
14483.state,T,CT
6280.rate,.28,2.8
3294.state,VW,WV
18046.rate,b3.07,3.07
8942.childexemp,,0
10545.gender,tF,F
17553.state,A,CA
11078.phone,m366-7169,366-7169
7310.childexemp,***,0
13455.singleexemp,10p00,1000
19917.phone,353-g1249,353-1249
9350.childexemp,3000***,3000
13439.gender,***,F
12044.state,iDC,DC
5912.state,C,DC
7333.childexemp,,0
13714.fname,iPrjo,Pirjo
19152.state,lDC,DC
4838.lname,Popdp,Popp
9511.lname,Then,Thien
19810.zip,4713u8,47138
18501.childexemp,,0
16646.gender,,F
6052.childexemp,,0
15362.salary,7000,70000
14751.state,T,CT
13929.city,CARNEGcIE,CARNEGIE
5119.marriedexemp,450,4500
7667.childexemp,***,0
12188.singleexemp,1k000,1000
15026.childexemp,30w00,3000
9949.city,WILINGTON,WILMINGTON
5312.city,CHIGNIK LAGONO,CHIGNIK LAGOON
18275.childexemp,j0,0
11016.childexemp,,0
8395.childexemp,4l0,40
6530.marriedexemp,***,0
10408.state,DgC,DC
15283.marriedexemp,a0,0
13855.singleexemp,,0
17346.lname,Frayysseix,Fraysseix
10837.maritalstatus,***,M
10821.zip,30205,30025
17789.singleexemp,0100,1000
9748.singleexemp,1q000,1000
13585.areacode,032,302
8192.fname,meshwar,Umeshwar
8398.state,dUT,UT
6984.zip,950,1950
2228.rate,4.0235442,4.0235424
7874.childexemp,03,103
18061.phone,360-4162,630-4162
11934.gender,,F
13264.zip,894f27,89427
18.salary,2000,20000
14392.haschild,cN,N
16180.marriedexemp,20,220
113.state,A,IA
12877.areacode,363,336
14447.fname,Minsine,Minshine
12185.city,TERRE HATUE,TERRE HAUTE
639.state,C,DC
1583.salary,01000,10000
11322.phone,279-2727,279-7227
15721.gender,***,F
10063.zip,38418,38481
7227.rate,.307,3.07
18403.phone,95-3697,955-3697
17615.city,BuIRMINGHAM,BIRMINGHAM
4814.state,TC,CT
12816.rate,.0,0.0
11111.singleexemp,***,0
775.rate,6.5,6.25
1030.phone,34-36629,343-6629
2510.city,BRAYD,BRADY
12283.singleexemp,,0
14388.marriedexemp,20,220
6189.singleexemp,2k100,2100
3618.salary,1000,10000
15963.marriedexemp,***,0
4602.city,UERNSEY,GUERNSEY
18420.maritalstatus,sM,M
9706.singleexemp,o0,0
13797.state,C,DC
10028.state,ClO,CO
18806.state,Z,AZ
3784.city,MILrLIGAN,MILLIGAN
16781.phone,77-7252,772-7252
16774.phone,40-5001,240-5001
8099.childexemp,,0
12890.zip,1594,10594
10449.singleexemp,1000***,1000
6061.salary,5500,55000
12352.city,CEDAR RtAPIDS,CEDAR RAPIDS
22.state,A,WA
5787.state,jAZ,AZ
13357.childexemp,3000***,3000
18490.salary,60000***,60000
12151.salary,5000,45000
19702.state,tDC,DC
17433.salary,500b0,5000
3180.singleexemp,i0,0
15702.gender,***,F
12865.state,CrO,CO
13416.maritalstatus,***,S
15531.childexemp,300,3300
6663.fname,My,May
12744.state,CD,DC
17809.city,CALjHOUN,CALHOUN
869.city,PROOV,PROVO
5926.fname,aMniel,Maniel
18508.childexemp,190c0,1900
12354.lname,Ailppi,Alippi
9806.gender,***,F
10579.gender,,F
7192.childexemp,090,900
5538.zip,6413,86413
15516.state,LA,AL
3122.childexemp,02,20
8553.state,T,CT
16034.state,CD,DC
18804.singleexemp,2010,2100
17004.zip,11w15,1115
11801.childexemp,02,20
18123.state,ZA,AZ
17756.haschild,,N
15626.city,WHIETRIVER,WHITERIVER
17569.haschild,oN,N
8375.singleexemp,104e0,1040
4840.singleexemp,,0
9149.city,RBIDGEWATER,BRIDGEWATER
5903.fname,Sangjn,Sangjin
10407.maritalstatus,rM,M
9256.marriedexemp,,0
4702.childexemp,***,0
10200.haschild,***,Y
2918.salary,5000***,5000
16778.childexemp,i0,0
8744.maritalstatus,***,M
9933.marriedexemp,y0,0
10796.childexemp,t0,0
9070.phone,909-9497,990-9497
19065.state,CD,DC
15612.gender,,F
19859.haschild,***,N
13913.childexemp,,0
18969.phone,995-24x35,995-2435
3351.areacode,207,270
1989.city,COTTON PLAT,COTTON PLANT
2651.city,MEDNA,MEDINA
5378.haschild,***,Y
12362.singleexemp,w0,0
19730.state,A,PA
550.haschild,***,Y
19081.state,C,DC
7150.city,WASHINhGTON,WASHINGTON
384.marriedexemp,6060,6600
10267.city,ASHPEE,MASHPEE
4814.marriedexemp,24050,24500
19935.gender,fF,F
5838.state,nCT,CT
1197.haschild,***,Y
19042.maritalstatus,***,M
17566.state,O,CO
5977.childexemp,90t0,900
13063.state,kMT,MT
4249.childexemp,k0,0
14393.city,CANTjON,CANTON
15238.gender,,F
19912.city,DE QEUEN,DE QUEEN
18961.singleexemp,***,0
17690.city,BRISTOrL,BRISTOL
13904.maritalstatus,,M
3445.salary,35000***,35000
13297.marriedexemp,300,3000
8558.state,AC,CA
13830.fname,Pnartick,Partick
19202.city,RUS VALLEY,RUSH VALLEY
3057.gender,bF,F
10842.rate,6.52,6.25
8208.zip,91707,19707
12027.marriedexemp,3080,3800
14014.fname,Feixionmg,Feixiong
19670.marriedexemp,274k0,2740
10846.lname,abbi,Wabbi
8038.childexemp,***,0
10472.gender,,F
17593.gender,,F
14369.maritalstatus,,M
13009.childexemp,,0
19816.salary,10000,100000
9330.childexemp,,0
11823.state,O,CO
5203.areacode,40f2,402
17932.areacode,485,845
110.salary,900c00,90000
483.zip,97689,96789
15115.city,SHAnTTUCK,SHATTUCK
2061.city,TRINIY,TRINITY
17453.haschild,***,N
10031.maritalstatus,***,S
1913.city,EVRETT,EVERETT
17085.singleexemp,,0
204.phone,31y8-2026,318-2026
15743.gender,,F
13004.childexemp,300,3000
7174.childexemp,***,0
16574.childexemp,l0,0
6373.gender,qF,F
11684.marriedexemp,g0,0
10482.fname,Stacei,Stacie
742.salary,5000,75000
12299.areacode,52,502
13036.singleexemp,,0
19194.state,C,DC
17294.phone,8x26-5313,826-5313
7096.state,DuC,DC
15930.maritalstatus,xM,M
15655.gender,bM,M
2249.childexemp,***,0
2027.marriedexemp,a0,0
14186.singleexemp,k0,0
10945.marriedexemp,4n0,40
13360.state,C,DC
12466.state,ZA,AZ
13774.marriedexemp,2500,24500
18955.gender,***,F
5483.singleexemp,2v850,2850
5913.haschild,***,N
15482.singleexemp,1000***,1000
15788.singleexemp,***,0
17505.state,N,TN
18849.singleexemp,1270,12750
10327.singleexemp,***,0
905.areacode,53,503
15031.maritalstatus,iM,M
604.state,CD,DC
7240.zip,880t47,88047
15050.state,O,CO
10112.rate,50,5.0
8195.childexemp,,0
14533.fname,Xiaoakng,Xiaokang
5537.singleexemp,,0
17553.areacode,o650,650
15613.gender,***,F
7429.areacode,04,304
12006.marriedexemp,,0
11662.areacode,b973,973
12829.city,GaLENBROOK,GLENBROOK
1035.salary,850k00,85000
2975.marriedexemp,w0,0
3391.gender,,F
16737.state,TC,CT
4030.gender,***,M
5263.phone,15-5828,415-5828
12915.childexemp,,0
14184.marriedexemp,i0,0
17882.state,A,CA
5051.maritalstatus,fS,S
9739.state,A,WA
1834.rate,6y.45,6.45
15226.singleexemp,***,0
7995.childexemp,***,0
4193.haschild,bN,N
10483.phone,184-7410,814-7410
13323.rate,.3,5.3
4759.gender,***,F
14018.singleexemp,b0,0
13016.phone,129-3h612,129-3612
12354.maritalstatus,***,S
31.singleexemp,0600,6000
19428.salary,85000***,85000
8609.city,BRCOKPORT,BROCKPORT
14783.marriedexemp,4500***,4500
3287.city,PACSOAG,PASCOAG
17054.lname,Adntoy,Antoy
10158.marriedexemp,g3800,3800
4773.fname,Aurra,Aurora
10146.city,BUFODR,BUFORD
17154.gender,fF,F
2556.city,MINNlEAPOLIS,MINNEAPOLIS
10086.childexemp,300,3300
15554.gender,,F
17233.haschild,,Y
5296.state,NcH,NH
18473.rate,78.,7.8
11031.gender,***,M
15601.salary,9000,90000
18813.state,Z,AZ
15776.city,BLACVILLE,BLACKVILLE
1157.maritalstatus,,S
766.city,fSAN LEANDRO,SAN LEANDRO
8435.marriedexemp,22r0,220
740.haschild,lN,N
13704.city,oBRINNON,BRINNON
12557.gender,zM,M
10692.singleexemp,***,0
9681.marriedexemp,f4500,4500
9930.childexemp,***,0
13184.rate,.63,4.63
13396.city,CAULMET,CALUMET
12029.gender,tM,M
9408.childexemp,e0,0
16206.marriedexemp,300,3800
4832.rate,.0,5.0
7269.haschild,***,N
11147.state,T,CT
8793.fname,Cristuiana,Cristiana
8052.marriedexemp,500,4500
19739.lname,Nagnasaki,Nagasaki
15405.state,CaO,CO
1494.salary,75000***,75000
6946.childexemp,z0,0
11361.childexemp,722,272
1305.state,C,DC
8023.fname,Dugn,Dung
11076.gender,***,F
10231.areacode,15,515
19737.marriedexemp,4020,4200
15368.rate,x0.0,0.0
8236.gender,***,F
3686.maritalstatus,bM,M
16778.city,CAROLIA,CAROLINA
5412.gender,,F
552.zip,5968,59468
19196.singleexemp,g0,0
429.state,WzV,WV
2376.maritalstatus,***,M
11480.state,OC,CO
3084.childexemp,f0,0
2662.lname,oornbos,Doornbos
10556.singleexemp,040,1040
14691.childexemp,w0,0
9349.marriedexemp,,0
3421.marriedexemp,4l200,4200
16125.marriedexemp,0,80
17765.rate,.00,0.0
1034.areacode,21q7,217
16003.state,DN,ND
19205.state,Z,AZ
17114.singleexemp,10j00,1000
15851.gender,bF,F
16241.haschild,***,Y
2303.gender,,M
6358.city,PINON,PINSON
11707.zip,3298,32198
10728.singleexemp,,0
10746.salary,500,5000
7780.maritalstatus,***,M
17498.childexemp,000,2000
3002.state,xKY,KY
5583.state,aDC,DC
18496.phone,867-9205,867-9025
13730.state,CD,DC
17463.state,fAZ,AZ
4337.marriedexemp,2u20,220
4502.rate,.0,6.0
12577.gender,,F
803.city,SIMSPON,SIMPSON
12860.gender,***,F
19739.state,hIN,IN
14627.lname,aib,Kaib
12593.city,ALPEAN,ALPENA
4542.areacode,2d24,224
14914.singleexemp,1000***,1000
10415.areacode,551,515
14219.gender,***,F
15106.rate,6.466h783,6.466783
10810.singleexemp,***,0
11024.singleexemp,,0
8020.marriedexemp,2000***,2000
16914.childexemp,p0,0
6591.zip,7066,17066
14321.state,dCT,CT
15847.maritalstatus,bS,S
7502.haschild,***,N
9961.zip,9750a1,97501
9909.childexemp,***,0
19599.areacode,21,201
16654.maritalstatus,,S
15609.singleexemp,040,1040
16360.gender,,M
3330.lname,Shidar,Sahidar
16599.city,CANTOqN,CANTON
11934.childexemp,***,0
4955.city,NORWLAK,NORWALK
7733.state,DhC,DC
12716.lname,Weinrich,Weinreich
17124.city,OBONE,BOONE
18827.city,BUTTERNUaT,BUTTERNUT
6830.haschild,***,N
12303.lname,Schrof,Schroff
8367.state,CpT,CT
15285.marriedexemp,420,4200
16351.state,CD,DC
4741.state,CnT,CT
14776.lname,Calrix,Calbrix
14710.areacode,306,360
18095.phone,114-4460,114-4406
12364.state,R,AR
11395.city,AINIER,RAINIER
8372.haschild,***,N
14406.marriedexemp,42500,24500
19257.singleexemp,o0,0
7765.childexemp,***,0
14979.areacode,890,980
3150.rate,3.k07,3.07
10993.city,BOIES,BOISE
7397.state,T,CT
15526.childexemp,***,0
12840.areacode,13,513
4251.marriedexemp,2c080,2080
6657.salary,d90000,90000
15607.lname,riese,Priese
13790.state,N,TN
8825.city,BONDURNT,BONDURANT
4781.childexemp,120,1200
16457.maritalstatus,***,M
14584.state,CmA,CA
290.state,CD,DC
7954.fname,Kangjo,Kwangjo
9256.singleexemp,,0
5086.state,ImD,ID
14082.state,DlC,DC
18579.gender,yF,F
9689.marriedexemp,800,3800
9465.gender,***,F
1709.gender,,F
12426.childexemp,***,0
5116.marriedexemp,h0,0
10974.singleexemp,27t00,2700
6248.marriedexemp,r4500,4500
15125.salary,z20000,20000
16693.gender,***,F
10933.zip,57g329,57329
6299.areacode,180,810
10531.singleexemp,***,0
17966.state,C,DC
2163.haschild,,Y
11914.state,Z,AZ
6698.gender,***,F
1856.rate,34.,3.4
15619.city,CASTiANER,CASTANER
18620.singleexemp,,0
10324.zip,1w1235,11235
18315.childexemp,***,0
10294.rate,.0,3.0
7304.singleexemp,,0
16387.marriedexemp,4p200,4200
18231.singleexemp,p0,0
5383.areacode,12,912
16629.haschild,***,N
15699.marriedexemp,20,220
11907.childexemp,,0
944.city,WAIKOLOvA,WAIKOLOA
1091.gender,***,F
15446.singleexemp,13,103
6703.singleexemp,y0,0
3298.rate,0t.0,0.0
9609.childexemp,j0,0
3722.marriedexemp,45u00,4500
12155.gender,,F
12165.areacode,958,985
13859.state,Z,AZ
14613.fname,Rqafols,Rafols
4825.state,iAZ,AZ
8997.salary,35i000,35000
4719.areacode,q316,316
18752.singleexemp,i0,0
14736.marriedexemp,6v600,6600
16434.areacode,172,712
9208.fname,Ceryl,Cheryl
17464.phone,167-3020,167-3200
6621.childexemp,x0,0
18134.areacode,v425,425
9010.areacode,67,617
3921.marriedexemp,j0,0
15587.rate,.34,3.4
13435.salary,20000***,20000
9349.rate,s0.0,0.0
17104.state,Z,AZ
10342.marriedexemp,***,0
14611.city,PINTEOP,PINETOP
19299.childexemp,u0,0
18358.salary,200z00,20000
16964.lname,aCngellaris,Cangellaris
1706.areacode,h256,256
10504.lname,Lyuu***,Lyuu
2327.singleexemp,500,4500
14228.state,L,AL
18324.phone,709-34g69,709-3469
11193.childexemp,g0,0
16651.gender,***,M
17997.city,BLACKDUqCK,BLACKDUCK
18392.fname,Ansgra,Ansgar
12614.gender,***,F
891.areacode,h208,208
8099.salary,5000,50000
19605.state,C,DC
8106.marriedexemp,4800***,4800
10546.state,TC,CT
14273.childexemp,t0,0
9474.salary,500,5000
1573.maritalstatus,,S
12436.haschild,bY,Y
17458.childexemp,***,0
17729.childexemp,,0
10324.state,Y,NY
7733.salary,1500,15000
19966.phone,4v28-5457,428-5457
3173.childexemp,***,0
470.singleexemp,***,0
17102.state,JN,NJ
7487.rate,.85,8.5
12003.state,L,FL
14913.city,LEBLAcNC,LEBLANC
442.state,C,DC
11558.state,C,DC
12992.city,DUNRETH,DUNREITH
10751.zip,701h48,70148
13382.marriedexemp,0400,4000
18245.zip,h12194,12194
7855.singleexemp,***,0
6946.city,CARLINA,CAROLINA
16766.childexemp,,0
7436.state,qAR,AR
2550.city,CDAR,CEDAR
4478.state,DdC,DC
13190.marriedexemp,3d800,3800
13227.marriedexemp,20,220
2220.state,TU,UT
17020.childexemp,,0
1454.zip,92488,29488
19791.childexemp,,0
16539.maritalstatus,***,M
17127.gender,dF,F
3486.salary,5000,45000
15558.marriedexemp,4200***,4200
19289.city,DENiVER,DENVER
17209.haschild,,Y
7103.maritalstatus,,M
15274.zip,66925,66952
13763.haschild,,Y
13291.marriedexemp,i0,0
19238.state,RA,AR
10233.rate,5z.0,5.0
14074.state,vAZ,AZ
9595.areacode,70h1,701
15547.state,DlC,DC
16264.marriedexemp,***,0
17828.fname,Brurno,Bruno
2262.childexemp,***,0
6294.state,pDC,DC
18070.maritalstatus,,S
11455.haschild,,Y
7873.haschild,***,Y
5843.fname,oriana,Boriana
14360.singleexemp,1000***,1000
18460.phone,129-9m147,129-9147
4349.city,SANDY bRIDGE,SANDY RIDGE
16849.marriedexemp,0,40
17402.haschild,,Y
3588.childexemp,e0,0
1344.phone,643-8541,643-5841
12462.singleexemp,1000***,1000
7924.marriedexemp,w0,0
16285.zip,479,4779
11436.childexemp,,0
19783.phone,959j-9734,959-9734
5191.state,MeA,MA
3774.phone,75-3017,875-3017
19536.lname,iBruhl,Bruhl
8200.state,Z,AZ
16843.rate,2.1037475,2.1034775
11238.salary,1500,15000
488.fname,Rodrhigo,Rodrigo
12943.gender,***,F
6442.areacode,280,208
17829.marriedexemp,3800***,3800
17995.marriedexemp,400g0,4000
170.lname,Platninga,Plantinga
17602.city,PILOT POINmT,PILOT POINT
5360.lname,Gwecki,Gawecki
18323.city,UBRLINGTON,BURLINGTON
14115.phone,763-737,763-7737
13888.zip,8v0442,80442
2864.childexemp,***,0
17095.maritalstatus,***,S
2907.rate,69.,6.9
6098.rate,39.,3.9
11181.state,AM,MA
17397.singleexemp,0140,1040
3233.zip,262s15,26215
19728.state,CD,DC
10407.rate,4.1857,4.1875
12725.childexemp,e0,0
1334.rate,.0,0.0
16317.fname,Metlem,Meltem
1608.phone,279-5656,729-5656
7415.singleexemp,,0
19573.childexemp,,0
9274.city,BRIDPOT,BRIDPORT
15983.areacode,87,787
16031.singleexemp,2k0,20
16444.areacode,9o39,939
17014.childexemp,b0,0
14628.maritalstatus,,S
18315.gender,qF,F
6548.singleexemp,p0,0
665.lname,Srtauss,Strauss
2648.lname,eBh,Beh
17786.gender,,M
11930.haschild,,N
15603.city,PIEDMNT,PIEDMONT
14563.state,DkC,DC
3502.state,iVA,VA
13858.state,DjC,DC
9064.fname,jAsat,Asat
13308.state,I,HI
10152.singleexemp,***,0
10520.lname,Liba,Leiba
5172.salary,3000,30000
16179.marriedexemp,20,220
4746.rate,70,7.0
15805.marriedexemp,d220,220
12962.city,BUTELR,BUTLER
15683.areacode,805,850
11962.areacode,605,650
5962.state,C,DC
13029.marriedexemp,420,4200
17669.lname,Besacenot,Besancenot
16820.fname,Huizuh,Huizhu
14620.state,AgR,AR
19765.phone,852-35r04,852-3504
14782.state,T,CT
15714.lname,Gobttsman,Gottsman
14797.city,BURELY,BURLEY
15153.singleexemp,1000***,1000
16885.gender,***,F
17006.rate,v5.3,5.3
7212.rate,6.33911,6.339211
5584.childexemp,370,1370
2622.zip,18950,19850
10745.singleexemp,v3300,3300
19314.areacode,720,702
1494.areacode,520,502
11475.fname,atsuto,Katsuto
17538.city,BLOOINGTON,BLOOMINGTON
11887.city,GREENVILmLE,GREENVILLE
17571.lname,Duo,Dou
12526.gender,,F
10208.maritalstatus,***,M
2190.rate,4.5329266***,4.5329266
19436.salary,9000o0,90000
15272.areacode,94a9,949
13479.singleexemp,,0
14208.singleexemp,,0
18843.phone,132-948z7,132-9487
13999.marriedexemp,20,220
3818.lname,Eoh,Etoh
17317.marriedexemp,4q000,4000
16980.childexemp,***,0
9094.haschild,,N
16080.marriedexemp,***,0
9990.marriedexemp,4050,4500
13732.childexemp,,0
3565.fname,lona,Ilona
3232.salary,90000***,90000
11220.areacode,56,256
16520.gender,,F
16942.phone,661-74w72,661-7472
13710.marriedexemp,***,0
19552.salary,1000,10000
17707.areacode,60,660
13509.singleexemp,1000***,1000
2676.areacode,03,903
15837.state,AyZ,AZ
10276.haschild,iN,N
5581.rate,1.873215,1.873125
11597.phone,811r-7726,811-7726
16719.city,RUSFHORD,RUSHFORD
16781.childexemp,***,0
12566.city,BOLSER,BOSLER
977.salary,1500,15000
10396.city,WALINGFORD,WALLINGFORD
7561.haschild,,Y
17727.state,ZA,AZ
14406.singleexemp,c0,0
17726.marriedexemp,381,318
12777.haschild,***,Y
19294.gender,pF,F
8518.lname,Pardlos,Pardalos
15063.salary,20000***,20000
16860.singleexemp,13,103
14327.state,T,CT
4543.rate,7z.0,7.0
14361.marriedexemp,8300,3800
1862.maritalstatus,nS,S
15881.childexemp,***,0
19489.singleexemp,,0
19071.haschild,***,Y
14625.salary,51000,15000
9857.state,gDC,DC
17373.marriedexemp,400,1400
19517.gender,dM,M
13673.city,FAYiETTE,FAYETTE
10823.salary,d85000,85000
13381.childexemp,x0,0
12679.gender,uF,F
7099.areacode,2v56,256
10225.rate,.9,6.9
17438.singleexemp,***,0
8492.salary,95000***,95000
17727.marriedexemp,400,4200
9937.marriedexemp,,0
2233.gender,zM,M
19546.phone,87-2047,877-2047
19092.marriedexemp,***,0
16203.state,R,AR
4708.maritalstatus,***,S
70.state,CD,DC
3596.haschild,,Y
19900.fname,Gaelel,Gaelle
18950.singleexemp,000,1000
15385.childexemp,w0,0
2657.lname,eLick,Leick
11020.city,STEAMBOATc SPRINGS,STEAMBOAT SPRINGS
9592.state,T,CT
8464.state,H,OH
15284.salary,2500p0,25000
2980.city,RPINCETON,PRINCETON
6262.salary,3500,35000
19552.haschild,***,N
13745.marriedexemp,380a0,3800
18943.childexemp,,0
6887.childexemp,***,0
11320.fname,Cihei,Chihei
9193.phone,958-7606,958-7066
18940.childexemp,,0
18600.state,DbC,DC
13376.gender,***,F
14578.childexemp,,0
3793.fname,ick,Nick
5818.childexemp,3300***,3300
17403.phone,109-u6167,109-6167
18546.zip,d29306,29306
19463.singleexemp,100,2100
2901.singleexemp,210k0,2100
3060.childexemp,f3300,3300
17460.zip,1015h3,10153
3221.areacode,215,251
11688.marriedexemp,3080,3800
15122.areacode,62,862
10934.marriedexemp,***,0
11671.singleexemp,,0
9361.state,ED,DE
6691.zip,37813,37183
16120.city,ANCHORAbGE,ANCHORAGE
576.fname,Setffen,Steffen
12424.singleexemp,1000***,1000
2389.maritalstatus,***,S
17181.marriedexemp,000,3000
7284.state,OC,CO
16403.marriedexemp,900,9000
3171.singleexemp,***,0
3953.childexemp,3300***,3300
17940.state,MbN,MN
6376.gender,xM,M
8162.phone,57l1-6997,571-6997
309.singleexemp,***,0
18802.salary,2v5000,25000
9317.state,NI,IN
16257.rate,6.912586,6.9912586
8477.areacode,601,610
14857.gender,,F
6061.childexemp,,0
9610.marriedexemp,e2740,2740
11703.salary,7500,75000
8306.state,mCT,CT
18555.marriedexemp,,0
8738.gender,yM,M
18766.singleexemp,m0,0
4865.city,OSLER,BOSLER
17635.marriedexemp,6200,2600
6706.gender,***,F
18665.state,CsT,CT
19450.salary,9i0000,90000
13678.state,TC,CT
266.phone,406-68v56,406-6856
10892.state,ItD,ID
12009.singleexemp,7200,2700
7199.lname,Bruguea,Bruguera
5229.zip,73y571,73571
7786.state,DI,ID
16331.marriedexemp,4590,4950
5943.state,DjC,DC
5171.lname,Suuchak,Suchak
10354.fname,Lroy,Lory
9666.rate,60.,6.0
18389.haschild,sN,N
990.state,DyC,DC
8525.city,BARD CAMP,BOARD CAMP
7047.marriedexemp,***,0
11024.childexemp,,0
15066.lname,rymolowski,Krymolowski
18745.childexemp,,0
16820.salary,7000,75000
17822.phone,50-51482,505-1482
10835.marriedexemp,,0
16883.lname,Zutner,Zultner
11322.gender,,M
16765.fname,Jayyen,Jayen
4998.rate,68.4,6.84
15960.city,THOMASVxILLE,THOMASVILLE
2864.fname,Naruotshi,Narutoshi
637.lname,uJsto,Justo
16880.rate,7z.0,7.0
4509.marriedexemp,3000***,3000
19240.childexemp,***,0
1700.salary,09000,90000
9556.city,BROADIEW,BROADVIEW
8102.singleexemp,,0
15084.fname,Nobuyosi,Nobuyoshi
16620.city,BRIMINGHAM,BIRMINGHAM
3388.salary,05000,50000
12293.city,BUCEKYE,BUCKEYE
14765.singleexemp,l0,0
5584.state,C,DC
14288.childexemp,l0,0
9860.city,BUSHWODO,BUSHWOOD
1874.state,TC,CT
5956.singleexemp,g0,0
8842.marriedexemp,,0
2949.childexemp,***,0
10365.rate,2.109676,2.1096876
559.fname,Rogeloi,Rogelio
16859.childexemp,z0,0
7601.salary,500,5000
9948.zip,856t19,85619
5097.marriedexemp,274r0,2740
15949.state,H,OH
13055.state,T,CT
7610.maritalstatus,fS,S
15541.rate,.0,6.0
8072.fname,Bigitte,Brigitte
3086.marriedexemp,18,318
14521.areacode,k320,320
8847.marriedexemp,3000***,3000
1598.childexemp,3300***,3300
15702.state,ZA,AZ
14783.haschild,***,N
8371.fname,Goffrdeo,Goffredo
12617.singleexemp,,0
10000.city,CEDAR ITY,CEDAR CITY
3746.areacode,77k4,774
14918.singleexemp,,0
12629.rate,6.x45,6.45
5797.haschild,***,N
9671.marriedexemp,3800***,3800
11622.gender,mF,F
6015.marriedexemp,,0
10694.city,BUTET,BUTTE
11757.marriedexemp,6060,6600
10315.marriedexemp,i40,40
15984.rate,.0,0.0
16995.state,A,WA
15976.salary,5h000,5000
1534.rate,1.541818,1.5418718
9595.singleexemp,3300***,3300
7215.fname,eTtsuro,Tetsuro
16730.childexemp,,0
19848.city,BLUEWAETR,BLUEWATER
6660.salary,40000***,40000
10979.haschild,qN,N
6428.state,bDC,DC
13943.zip,48117,84117
6136.zip,2457u7,24577
9396.gender,zM,M
11480.gender,***,M
6994.state,OC,CO
1959.childexemp,y0,0
15245.childexemp,***,0
12524.salary,2000,20000
11376.marriedexemp,220***,220
19507.maritalstatus,***,S
3484.state,qDC,DC
747.fname,Lenhnart,Lenhart
9135.rate,684,6.84
13047.state,O,CO
17241.childexemp,l0,0
7199.marriedexemp,240,2740
7673.childexemp,,0
8023.singleexemp,130,103
14017.marriedexemp,d3800,3800
12685.marriedexemp,42d00,4200
8522.zip,125,1235
3618.state,sWV,WV
8541.state,CzT,CT
945.marriedexemp,,0
13411.childexemp,***,0
13658.city,REDWOODCITY,REDWOOD CITY
11512.gender,,M
13215.city,CADOGmAN,CADOGAN
16535.areacode,19,619
18040.salary,7000j0,70000
10573.maritalstatus,xS,S
5366.zip,j79543,79543
333.state,K,AK
1660.city,HARTAN,HARTMAN
4508.city,RHOADSEVILLE,RHOADESVILLE
15699.state,E,DE
11703.city,KOOKIA,KOOSKIA
4147.areacode,06,406
14045.state,CN,NC
19133.rate,.0,6.0
5903.state,C,DC
17957.city,OISE,BOISE
8238.city,EST NEWTON,WEST NEWTON
1823.salary,90000***,90000
14321.city,MAISON,MADISON
15909.haschild,jY,Y
18020.singleexemp,***,0
16416.singleexemp,101,110
15426.gender,iF,F
5145.salary,40000***,40000
11826.lname,Dinsenmyer,Dinsenmeyer
11254.salary,o60000,60000
18205.phone,394c-6456,394-6456
14812.state,DpC,DC
18843.marriedexemp,04,40
15283.singleexemp,,0
4700.phone,385-6x594,385-6594
19524.gender,,F
14813.singleexemp,***,0
10591.marriedexemp,420e0,4200
9610.state,C,DC
18868.city,CHISGAO CITY,CHISAGO CITY
541.singleexemp,y0,0
11391.marriedexemp,800,3800
3288.childexemp,,0
16691.city,BROADIEW,BROADVIEW
7031.gender,***,F
15877.childexemp,250,2250
2340.areacode,50,570
14158.gender,***,F
4120.rate,.0,6.0
4979.childexemp,u0,0
9045.haschild,,N
18061.haschild,***,N
10443.singleexemp,1004,1040
3748.rate,60.472026,6.0472026
4402.city,CADDO AGP,CADDO GAP
18626.state,ZA,AZ
9726.lname,Crasy,Creasy
8470.salary,450d00,45000
3880.state,RA,AR
16161.state,DrC,DC
19240.city,MKAAWELI,MAKAWELI
10546.rate,50,5.0
19864.city,BLYTHEVIaLLE,BLYTHEVILLE
1523.salary,10500,15000
1807.maritalstatus,lM,M
5859.salary,20000***,20000
3525.areacode,7v24,724
7875.zip,2805z3,28053
15181.state,O,CO
19293.state,jCO,CO
13394.haschild,,N
1074.singleexemp,o0,0
19779.singleexemp,h0,0
16190.gender,,M
8553.city,WEST HVAEN,WEST HAVEN
10886.salary,x100000,100000
5869.rate,53,5.3
14848.city,BOSE,BOISE
11659.childexemp,m0,0
11201.city,BLUgFF,BLUFF
14669.rate,5t.35,5.35
7311.haschild,,N
14988.areacode,41k0,410
7809.singleexemp,***,0
1303.childexemp,519,159
16687.fname,iSnisa,Sinisa
16961.marriedexemp,2q20,220
17294.salary,0000,30000
5558.singleexemp,1h040,1040
16433.singleexemp,f0,0
17604.state,lCT,CT
19592.rate,4.45,4.475
18869.maritalstatus,jM,M
