155701.fname,Shireli,Shirlei
194104.state,V,NV
2212.state,DmC,DC
46349.maritalstatus,,M
139001.lname,Taganlsky,Tagansky
65478.marriedexemp,,0
124060.marriedexemp,2450,24500
34201.singleexemp,,0
111338.state,ZA,AZ
28983.salary,3500,35000
98808.childexemp,***,0
93182.salary,75000***,75000
83531.areacode,g213,213
1140.gender,***,F
65690.state,J,NJ
171732.rate,.00,0.0
108297.maritalstatus,***,M
109893.state,EN,NE
126367.state,KA,AK
151744.childexemp,***,0
2709.haschild,***,N
117.fname,Aajrne,Aarne
69529.gender,vM,M
104368.marriedexemp,f0,0
139316.city,ALBUuQUERQUE,ALBUQUERQUE
127699.childexemp,3100***,3100
174348.maritalstatus,***,M
128332.state,AW,WA
113830.city,MATEWN,MATEWAN
38736.rate,l0.0,0.0
40195.areacode,6m60,660
12750.phone,17-7204,817-7204
97673.haschild,,Y
192857.haschild,***,Y
182253.rate,3.0p7,3.07
10675.singleexemp,s0,0
106559.gender,***,F
19326.marriedexemp,***,0
132512.state,JN,NJ
59597.areacode,24p8,248
68691.state,NmJ,NJ
170432.lname,fWotawa,Wotawa
197590.marriedexemp,***,0
183505.marriedexemp,,0
185782.gender,dF,F
190837.city,OKLAHOM ACITY,OKLAHOMA CITY
60050.state,JN,NJ
110460.singleexemp,,0
26585.marriedexemp,,0
195744.gender,***,M
75538.singleexemp,f0,0
182524.state,AcK,AK
76494.rate,7.i0,7.0
157436.salary,5000,55000
81788.state,J,NJ
164150.salary,70000***,70000
75731.singleexemp,***,0
176462.zip,2142,21742
170714.phone,390-150,390-8150
158556.state,I,HI
81395.state,JN,NJ
167478.fname,Takouo,Takuo
9238.city,BUFALO,BUFFALO
172870.childexemp,***,0
147158.salary,2500,25000
40545.childexemp,***,0
68041.state,GhA,GA
61336.marriedexemp,m0,0
53674.fname,Gmian,Gian
67386.areacode,72,732
157572.haschild,,Y
117024.haschild,,Y
176919.city,FAIRBhANKS,FAIRBANKS
129088.lname,Paiveteau,Piveteau
113982.zip,8932,89132
41150.city,NORTHH ILLS,NORTH HILLS
132.rate,.0,6.0
13494.haschild,***,Y
113522.lname,Shian,Shiran
147467.rate,8.m98,8.98
69350.salary,5500,55000
54079.childexemp,***,0
20965.state,CeT,CT
117954.gender,gM,M
39009.phone,704-631,704-3631
170399.singleexemp,p0,0
164359.childexemp,***,0
110258.state,NpJ,NJ
185556.maritalstatus,,S
1985.singleexemp,,0
120334.rate,4.09976,4.099376
186660.state,AL,LA
104819.childexemp,***,0
50151.state,JN,NJ
22662.singleexemp,i1500,1500
120844.maritalstatus,***,S
163435.city,ALcBUQUERQUE,ALBUQUERQUE
29904.salary,1500,15000
5364.salary,30000***,30000
81263.city,EERFIELD,DEERFIELD
66683.areacode,17,917
95955.zip,9120,69120
103885.singleexemp,300,3300
133861.maritalstatus,xS,S
1554.state,eDC,DC
100275.areacode,970,907
32233.maritalstatus,sS,S
128656.phone,913-700p8,913-7008
135993.zip,847y13,84713
14577.zip,8105,81005
35925.marriedexemp,,0
61957.singleexemp,330,3300
183935.lname,Twonsend,Townsend
119061.maritalstatus,lS,S
143296.singleexemp,2p100,2100
177130.city,ILMINGTON,WILMINGTON
100486.childexemp,***,0
119765.lname,Cjockrell,Cockrell
94599.phone,867-383w2,867-3832
97103.state,fNJ,NJ
80629.lname,Lewatr,Lewart
87235.marriedexemp,,0
114243.haschild,sY,Y
43293.gender,,F
100007.maritalstatus,,M
188563.state,lAK,AK
52160.city,ELROSE,MELROSE
150206.city,ALDERPOITN,ALDERPOINT
34969.salary,85v000,85000
121381.state,M,NM
87458.singleexemp,f0,0
7749.fname,Aatoli,Anatoli
110360.singleexemp,,0
194377.phone,763-2696,763-6296
59715.lname,iola,Piola
84782.areacode,810,801
80233.singleexemp,w1370,1370
96135.phone,s134-3407,134-3407
106986.maritalstatus,,M
139710.state,K,AK
36941.state,MeA,MA
76671.salary,8000,80000
127094.singleexemp,,0
144074.childexemp,104f0,1040
25487.city,ALBRGH,ALBURGH
188190.singleexemp,n0,0
75919.singleexemp,t0,0
104031.salary,750g00,75000
50484.phone,686g-9272,686-9272
76059.city,SNTA ISABEL,SANTA ISABEL
124734.rate,50.,5.0
29046.state,UhT,UT
1160.gender,aF,F
20295.state,J,NJ
192695.city,ALxBUQUERQUE,ALBUQUERQUE
57442.rate,.90,9.0
90085.marriedexemp,k0,0
19289.fname,ikash,Bikash
145923.state,JN,NJ
138703.singleexemp,03,103
93062.state,AnL,AL
547.gender,,F
61103.salary,35000***,35000
947.gender,***,F
98198.marriedexemp,h0,0
138653.lname,Sitevr,Sitver
110916.state,KA,AK
59700.city,ADLER,ALDER
137757.childexemp,***,0
142786.salary,700m00,70000
94391.haschild,gN,N
64812.phone,w947-5233,947-5233
81643.fname,Joonsopo,Joonsoo
113035.fname,Mcihela,Michela
39102.salary,0000,60000
82707.state,KA,AK
144415.lname,Esiklson,Eskilson
1404.gender,bF,F
124251.childexemp,u272,272
137186.salary,300b00,30000
86270.state,AbK,AK
113208.singleexemp,,0
949.gender,***,F
185512.zip,9418,59418
186052.marriedexemp,,0
166773.phone,71-5049,571-5049
74246.singleexemp,x0,0
108937.phone,553-877r3,553-8773
176592.salary,35000***,35000
74901.marriedexemp,6600***,6600
134174.zip,07426,70426
129058.rate,34,3.4
139321.fname,Rnjit,Ranjit
55788.lname,Olandre,Olander
165545.state,wAK,AK
189475.childexemp,,0
11983.state,V,NV
141822.marriedexemp,***,0
119361.haschild,***,N
63958.marriedexemp,4h200,4200
619.gender,***,F
175742.marriedexemp,0400,4000
14056.state,YK,KY
122112.city,SMYRN MILLS,SMYRNA MILLS
50882.gender,,M
143314.childexemp,j0,0
38973.fname,Dsanka,Dusanka
63383.phone,353-66i52,353-6652
22925.city,CHALESTON,CHARLESTON
101974.phone,940-288,940-7288
13754.childexemp,c0,0
198456.city,ABLUQUERQUE,ALBUQUERQUE
2406.zip,3124,33124
8184.state,NaJ,NJ
49318.city,ALBUQUERUE,ALBUQUERQUE
187602.lname,Leuewen,Leeuwen
121957.maritalstatus,***,M
680.gender,,F
158396.salary,75000***,75000
136308.lname,Beanssi,Benassi
66515.city,ALMO,ALAMO
182211.city,ALBUQUEQRUE,ALBUQUERQUE
26305.phone,5689-556,568-9556
17696.singleexemp,l700,700
105971.marriedexemp,,0
180535.areacode,2u03,203
158742.city,ALXEANDER,ALEXANDER
62677.areacode,70j1,701
108336.salary,10f0000,100000
173267.zip,190p63,19063
132974.childexemp,g0,0
56118.zip,85778,87578
102757.state,hNJ,NJ
86222.childexemp,j0,0
79745.salary,0000,40000
123977.marriedexemp,,0
137511.maritalstatus,***,M
94048.singleexemp,,0
119218.maritalstatus,,M
167102.lname,Schteid,Scheid
99885.marriedexemp,x0,0
181416.state,J,NJ
150879.haschild,,Y
169735.city,WILLOW BACH,WILLOW BEACH
158269.marriedexemp,***,0
115343.fname,Mirjma,Mirja
946.gender,***,F
137766.haschild,,N
161240.state,AsK,AK
166258.fname,Tadahko,Tadahiko
77191.salary,5000,95000
181829.singleexemp,,0
95752.childexemp,i0,0
171594.phone,536-6910,536-9610
148164.city,ANGOOqN,ANGOON
122962.city,ARVADlA,ARVADA
16666.state,kAK,AK
138702.maritalstatus,***,M
151901.gender,,F
196661.marriedexemp,71y50,7150
198149.marriedexemp,***,0
125004.singleexemp,***,0
542.gender,tF,F
109549.marriedexemp,714,174
141533.marriedexemp,***,0
160931.phone,787-8e090,787-8090
3209.state,DiC,DC
27991.city,yALBUQUERQUE,ALBUQUERQUE
165563.fname,Sverekr,Sverker
36034.fname,Dfietrich,Dietrich
127997.areacode,7t01,701
5299.phone,9149-280,914-9280
1107.areacode,3h04,304
185946.singleexemp,,0
170339.gender,***,M
13853.rate,.30,3.0
33141.childexemp,***,0
46500.city,SARiONVILLE,SARONVILLE
162385.city,ALBUQxUERQUE,ALBUQUERQUE
27608.lname,Stirjk,Strijk
199900.salary,0000,50000
188704.phone,955-4x613,955-4613
138733.maritalstatus,***,M
122354.state,CgT,CT
51516.city,RFONTENAC,FRONTENAC
69524.state,KA,AK
138871.singleexemp,***,0
98132.maritalstatus,bM,M
64512.maritalstatus,uM,M
54403.state,hAK,AK
162809.haschild,,N
51160.rate,5.0455335,5.0545335
88698.rate,.25,6.25
84938.city,ALaBUQUERQUE,ALBUQUERQUE
74563.maritalstatus,xM,M
136214.city,ALCrOVA,ALCOVA
41794.marriedexemp,***,0
138868.marriedexemp,a2000,2000
52716.areacode,01,701
98921.city,ALBUQERQUE,ALBUQUERQUE
7993.lname,Booqker,Booker
101751.salary,15000***,15000
150512.salary,r15000,15000
152469.phone,566-9414,566-9441
140815.haschild,cN,N
144919.singleexemp,00,700
110285.lname,Jabnkowitz,Jankowitz
22059.rate,w0.0,0.0
133010.marriedexemp,***,0
149652.state,oAK,AK
61620.city,HUNTSmVILLE,HUNTSVILLE
73075.singleexemp,h0,0
105698.singleexemp,***,0
38239.childexemp,,0
159302.singleexemp,***,0
159884.phone,17-3157,176-3157
37630.zip,5561,55561
82212.rate,.3900213,6.3900213
119610.marriedexemp,,0
52103.singleexemp,p0,0
22650.singleexemp,l0,0
101674.fname,Loutis,Louis
1288.gender,***,F
14560.haschild,,N
169175.marriedexemp,,0
87640.state,J,NJ
54392.gender,qM,M
112355.zip,7355,67355
37902.state,J,NJ
79660.salary,52000,25000
70104.singleexemp,,0
173976.city,OnXBOW,OXBOW
52554.city,DEeNMARK,DENMARK
49875.singleexemp,w0,0
170785.singleexemp,,0
525.gender,,F
185903.gender,oM,M
170007.phone,488-1646,848-1646
72856.gender,***,M
132228.singleexemp,,0
153784.marriedexemp,***,0
50079.salary,9000k0,90000
168321.marriedexemp,***,0
173252.gender,***,F
160793.maritalstatus,pM,M
37110.state,KA,AK
105303.zip,1838,16838
59809.city,MALAT,MALTA
101061.maritalstatus,jS,S
56275.maritalstatus,,M
617.gender,***,F
104830.haschild,***,N
192944.salary,25000***,25000
140237.childexemp,250,2250
97659.gender,bM,M
121391.state,JN,NJ
1129.gender,***,F
133526.city,fALBUQUERQUE,ALBUQUERQUE
84184.singleexemp,***,0
164912.state,J,NJ
55779.fname,zGora,Gora
63109.fname,Helgja,Helga
165579.marriedexemp,x0,0
166858.singleexemp,,0
66550.salary,85000***,85000
60519.salary,6000,60000
67058.city,TLONA,TOLNA
190021.state,K,AK
142839.lname,Wallenborn***,Wallenborn
182703.maritalstatus,,M
39601.marriedexemp,z0,0
21140.areacode,530,503
104207.phone,763-5i761,763-5761
426.gender,eF,F
100114.state,AgK,AK
118319.singleexemp,,0
1925.city,BMEIDJI,BEMIDJI
84279.state,O,CO
181653.fname,cWaiman,Waiman
37110.singleexemp,p0,0
1400.gender,,F
532.gender,vF,F
78510.city,ABLUQUERQUE,ALBUQUERQUE
130083.city,HONOLUhLU,HONOLULU
112102.city,NROFOLK,NORFOLK
76797.singleexemp,,0
63139.childexemp,,0
59865.salary,5000d0,50000
132374.areacode,s304,304
52195.singleexemp,h0,0
148546.city,WHITE RIVE RJUNCTION,WHITE RIVER JUNCTION
40297.phone,7986515,798-6515
148025.areacode,2o02,202
36377.fname,Dnigyi,Dingyi
6629.gender,,F
58278.city,AINS,RAINS
21438.state,K,AK
51329.state,kAK,AK
131814.maritalstatus,,S
185753.childexemp,a0,0
35183.zip,782,7182
99708.gender,,F
59976.state,J,NJ
39157.state,J,NJ
75217.lname,Cahllis,Challis
40785.marriedexemp,4000***,4000
71739.state,AhK,AK
107952.childexemp,***,0
199430.marriedexemp,***,0
1332.gender,***,F
100652.rate,q0.0,0.0
154735.city,GUANABO,GUAYNABO
58231.state,IH,HI
186246.singleexemp,,0
32425.city,SOUTH HTCHINSON,SOUTH HUTCHINSON
109807.haschild,***,N
1157.gender,,F
1822.childexemp,l0,0
77649.gender,,F
101225.salary,50a000,50000
85561.lname,aMrceau,Marceau
72292.singleexemp,,0
162857.gender,hM,M
95239.marriedexemp,,0
122067.state,kAK,AK
145968.zip,8n7022,87022
84045.city,ALEXANER,ALEXANDER
123339.state,JN,NJ
5457.city,HAMUBRG,HAMBURG
114120.areacode,17,717
10981.gender,***,M
102546.state,iAK,AK
111896.marriedexemp,p0,0
95411.salary,850e00,85000
2788.lname,bKhalil,Khalil
133493.phone,y522-6618,522-6618
183647.haschild,nN,N
102362.state,KA,AK
31295.areacode,8o03,803
116668.city,INIS,INNIS
31469.lname,enocur,Wenocur
39900.fname,Edaurdo,Eduardo
131078.phone,m686-6854,686-6854
1287.gender,***,F
121469.state,lAK,AK
100023.childexemp,***,0
116786.state,JN,NJ
72277.maritalstatus,***,M
157553.childexemp,,0
136400.marriedexemp,18,318
63620.gender,,F
68670.rate,6.00166,6.010166
194333.haschild,***,Y
348.fname,bAdelaziz,Abdelaziz
177797.singleexemp,d0,0
59436.haschild,eY,Y
191117.rate,00.,0.0
113492.childexemp,***,0
106588.childexemp,,0
6461.zip,7604,76104
80585.maritalstatus,***,M
55904.marriedexemp,f0,0
28608.areacode,537,573
32975.fname,Deara,Dara
87056.salary,80500,85000
111722.haschild,,N
113152.childexemp,***,0
185143.city,LKEWOOD,LAKEWOOD
176902.singleexemp,i0,0
172860.city,ALBUQUEnRQUE,ALBUQUERQUE
59826.state,KA,AK
190039.singleexemp,,0
168552.state,J,NJ
112045.state,pNJ,NJ
160910.singleexemp,x0,0
80155.salary,100000***,100000
35446.childexemp,c0,0
175953.singleexemp,,0
144451.state,AV,VA
131173.marriedexemp,,0
42491.marriedexemp,g0,0
29169.childexemp,z0,0
143820.marriedexemp,38,318
90919.marriedexemp,***,0
78174.childexemp,,0
16020.singleexemp,0100,1000
166328.lname,Karlson,Karlsson
85667.gender,jF,F
33339.city,BELA VISTA,BELLA VISTA
192239.singleexemp,s0,0
149650.phone,732-8308,723-8308
20017.marriedexemp,b0,0
176881.fname,sama,Usama
15017.state,C,SC
43485.city,ALBUQUwERQUE,ALBUQUERQUE
429.gender,***,F
160015.zip,7775,57775
6735.zip,53570,53507
1343.gender,,F
50312.zip,9496,89496
113499.singleexemp,,0
13033.state,NqC,NC
22253.childexemp,,0
34756.state,K,AK
64226.city,ALBQUERQUE,ALBUQUERQUE
174682.haschild,,N
39032.zip,8240,82240
4082.state,JN,NJ
58382.city,ALBUUERQUE,ALBUQUERQUE
65302.areacode,31n9,319
106175.singleexemp,***,0
912.gender,***,F
122810.salary,80000***,80000
19774.singleexemp,,0
130734.marriedexemp,,0
122816.zip,97665,96765
160815.fname,Soureav,Sourav
69201.lname,Disey,Disney
156051.maritalstatus,,S
11421.marriedexemp,,0
184579.city,ESMND,ESMOND
1843.marriedexemp,2m4500,24500
70084.zip,839,2839
14556.childexemp,***,0
89587.state,ImA,IA
153565.singleexemp,w0,0
120101.singleexemp,3b300,3300
182418.rate,2.1n096876,2.1096876
199291.salary,400p00,40000
156940.childexemp,p0,0
23877.state,T,VT
121152.city,ALBUrQUERQUE,ALBUQUERQUE
159100.areacode,34,304
179143.singleexemp,y0,0
119302.maritalstatus,kS,S
112994.lname,Raoche,Roache
73601.singleexemp,,0
87042.state,AC,CA
45674.childexemp,k0,0
54824.marriedexemp,e6600,6600
157687.rate,.4927273,4.927273
43798.salary,100v000,100000
63589.fname,Heni,Henri
107296.marriedexemp,400,4500
86776.city,SHELBmYVILLE,SHELBYVILLE
61036.state,JN,NJ
166233.salary,3000,35000
165580.city,FORTj MONMOUTH,FORT MONMOUTH
192541.phone,328-476m0,328-4760
80670.state,J,NJ
159921.lname,Cattral,Cattrall
180394.salary,c95000,95000
43772.zip,65719,67519
151043.maritalstatus,***,S
129153.marriedexemp,,0
45259.state,NI,IN
129886.childexemp,,0
158887.gender,,F
193261.lname,Htuter,Hutter
117327.marriedexemp,,0
168555.state,L,FL
104783.gender,***,M
28681.city,ALEKoNAGIK,ALEKNAGIK
168972.salary,4500,45000
17049.city,GREENVILLE***,GREENVILLE
87872.singleexemp,,0
29607.phone,23m1-9223,231-9223
8918.childexemp,1l500,1500
179536.marriedexemp,***,0
33362.singleexemp,33e00,3300
36892.areacode,380,308
154100.childexemp,z20,20
120595.marriedexemp,***,0
46318.childexemp,2p400,2400
34472.areacode,72,702
1150.gender,,F
43807.lname,Sueren,Seuren
42759.lname,Flewellindg,Flewelling
16981.maritalstatus,***,M
2420.city,CRRIE,CURRIE
739.gender,,F
160344.childexemp,20h00,2000
87496.state,JN,NJ
21631.childexemp,***,0
128062.city,CALEODNIA,CALEDONIA
14557.zip,96860,96806
179568.gender,aM,M
41500.state,J,NJ
99191.marriedexemp,,0
17616.phone,9p73-5471,973-5471
15989.singleexemp,***,0
1118.gender,,F
30211.phone,587-8560,578-8560
101383.marriedexemp,,0
128568.marriedexemp,x0,0
9395.phone,12-1754,128-1754
12682.haschild,tY,Y
35636.maritalstatus,rM,M
191515.city,LABUQUERQUE,ALBUQUERQUE
108219.rate,57.5,5.75
68206.marriedexemp,,0
94180.state,AP,PA
173057.city,LAKE NADES,LAKE ANDES
102129.haschild,xY,Y
110950.areacode,820,802
132584.childexemp,***,0
165425.city,SAINT PUL,SAINT PAUL
55301.rate,3e.0,3.0
102821.state,dSD,SD
89240.state,KA,AK
158731.gender,***,M
161089.haschild,rN,N
168249.salary,100000***,100000
28730.gender,,F
182878.singleexemp,,0
188848.haschild,***,N
18937.phone,110x-7645,110-7645
9269.phone,397-546j8,397-5468
56775.gender,***,M
118124.state,KA,AK
121851.phone,946-x4210,946-4210
121939.singleexemp,,0
1427.gender,,F
144804.salary,5000,95000
85696.fname,aKnti,Kanti
162879.lname,Affgane,Affane
187296.state,JN,NJ
134074.city,ALrBUQUERQUE,ALBUQUERQUE
40407.maritalstatus,,S
45642.areacode,220,202
58012.singleexemp,,0
129338.marriedexemp,2450,24500
122064.areacode,4z19,419
98620.haschild,,N
191296.rate,7n.0,7.0
149366.singleexemp,,0
181972.salary,20000***,20000
44846.lname,Ruillman,Rullman
74839.childexemp,***,0
47898.maritalstatus,,S
111759.childexemp,1020,1200
19646.childexemp,***,0
855.gender,,F
41919.haschild,vN,N
155790.gender,,M
12871.areacode,310,301
1300.gender,***,F
190071.fname,Yausuke,Yasusuke
98801.state,KA,AK
1387.gender,,F
174072.marriedexemp,***,0
184576.marriedexemp,***,0
70526.phone,552-369,552-3369
89235.lname,Banneliwer,Bannelier
77647.city,ALBUQUERUE,ALBUQUERQUE
179402.marriedexemp,k0,0
57393.city,ALBUQUERUQE,ALBUQUERQUE
62408.childexemp,,0
11845.rate,00.,0.0
149565.state,T,VT
185029.childexemp,n0,0
185917.gender,tF,F
122350.city,ALBUQEURQUE,ALBUQUERQUE
85960.marriedexemp,b0,0
155223.areacode,088,808
34686.salary,50000***,50000
143188.areacode,87,787
112089.lname,Vcicari,Viccari
47508.rate,2s.039795,2.039795
67192.fname,Hongzohng,Hongzhong
94066.zip,6y1940,61940
112810.lname,Dusjsa,Dussa
35314.city,ALBQUUERQUE,ALBUQUERQUE
33580.singleexemp,2010,2100
115329.marriedexemp,,0
146262.rate,a6.0,6.0
27543.state,KA,AK
108115.zip,f69132,69132
524.gender,,F
1134.gender,***,F
78180.salary,5000,75000
25216.haschild,bN,N
174002.marriedexemp,c0,0
122703.areacode,046,406
128153.state,J,NJ
170841.gender,***,M
188514.singleexemp,,0
53414.state,JN,NJ
533.gender,***,F
180504.state,AhK,AK
100672.phone,868-3457,868-3475
39329.city,ALBUQUERUQE,ALBUQUERQUE
109330.haschild,***,N
175813.singleexemp,,0
180669.salary,7j0000,70000
152660.city,ALBUQUEQRUE,ALBUQUERQUE
60667.marriedexemp,t0,0
149810.haschild,,N
128486.childexemp,,0
12572.lname,Erswig,Erwig
35410.singleexemp,***,0
188108.maritalstatus,***,M
5738.zip,4785e4,47854
14581.city,ALEKNGIK,ALEKNAGIK
5825.state,H,NH
52825.lname,Kneifsl,Kneisl
9997.maritalstatus,rM,M
38525.areacode,6p03,603
130836.marriedexemp,***,0
196127.singleexemp,i0,0
7291.state,SK,KS
180314.areacode,650,605
65806.zip,w95956,95956
180908.city,ALBUQUERUQE,ALBUQUERQUE
130968.singleexemp,***,0
27702.state,OlR,OR
32816.city,JONESBRO,JONESBORO
121104.state,KA,AK
168507.phone,41-93183,419-3183
144074.fname,Rtosa,Rosa
179039.state,T,UT
58792.phone,70-3229,702-3229
102524.phone,632-954,632-9534
191510.singleexemp,,0
196104.marriedexemp,q0,0
848.gender,,F
67384.childexemp,040,1040
166946.state,K,AK
43181.zip,64i1,641
124058.state,jAK,AK
182149.singleexemp,,0
137676.singleexemp,***,0
70693.gender,,F
136416.city,ALBUQUERQtUE,ALBUQUERQUE
21887.childexemp,10l3,103
25253.city,ALBUQUERQUdE,ALBUQUERQUE
47369.marriedexemp,***,0
14912.rate,n6.0,6.0
114539.childexemp,3170,1370
1365.gender,,F
92116.areacode,315,351
63620.maritalstatus,***,S
26866.rate,.75,4.75
189791.salary,80k000,80000
1369.gender,,F
154845.haschild,***,Y
175187.singleexemp,***,0
114268.state,rAK,AK
159609.state,J,NJ
28222.marriedexemp,z0,0
101189.city,GREAT MgILLS,GREAT MILLS
1034.gender,,F
180599.city,GP MILLS,GAP MILLS
149911.city,BYAAMON,BAYAMON
113724.childexemp,,0
19884.maritalstatus,fS,S
117465.salary,0000,80000
140959.areacode,01,401
182806.singleexemp,,0
181941.singleexemp,,0
1038.gender,,F
93.marriedexemp,2l000,2000
17585.city,WSAHINGTON,WASHINGTON
155955.state,I,WI
750.gender,***,F
108061.zip,8016,86016
42322.rate,00.,0.0
34320.salary,30000***,30000
53752.singleexemp,l0,0
87983.childexemp,m0,0
141939.marriedexemp,,0
172756.state,AI,IA
49404.singleexemp,o0,0
61023.salary,900j00,90000
54689.state,JN,NJ
157892.salary,c85000,85000
139790.rate,00.,0.0
88547.state,KA,AK
59723.marriedexemp,j0,0
183125.state,NzJ,NJ
86373.city,ANGOAL,ANGOLA
196515.singleexemp,1l2750,12750
195882.gender,,F
165515.state,YW,WY
135600.state,KA,AK
105942.zip,41820,48120
172704.marriedexemp,,0
84593.singleexemp,,0
188904.singleexemp,***,0
166275.childexemp,***,0
115223.zip,6920s1,69201
97787.zip,6484,60484
148958.rate,4483333,4.483333
52622.childexemp,p0,0
186781.state,AtK,AK
130383.marriedexemp,***,0
136934.childexemp,,0
53516.childexemp,,0
161844.maritalstatus,,M
171446.gender,***,M
169821.state,NmJ,NJ
166840.rate,475,4.75
167159.maritalstatus,eM,M
15205.gender,,F
128248.rate,.34,3.4
26542.city,LAGRANfGE,LAGRANGE
22880.childexemp,***,0
76070.maritalstatus,nM,M
168309.city,ALEN,ALDEN
37264.lname,Raumpp,Raupp
59985.phone,621-8883,621-8838
105356.zip,7822,78022
95544.gender,,M
88361.childexemp,***,0
45968.state,K,AK
191919.lname,Allinsn,Allinson
124114.rate,.375,3.75
154279.gender,***,M
19490.haschild,oY,Y
190797.state,H,OH
59940.city,FARZER,FRAZER
195268.zip,2873,28753
156300.phone,981-38c75,981-3875
160037.singleexemp,m0,0
148459.haschild,***,N
129027.gender,aF,F
160758.singleexemp,***,0
196357.city,ALUQUERQUE,ALBUQUERQUE
54910.areacode,63,623
110160.lname,Derthcik,Derthick
191574.salary,40000***,40000
142051.areacode,9c10,910
51665.gender,,F
64343.childexemp,,0
25081.marriedexemp,y0,0
31142.salary,2z0000,20000
124123.city,ALEKNAGK,ALEKNAGIK
169793.areacode,970,907
97138.city,ALEKyNAGIK,ALEKNAGIK
1432.state,C,DC
85711.areacode,p602,602
77871.salary,80500,85000
24959.city,KItMBALLTON,KIMBALLTON
36561.singleexemp,***,0
120846.marriedexemp,***,0
1403.gender,jF,F
174212.singleexemp,l0,0
73695.marriedexemp,,0
152491.rate,4.245545,4.245455
124091.childexemp,310,3100
199881.marriedexemp,k0,0
145800.maritalstatus,***,M
18631.state,J,NJ
1883.state,vDC,DC
48012.zip,8o5333,85333
684.gender,,F
49448.childexemp,b0,0
157998.phone,192-6t158,192-6158
35359.state,J,NJ
140742.city,ALEXANDRE,ALEXANDER
68226.phone,37-7050,237-7050
9660.state,J,NJ
124214.marriedexemp,,0
62780.marriedexemp,b0,0
112614.singleexemp,r0,0
161016.childexemp,,0
59450.childexemp,330h0,3300
52617.gender,,M
171440.city,WINENR,WINNER
64082.areacode,15,715
53847.zip,55104***,55104
55588.haschild,,N
45775.rate,.63,4.63
50109.marriedexemp,***,0
138048.state,KA,AK
114964.city,ALCLDE,ALCALDE
8729.areacode,16,316
95581.zip,12u03,1203
46095.areacode,880,808
170602.maritalstatus,dS,S
7625.gender,,M
196395.gender,***,M
107648.gender,***,F
2663.fname,Ahvni,Ahvin
30884.areacode,136,316
118213.childexemp,y0,0
177737.maritalstatus,nM,M
133225.childexemp,e0,0
139965.lname,Denekcer,Denecker
69140.fname,Hyeyonug,Hyeyoung
23020.city,ALL CREEK,FALL CREEK
88413.zip,828,6828
136265.haschild,,Y
100494.state,JN,NJ
70434.singleexemp,s2100,2100
42471.singleexemp,2100***,2100
245.fname,Abbsa,Abbas
155214.childexemp,,0
94386.areacode,53,573
45343.gender,,M
71040.fname,IndShobha,InduShobha
123947.state,hCT,CT
197555.salary,55w000,55000
177160.rate,39,3.9
157639.maritalstatus,***,S
74101.marriedexemp,m0,0
1412.gender,,F
159540.state,IM,MI
129735.gender,,F
84820.zip,3232,39232
78328.state,lAK,AK
81237.zip,b84337,84337
155525.city,LAWoRENCEVILLE,LAWRENCEVILLE
141061.city,NESMIyTH,NESMITH
187622.state,KA,AK
138315.childexemp,y0,0
147371.marriedexemp,,0
59223.haschild,,N
8115.phone,47f3-5234,473-5234
77998.areacode,37,347
108348.areacode,t308,308
161291.zip,27312,72312
135289.childexemp,n0,0
112190.state,KA,AK
7767.gender,***,M
58909.rate,00,0.0
83782.rate,.5,6.5
147078.singleexemp,***,0
128965.phone,259-39h79,259-3979
178967.phone,63-8704,763-8704
171268.childexemp,,0
108749.fname,Maritna,Martina
75574.state,IuN,IN
57408.state,JN,NJ
96892.state,KA,AK
197472.rate,60,6.0
67784.childexemp,,0
143086.state,K,AK
148219.zip,828d44,82844
195584.city,JAzYUYA,JAYUYA
32510.maritalstatus,,S
1024.marriedexemp,,0
159047.state,KA,AK
11987.fname,Arunras,Arunas
15920.zip,38u857,38857
198423.zip,c66062,66062
169430.maritalstatus,***,S
101892.gender,***,M
163300.childexemp,1090,1900
130652.childexemp,***,0
164944.haschild,sN,N
103733.maritalstatus,***,S
84823.singleexemp,y0,0
140882.maritalstatus,***,S
35669.childexemp,330,3300
42713.state,KA,AK
624.gender,bF,F
136948.areacode,x828,828
161736.singleexemp,a3300,3300
107682.gender,fF,F
12694.gender,vF,F
57827.zip,3680,83680
92679.zip,n28247,28247
65752.areacode,08,808
41958.city,ALBUQUERQE,ALBUQUERQUE
120880.zip,38z862,38862
141388.singleexemp,h0,0
175730.rate,.4,3.4
63713.city,AuLBUQUERQUE,ALBUQUERQUE
125206.singleexemp,2000***,2000
113042.state,gAK,AK
80850.zip,7638,57638
185493.haschild,***,N
85020.gender,lF,F
22319.singleexemp,***,0
31429.zip,8579,8759
168005.marriedexemp,b0,0
194334.state,KA,AK
199088.phone,529f-9419,529-9419
83605.city,ALBUQURQUE,ALBUQUERQUE
112262.salary,400o00,40000
17970.singleexemp,100,1500
163546.childexemp,***,0
120010.lname,Pollcaia,Pollacia
176901.marriedexemp,***,0
101855.phone,29e2-8179,292-8179
21158.state,bAK,AK
184397.city,ALBUQEURQUE,ALBUQUERQUE
197664.rate,8.m98,8.98
114013.childexemp,***,0
186250.state,K,AK
1415.marriedexemp,600,6600
57960.marriedexemp,p0,0
28667.city,WASHIxNGTON,WASHINGTON
25244.marriedexemp,***,0
197767.childexemp,,0
142236.phone,31i2-5020,312-5020
33272.lname,Schujller,Schuller
